layer,regime,fold,axis,cosine,test_score_correlation,probe_norm,axis_norm
18,speaker,actor_01_statement_None,lm_raw,0.021298752381722727,0.4079658289900096,53.9618229856824,0.7928027510643005
18,speaker,actor_01_statement_None,lm_norm_weighted,0.026654098525199232,0.4631124236793014,53.9618229856824,5.832040309906006
18,speaker,actor_02_statement_None,lm_raw,0.032639759977829634,-0.44990590103052785,53.32815222827609,0.7928027510643005
18,speaker,actor_02_statement_None,lm_norm_weighted,0.03841578163578277,-0.41663526996248473,53.32815222827609,5.832040309906006
18,speaker,actor_03_statement_None,lm_raw,0.02788210519568167,0.7426230772210433,54.13386797757588,0.7928027510643005
18,speaker,actor_03_statement_None,lm_norm_weighted,0.03274310771331626,0.6654034399143864,54.13386797757588,5.832040309906006
18,speaker,actor_04_statement_None,lm_raw,0.042788318820181935,0.621961515760648,52.72601698480344,0.7928027510643005
18,speaker,actor_04_statement_None,lm_norm_weighted,0.048806234967284284,0.6162321440995217,52.72601698480344,5.832040309906006
18,speaker,actor_05_statement_None,lm_raw,0.04486000469623842,0.11174437727235956,52.28471274889384,0.7928027510643005
18,speaker,actor_05_statement_None,lm_norm_weighted,0.04791399791477657,-0.10147475117041745,52.28471274889384,5.832040309906006
18,speaker,actor_06_statement_None,lm_raw,0.03411812314733506,0.6150934775833738,52.93112966911526,0.7928027510643005
18,speaker,actor_06_statement_None,lm_norm_weighted,0.0396727732776697,0.6267488836768833,52.93112966911526,5.832040309906006
18,speaker,actor_07_statement_None,lm_raw,0.021996349430037226,0.20810815584813905,53.57015009649172,0.7928027510643005
18,speaker,actor_07_statement_None,lm_norm_weighted,0.02709800275277685,0.16739766779721596,53.57015009649172,5.832040309906006
18,speaker,actor_08_statement_None,lm_raw,0.02848953023738232,-0.2953896865931664,54.18705139114777,0.7928027510643005
18,speaker,actor_08_statement_None,lm_norm_weighted,0.03384080158761984,-0.22757527263450283,54.18705139114777,5.832040309906006
18,speaker,actor_09_statement_None,lm_raw,0.04573991569259596,-0.2544504528939324,53.98795194372484,0.7928027510643005
18,speaker,actor_09_statement_None,lm_norm_weighted,0.05079535686227488,-0.31717159161898295,53.98795194372484,5.832040309906006
18,speaker,actor_10_statement_None,lm_raw,0.01969481273509061,-0.5299138492826255,54.497486253183936,0.7928027510643005
18,speaker,actor_10_statement_None,lm_norm_weighted,0.025902118632339707,-0.5285673073449961,54.497486253183936,5.832040309906006
18,speaker,actor_11_statement_None,lm_raw,0.037249982257699536,-0.05097762123078794,53.69128536350254,0.7928027510643005
18,speaker,actor_11_statement_None,lm_norm_weighted,0.04092569088359053,-0.05297360372107447,53.69128536350254,5.832040309906006
18,speaker,actor_12_statement_None,lm_raw,0.024278294878893235,0.0999193901869255,53.233868831769925,0.7928027510643005
18,speaker,actor_12_statement_None,lm_norm_weighted,0.02969114090795369,0.007786144194057603,53.233868831769925,5.832040309906006
18,speaker,actor_13_statement_None,lm_raw,0.023905018965717457,0.022189953494266387,54.17049133622798,0.7928027510643005
18,speaker,actor_13_statement_None,lm_norm_weighted,0.02905726078348894,0.0019278451110336119,54.17049133622798,5.832040309906006
18,speaker,actor_14_statement_None,lm_raw,0.03080204964386547,-0.11200032112505484,52.872489358538196,0.7928027510643005
18,speaker,actor_14_statement_None,lm_norm_weighted,0.034875889952209735,-0.18223468369324794,52.872489358538196,5.832040309906006
18,speaker,actor_15_statement_None,lm_raw,0.025036053012060633,0.2120889603266558,53.67723971764228,0.7928027510643005
18,speaker,actor_15_statement_None,lm_norm_weighted,0.030928799879393693,0.34837717768232207,53.67723971764228,5.832040309906006
18,speaker,actor_16_statement_None,lm_raw,0.032272128864148486,-0.18466843078209488,52.261640879134575,0.7928027510643005
18,speaker,actor_16_statement_None,lm_norm_weighted,0.03605624189484886,-0.23233269350795466,52.261640879134575,5.832040309906006
18,speaker,actor_17_statement_None,lm_raw,0.03004054529687846,0.9210188159494522,52.960414856950536,0.7928027510643005
18,speaker,actor_17_statement_None,lm_norm_weighted,0.03639501850941892,0.932053051161568,52.960414856950536,5.832040309906006
18,speaker,actor_18_statement_None,lm_raw,0.04255760023455694,-0.42877583293283367,54.560409626011676,0.7928027510643005
18,speaker,actor_18_statement_None,lm_norm_weighted,0.046032673478362054,-0.41526485970842386,54.560409626011676,5.832040309906006
18,speaker,actor_19_statement_None,lm_raw,0.0275237919846631,0.11001857251679942,54.49579571514847,0.7928027510643005
18,speaker,actor_19_statement_None,lm_norm_weighted,0.033452607685890444,0.18824214806756906,54.49579571514847,5.832040309906006
18,speaker,actor_20_statement_None,lm_raw,0.022054821636159586,0.35916739222062194,55.29480192449434,0.7928027510643005
18,speaker,actor_20_statement_None,lm_norm_weighted,0.02619497599326327,0.18981999399976981,55.29480192449434,5.832040309906006
18,speaker,actor_21_statement_None,lm_raw,0.030915960646346448,-0.06756474983785786,53.947644497402464,0.7928027510643005
18,speaker,actor_21_statement_None,lm_norm_weighted,0.0376056088101002,-0.09272225054676453,53.947644497402464,5.832040309906006
18,speaker,actor_22_statement_None,lm_raw,0.025571763821955758,0.48696668653507114,54.00086600582644,0.7928027510643005
18,speaker,actor_22_statement_None,lm_norm_weighted,0.03101674943267951,0.4756257911350148,54.00086600582644,5.832040309906006
18,speaker,actor_23_statement_None,lm_raw,0.025729127973314662,-0.02025930590561683,54.48316575460142,0.7928027510643005
18,speaker,actor_23_statement_None,lm_norm_weighted,0.03137709015982791,-0.07758580414345449,54.48316575460142,5.832040309906006
18,speaker,actor_24_statement_None,lm_raw,0.02479405883565904,0.31613331226205443,54.068927229628905,0.7928027510643005
18,speaker,actor_24_statement_None,lm_norm_weighted,0.031100382052185318,0.30865712303460585,54.068927229628905,5.832040309906006
18,statement,actor_None_statement_01,lm_raw,0.031546988950486396,0.049280298405419254,42.258742184792546,0.7928027510643005
18,statement,actor_None_statement_01,lm_norm_weighted,0.025594515925052404,0.10204748397421012,42.258742184792546,5.832040309906006
18,statement,actor_None_statement_02,lm_raw,0.048266526403824506,0.20810573910474545,48.726017215055734,0.7928027510643005
18,statement,actor_None_statement_02,lm_norm_weighted,0.052756079838511494,0.23457498431975546,48.726017215055734,5.832040309906006
