layer,regime,fold,n_train,n_test,accuracy,roc_auc,raw_score_parity_max
22,joint,actor_16_statement_02,92,4,0.5,1.0,2.1316282072803006e-14
22,joint,actor_17_statement_01,92,4,0.5,0.5,2.4868995751603507e-14
22,joint,actor_17_statement_02,92,4,0.75,0.5,1.2434497875801753e-14
22,joint,actor_18_statement_01,92,4,0.5,1.0,2.3092638912203256e-14
22,joint,actor_18_statement_02,92,4,0.5,0.5,1.865174681370263e-14
22,joint,actor_19_statement_01,92,4,0.5,1.0,9.103828801926284e-15
22,joint,actor_19_statement_02,92,4,0.25,0.25,1.4210854715202004e-14
22,joint,actor_20_statement_01,92,4,0.5,0.5,5.329070518200751e-15
22,joint,actor_20_statement_02,92,4,0.25,0.25,2.1316282072803006e-14
22,joint,actor_21_statement_01,92,4,0.5,0.25,8.881784197001252e-15
22,joint,actor_21_statement_02,92,4,0.5,1.0,1.7763568394002505e-14
22,joint,actor_22_statement_01,92,4,0.5,0.75,1.5987211554602254e-14
22,joint,actor_22_statement_02,92,4,0.25,0.25,1.5987211554602254e-14
22,joint,actor_23_statement_01,92,4,0.5,0.25,1.5987211554602254e-14
22,joint,actor_23_statement_02,92,4,1.0,1.0,1.4210854715202004e-14
22,joint,actor_24_statement_01,92,4,0.5,0.0,8.881784197001252e-15
22,joint,actor_24_statement_02,92,4,0.5,0.5,1.2434497875801753e-14
23,speaker,actor_01_statement_None,184,8,0.75,0.6875,2.2315482794965646e-14
23,speaker,actor_02_statement_None,184,8,0.875,1.0,1.5987211554602254e-14
23,speaker,actor_03_statement_None,184,8,0.625,0.5625,1.4654943925052066e-14
23,speaker,actor_04_statement_None,184,8,0.75,0.6875,1.199040866595169e-14
23,speaker,actor_05_statement_None,184,8,0.5,0.625,1.865174681370263e-14
23,speaker,actor_06_statement_None,184,8,1.0,1.0,7.105427357601002e-15
23,speaker,actor_07_statement_None,184,8,0.875,1.0,1.9539925233402755e-14
23,speaker,actor_08_statement_None,184,8,0.875,0.9375,2.1316282072803006e-14
23,speaker,actor_09_statement_None,184,8,0.5,0.75,2.708944180085382e-14
23,speaker,actor_10_statement_None,184,8,0.75,0.9375,1.2434497875801753e-14
23,speaker,actor_11_statement_None,184,8,0.625,1.0,1.9539925233402755e-14
23,speaker,actor_12_statement_None,184,8,0.5,0.625,1.865174681370263e-14
23,speaker,actor_13_statement_None,184,8,0.75,0.9375,8.881784197001252e-15
23,speaker,actor_14_statement_None,184,8,0.625,0.75,2.808864252301646e-14
23,speaker,actor_15_statement_None,184,8,0.625,0.75,2.042810365310288e-14
23,speaker,actor_16_statement_None,184,8,0.625,0.75,1.9012569296705806e-14
23,speaker,actor_17_statement_None,184,8,0.625,0.625,2.0317081350640365e-14
23,speaker,actor_18_statement_None,184,8,0.625,0.625,1.637578961322106e-14
23,speaker,actor_19_statement_None,184,8,0.75,0.75,1.554312234475219e-14
23,speaker,actor_20_statement_None,184,8,0.625,0.625,1.3322676295501878e-14
23,speaker,actor_21_statement_None,184,8,1.0,1.0,1.9095836023552692e-14
23,speaker,actor_22_statement_None,184,8,0.875,1.0,2.708944180085382e-14
23,speaker,actor_23_statement_None,184,8,0.875,1.0,2.6867397195928788e-14
23,speaker,actor_24_statement_None,184,8,0.875,0.9375,1.5987211554602254e-14
23,statement,actor_None_statement_01,96,96,0.5,0.6471354166666666,2.842170943040401e-14
23,statement,actor_None_statement_02,96,96,0.4895833333333333,0.6579861111111112,7.105427357601002e-14
23,joint,actor_01_statement_01,92,4,0.5,0.25,7.105427357601002e-15
23,joint,actor_01_statement_02,92,4,0.5,1.0,3.552713678800501e-14
23,joint,actor_02_statement_01,92,4,0.5,1.0,1.9539925233402755e-14
23,joint,actor_02_statement_02,92,4,0.5,0.75,5.3290705182007514e-14
23,joint,actor_03_statement_01,92,4,0.75,1.0,1.3100631690576847e-14
23,joint,actor_03_statement_02,92,4,0.5,0.0,3.552713678800501e-14
23,joint,actor_04_statement_01,92,4,0.5,0.25,7.105427357601002e-15
23,joint,actor_04_statement_02,92,4,0.5,0.75,4.3520742565306136e-14
23,joint,actor_05_statement_01,92,4,0.5,0.5,3.552713678800501e-15
23,joint,actor_05_statement_02,92,4,0.5,0.75,4.1744385725905886e-14
23,joint,actor_06_statement_01,92,4,0.5,1.0,1.7763568394002505e-14
23,joint,actor_06_statement_02,92,4,0.5,1.0,5.240252676230739e-14
23,joint,actor_07_statement_01,92,4,0.5,0.0,1.0436096431476471e-14
23,joint,actor_07_statement_02,92,4,0.5,1.0,3.552713678800501e-14
23,joint,actor_08_statement_01,92,4,0.5,1.0,7.993605777301127e-15
23,joint,actor_08_statement_02,92,4,0.5,0.5,2.842170943040401e-14
23,joint,actor_09_statement_01,92,4,0.5,0.25,1.7763568394002505e-14
23,joint,actor_09_statement_02,92,4,0.25,0.0,3.197442310920451e-14
23,joint,actor_10_statement_01,92,4,0.5,0.5,1.3988810110276972e-14
23,joint,actor_10_statement_02,92,4,0.5,0.5,4.263256414560601e-14
23,joint,actor_11_statement_01,92,4,0.5,0.75,1.1102230246251565e-14
23,joint,actor_11_statement_02,92,4,0.5,0.75,7.105427357601002e-14
23,joint,actor_12_statement_01,92,4,0.5,0.75,8.659739592076221e-15
23,joint,actor_12_statement_02,92,4,0.5,0.0,4.263256414560601e-14
23,joint,actor_13_statement_01,92,4,0.5,0.75,1.0658141036401503e-14
23,joint,actor_13_statement_02,92,4,0.5,0.0,2.1316282072803006e-14
23,joint,actor_14_statement_01,92,4,0.5,0.25,1.3322676295501878e-14
23,joint,actor_14_statement_02,92,4,0.5,1.0,3.197442310920451e-14
23,joint,actor_15_statement_01,92,4,0.5,0.75,1.0658141036401503e-14
23,joint,actor_15_statement_02,92,4,0.5,0.25,1.9539925233402755e-14
23,joint,actor_16_statement_01,92,4,0.5,0.0,1.2434497875801753e-14
23,joint,actor_16_statement_02,92,4,0.75,1.0,3.375077994860476e-14
23,joint,actor_17_statement_01,92,4,0.5,0.5,2.1316282072803006e-14
23,joint,actor_17_statement_02,92,4,0.5,1.0,2.1316282072803006e-14
23,joint,actor_18_statement_01,92,4,0.5,1.0,7.105427357601002e-15
23,joint,actor_18_statement_02,92,4,0.5,1.0,4.618527782440651e-14
23,joint,actor_19_statement_01,92,4,0.25,0.0,6.106226635438361e-15
23,joint,actor_19_statement_02,92,4,0.5,0.75,2.1316282072803006e-14
23,joint,actor_20_statement_01,92,4,0.5,0.5,1.4210854715202004e-14
23,joint,actor_20_statement_02,92,4,0.5,0.0,3.197442310920451e-14
23,joint,actor_21_statement_01,92,4,0.5,1.0,7.216449660063518e-15
23,joint,actor_21_statement_02,92,4,0.5,1.0,1.865174681370263e-14
23,joint,actor_22_statement_01,92,4,0.5,1.0,1.1546319456101628e-14
23,joint,actor_22_statement_02,92,4,0.5,1.0,3.197442310920451e-14
23,joint,actor_23_statement_01,92,4,0.5,0.5,1.2434497875801753e-14
23,joint,actor_23_statement_02,92,4,0.75,0.75,3.6415315207705135e-14
23,joint,actor_24_statement_01,92,4,0.5,0.75,1.4210854715202004e-14
23,joint,actor_24_statement_02,92,4,0.5,1.0,2.4868995751603507e-14
