endpoint,statement,condition,metric,mean,ci_low,ci_high
block6,01,clean,mean_within_fold_auc,0.78125,0.6666666666666666,0.8854166666666666
block6,01,clean,pooled_roc_auc,0.7608506944444444,0.6588433159722222,0.8550455729166665
block6,01,clean,accuracy,0.6770833333333334,0.5729166666666666,0.7708333333333334
block6,01,no_attn,mean_within_fold_auc,0.9583333333333334,0.90625,1.0
block6,01,no_attn,pooled_roc_auc,0.9249131944444444,0.8697916666666666,0.9696180555555556
block6,01,no_attn,accuracy,0.84375,0.7708333333333334,0.90625
block6,01,no_mlp,mean_within_fold_auc,0.7604166666666666,0.625,0.8854166666666666
block6,01,no_mlp,pooled_roc_auc,0.7738715277777778,0.6601453993055556,0.8723958333333334
block6,01,no_mlp,accuracy,0.71875,0.6354166666666666,0.8020833333333334
block6,02,clean,mean_within_fold_auc,0.75,0.625,0.8645833333333334
block6,02,clean,pooled_roc_auc,0.7495659722222222,0.6484375,0.8441840277777778
block6,02,clean,accuracy,0.7291666666666666,0.625,0.8229166666666666
block6,02,no_attn,mean_within_fold_auc,0.8854166666666666,0.8125,0.9479166666666666
block6,02,no_attn,pooled_roc_auc,0.8359375,0.7504340277777778,0.9210069444444444
block6,02,no_attn,accuracy,0.7395833333333334,0.6354166666666666,0.8333333333333334
block6,02,no_mlp,mean_within_fold_auc,0.75,0.625,0.8645833333333334
block6,02,no_mlp,pooled_roc_auc,0.7204861111111112,0.60546875,0.8272569444444444
block6,02,no_mlp,accuracy,0.6979166666666666,0.5830729166666669,0.8020833333333334
block6,combined,clean,mean_within_fold_auc,0.765625,0.6822916666666666,0.84375
block6,combined,clean,pooled_roc_auc,0.7567274305555556,0.6850043402777778,0.8262803819444444
block6,combined,clean,accuracy,0.703125,0.6354166666666666,0.7708333333333334
block6,combined,no_attn,mean_within_fold_auc,0.921875,0.875,0.9635416666666666
block6,combined,no_attn,pooled_roc_auc,0.8797743055555556,0.8173800998263889,0.9384765625
block6,combined,no_attn,accuracy,0.7916666666666666,0.7239583333333334,0.859375
block6,combined,no_mlp,mean_within_fold_auc,0.7552083333333334,0.6457031250000002,0.8489583333333334
block6,combined,no_mlp,pooled_roc_auc,0.7498914930555556,0.6630859375,0.8276909722222222
block6,combined,no_mlp,accuracy,0.7083333333333334,0.6197916666666666,0.7864583333333334
final_answer,01,clean,mean_within_fold_auc,0.7083333333333334,0.5729166666666666,0.8333333333333334
final_answer,01,clean,pooled_roc_auc,0.6740451388888888,0.5603298611111112,0.7816948784722221
final_answer,01,clean,accuracy,0.6354166666666666,0.5208333333333334,0.7395833333333334
final_answer,01,no_attn,mean_within_fold_auc,0.7604166666666666,0.6458333333333334,0.8645833333333334
final_answer,01,no_attn,pooled_roc_auc,0.6801215277777778,0.5815972222222222,0.7799479166666666
final_answer,01,no_attn,accuracy,0.6354166666666666,0.5416666666666666,0.7291666666666666
final_answer,01,no_mlp,mean_within_fold_auc,0.8125,0.6979166666666666,0.90625
final_answer,01,no_mlp,pooled_roc_auc,0.7374131944444444,0.6358506944444444,0.83203125
final_answer,01,no_mlp,accuracy,0.6666666666666666,0.5625,0.7604166666666666
final_answer,02,clean,mean_within_fold_auc,0.6979166666666666,0.5625,0.8333333333333334
final_answer,02,clean,pooled_roc_auc,0.7165798611111112,0.5902777777777778,0.8328993055555556
final_answer,02,clean,accuracy,0.7083333333333334,0.6041666666666666,0.8125
final_answer,02,no_attn,mean_within_fold_auc,0.7291666666666666,0.6145833333333334,0.8333333333333334
final_answer,02,no_attn,pooled_roc_auc,0.7317708333333334,0.6124131944444444,0.8402777777777778
final_answer,02,no_attn,accuracy,0.6875,0.5833333333333334,0.7916666666666666
final_answer,02,no_mlp,mean_within_fold_auc,0.6458333333333334,0.5104166666666666,0.7708333333333334
final_answer,02,no_mlp,pooled_roc_auc,0.7000868055555556,0.5689995659722222,0.8116319444444444
final_answer,02,no_mlp,accuracy,0.6666666666666666,0.5625,0.7708333333333334
final_answer,combined,clean,mean_within_fold_auc,0.703125,0.609375,0.7916666666666666
final_answer,combined,clean,pooled_roc_auc,0.6999782986111112,0.6069878472222222,0.7916666666666666
final_answer,combined,clean,accuracy,0.671875,0.5833333333333334,0.7604166666666666
final_answer,combined,no_attn,mean_within_fold_auc,0.7447916666666666,0.671875,0.8177083333333334
final_answer,combined,no_attn,pooled_roc_auc,0.7097439236111112,0.6363905164930556,0.783425564236111
final_answer,combined,no_attn,accuracy,0.6614583333333334,0.5989583333333334,0.7291666666666666
final_answer,combined,no_mlp,mean_within_fold_auc,0.7291666666666666,0.640625,0.8125
final_answer,combined,no_mlp,pooled_roc_auc,0.7210286458333334,0.6369330512152778,0.8019775390624999
final_answer,combined,no_mlp,accuracy,0.6666666666666666,0.59375,0.734375
