layer,mean,ci_low,ci_high,simultaneous_low,simultaneous_high
0,0.03261790921290716,-0.04125779845441381,0.10683665949230392,-0.04748996719717979,0.1127257856229941
1,0.0333863136669,-0.04035628894343972,0.10751802499095599,-0.046721562743186944,0.11349419007698694
2,0.03133192410071691,-0.04345366954803467,0.10598244365925587,-0.048775952309370034,0.11143980051080385
3,0.03151484951376915,-0.04329662313684821,0.10626264854023854,-0.048593026896317795,0.1116227259238561
4,0.03307949130733808,-0.041731752331058185,0.1077279310363034,-0.047028385102748864,0.11318736771742502
5,0.03328201547265053,-0.041485294979065654,0.10782320741564032,-0.04682586093743642,0.11338989188273747
6,0.03492695465683937,-0.040019112980614106,0.10965319337944188,-0.045180921753247574,0.11503483106692632
7,0.045938833306233086,-0.029178729498138028,0.12192275387545422,-0.03416904310385386,0.12604670971632004
8,0.04989423602819443,-0.024479808875670032,0.12522256951779126,-0.030213640381892518,0.13000211243828136
9,0.05500205606222153,-0.01811811039224267,0.12950999680906533,-0.025105820347865418,0.13510993247230846
10,0.0696624219417572,0.0006944457379480209,0.1390172420069575,-0.010445454468329743,0.14977029835184413
11,0.08269442866245906,0.020154524128884077,0.14449598633994654,0.002586552252372115,0.162802305072546
12,0.08001705879966418,0.01896877658242981,0.14120220492283495,-9.081761042276093e-05,0.16012493520975113
13,0.08301416039466858,0.024485026486217976,0.14280331060290333,0.002906283984581634,0.1631220368047555
14,0.05899322653810183,0.00506616517280539,0.1117806939718624,-0.021114649871985115,0.13910110294818878
15,0.05274570236603419,0.003429209751387439,0.10030966127912203,-0.027362174044052757,0.13285357877612114
16,0.056775820751984916,0.01719675362110138,0.09570498267809549,-0.02333205565810203,0.13688369716207185
17,0.0455513559281826,0.008474388842781386,0.08568029310554266,-0.03455652048190434,0.12565923233826953
18,0.03624552364150683,0.0017332666243116066,0.07254049815237516,-0.043862352768580117,0.11635340005159378
19,0.025577844431002934,-0.01316576221336921,0.059546859562396956,-0.054530031979084015,0.10568572084108988
20,0.026354273160298664,-0.008169551131625968,0.056983671989291905,-0.053753603249788284,0.1064621495703856
21,0.015854864070812862,-0.01063137548044324,0.04296686028440793,-0.06425301233927408,0.09596274048089981
22,0.012116807202498118,-0.0027628079367180663,0.02598385174448291,-0.06799106920758882,0.09222468361258507
23,0.0,0.0,0.0,-0.08010787641008695,0.08010787641008695
