model,dataset,endpoint,metric,clean,no_attn,no_mlp,delta_A_mean,delta_A_ci_low,delta_A_ci_high,delta_A_minus_M_mean,delta_A_minus_M_ci_low,delta_A_minus_M_ci_high,source
SLAM-Omni-0.5B,ravdess,block6,mean_within_fold_auc,0.765625,0.921875,0.7552083333333334,0.15625,0.07291666666666663,0.24479166666666663,0.16666666666666663,0.06770833333333337,0.28645833333333326,reports/2026-09-16-early-answer-causal/analysis
SLAM-Omni-0.5B,ravdess,final_answer,mean_within_fold_auc,0.703125,0.7447916666666666,0.7291666666666666,0.04166666666666663,0.0,0.08854166666666674,0.015625,-0.02604166666666663,0.05729166666666663,reports/2026-09-16-early-answer-causal/analysis
SLAM-Omni-0.5B,crema-d,block6,mean_within_fold_auc,0.9235537190082646,0.9617768595041322,0.9328512396694214,0.038223140495867614,0.02066115702479332,0.05578512396694235,0.02892561983471076,0.012396694214876103,0.045454545454545525,reports/2026-09-16-crema-confirmation/analysis
SLAM-Omni-0.5B,crema-d,final_answer,mean_within_fold_auc,0.7902892561983473,0.7768595041322315,0.7789256198347108,-0.013429752066115852,-0.03305785123966942,0.005191115702479131,-0.0020661157024792765,-0.022727272727272818,0.018595041322314265,reports/2026-09-16-crema-confirmation/analysis
LLaMA-Omni2-0.5B,ravdess,block6,mean_within_fold_auc,0.9479166666666666,0.9166666666666666,0.921875,-0.03125,-0.08854166666666663,0.02083333333333326,-0.00520833333333337,-0.07291666666666663,0.05729166666666674,reports/2026-09-16-llama-omni2-confirmation/ravdess/analysis
LLaMA-Omni2-0.5B,ravdess,final_answer,mean_within_fold_auc,0.8541666666666666,0.9322916666666666,0.8697916666666666,0.078125,0.00520833333333337,0.15104166666666663,0.0625,-0.01041666666666663,0.140625,reports/2026-09-16-llama-omni2-confirmation/ravdess/analysis
LLaMA-Omni2-0.5B,crema-d,block6,mean_within_fold_auc,0.9328512396694215,0.9617768595041322,0.9380165289256198,0.028925619834710647,0.010330578512396604,0.04855371900826456,0.023760330578512345,0.009297520661156966,0.03822314049586795,reports/2026-09-16-llama-omni2-confirmation/crema-d/analysis
LLaMA-Omni2-0.5B,crema-d,final_answer,mean_within_fold_auc,0.9132231404958676,0.9349173553719009,0.9090909090909091,0.02169421487603329,0.003099173553719245,0.04028925619834711,0.025826446280991844,0.004132231404958775,0.04752066115702469,reports/2026-09-16-llama-omni2-confirmation/crema-d/analysis
