endpoint,statement,contrast,left,right,metric,mean,ci_low,ci_high
block6,ITS,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,0.016658057851239638,-0.011363636363636354,0.046616735537190146
block6,ITS,delta_A_minus_M,no_attn,no_mlp,accuracy,0.051136363636363646,-0.005681818181818121,0.10795454545454541
block6,ITS,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,0.022727272727272818,-0.03409090909090917,0.09090909090909094
block6,ITS,delta_M_secondary,no_mlp,clean,pooled_roc_auc,0.028150826446280974,0.004003099173553681,0.054493801652892526
block6,ITS,delta_M_secondary,no_mlp,clean,accuracy,0.02840909090909083,-0.011363636363636465,0.07386363636363635
block6,IWL,delta_A,no_attn,clean,mean_within_fold_auc,0.03409090909090917,-0.022727272727272707,0.09090909090909094
block6,IWL,delta_A,no_attn,clean,pooled_roc_auc,0.02569731404958675,-0.007622029958677756,0.061725206611570216
block6,IWL,delta_A,no_attn,clean,accuracy,0.017045454545454475,-0.045454545454545414,0.07954545454545459
block6,IWL,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,0.03409090909090917,-0.022727272727272707,0.09090909090909094
block6,IWL,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,0.020402892561983466,-0.013042355371900904,0.05630165289256195
block6,IWL,delta_A_minus_M,no_attn,no_mlp,accuracy,0.02840909090909083,-0.03409090909090906,0.09090909090909094
block6,IWL,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,0.0,-0.045454545454545525,0.045454545454545525
block6,IWL,delta_M_secondary,no_mlp,clean,pooled_roc_auc,0.005294421487603285,-0.024150955578512413,0.034865702479338845
block6,IWL,delta_M_secondary,no_mlp,clean,accuracy,-0.011363636363636354,-0.06818181818181812,0.03977272727272729
block6,IWW,delta_A,no_attn,clean,mean_within_fold_auc,0.13636363636363635,0.06818181818181823,0.21590909090909094
block6,IWW,delta_A,no_attn,clean,pooled_roc_auc,0.11905991735537191,0.0683109504132231,0.17291128615702483
block6,IWW,delta_A,no_attn,clean,accuracy,0.17045454545454541,0.11363636363636365,0.2272727272727273
block6,IWW,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,0.11363636363636365,0.05681818181818177,0.18181818181818188
block6,IWW,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,0.08174070247933884,0.029826317148760294,0.13778731921487591
block6,IWW,delta_A_minus_M,no_attn,no_mlp,accuracy,0.11931818181818177,0.051136363636363646,0.1875
block6,IWW,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,0.022727272727272707,-0.05681818181818177,0.10227272727272729
block6,IWW,delta_M_secondary,no_mlp,clean,pooled_roc_auc,0.03731921487603307,-0.006585743801652888,0.08213132747933886
block6,IWW,delta_M_secondary,no_mlp,clean,accuracy,0.051136363636363646,-0.017045454545454475,0.11931818181818188
block6,MTI,delta_A,no_attn,clean,mean_within_fold_auc,0.03409090909090906,-0.03409090909090917,0.11363636363636365
block6,MTI,delta_A,no_attn,clean,pooled_roc_auc,0.031508264462809965,-0.020147856404958624,0.08303202479338845
block6,MTI,delta_A,no_attn,clean,accuracy,0.03977272727272729,-0.03409090909090906,0.11363636363636365
block6,MTI,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,0.0,-0.06818181818181823,0.06818181818181823
block6,MTI,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,0.0042613636363636465,-0.04016012396694213,0.04907024793388426
block6,MTI,delta_A_minus_M,no_attn,no_mlp,accuracy,0.022727272727272707,-0.051136363636363646,0.09659090909090917
block6,MTI,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,0.03409090909090906,-0.022727272727272707,0.09090909090909094
block6,MTI,delta_M_secondary,no_mlp,clean,pooled_roc_auc,0.02724690082644632,-0.0006456611570248016,0.05798360020661157
block6,MTI,delta_M_secondary,no_mlp,clean,accuracy,0.017045454545454586,-0.03409090909090917,0.07386363636363635
block6,TAI,delta_A,no_attn,clean,mean_within_fold_auc,-0.045454545454545525,-0.11363636363636365,0.022727272727272707
block6,TAI,delta_A,no_attn,clean,pooled_roc_auc,-0.00555268595041325,-0.0520402892561983,0.0364152892561983
block6,TAI,delta_A,no_attn,clean,accuracy,0.0,-0.0625,0.05681818181818188
block6,TAI,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,-0.011363636363636354,-0.09090909090909094,0.05681818181818188
block6,TAI,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,-0.008006198347107474,-0.05578835227272736,0.038739669421487544
block6,TAI,delta_A_minus_M,no_attn,no_mlp,accuracy,-0.02840909090909094,-0.09659090909090906,0.03977272727272729
block6,TAI,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,-0.03409090909090917,-0.10227272727272729,0.03409090909090906
block6,TAI,delta_M_secondary,no_mlp,clean,pooled_roc_auc,0.002453512396694224,-0.028150826446280978,0.03228305785123964
block6,TAI,delta_M_secondary,no_mlp,clean,accuracy,0.02840909090909094,-0.022727272727272707,0.07954545454545459
block6,TIE,delta_A,no_attn,clean,mean_within_fold_auc,0.011363636363636465,-0.05681818181818188,0.07954545454545459
block6,TIE,delta_A,no_attn,clean,pooled_roc_auc,0.03163739669421484,-0.009946410123966997,0.07321797520661155
block6,TIE,delta_A,no_attn,clean,accuracy,0.051136363636363535,-0.011363636363636354,0.11363636363636365
block6,TIE,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,0.03409090909090917,-0.022727272727272707,0.09090909090909094
block6,TIE,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,0.035382231404958664,-0.0033574380165288797,0.07644628099173545
block6,TIE,delta_A_minus_M,no_attn,no_mlp,accuracy,0.07386363636363635,0.017045454545454475,0.13068181818181823
block6,TIE,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,-0.022727272727272707,-0.09090909090909083,0.03409090909090917
block6,TIE,delta_M_secondary,no_mlp,clean,pooled_roc_auc,-0.0037448347107438273,-0.03306107954545454,0.02621384297520668
block6,TIE,delta_M_secondary,no_mlp,clean,accuracy,-0.022727272727272818,-0.06818181818181812,0.022727272727272707
block6,TSI,delta_A,no_attn,clean,mean_within_fold_auc,-0.011363636363636354,-0.05681818181818177,0.022727272727272707
block6,TSI,delta_A,no_attn,clean,pooled_roc_auc,-0.012009297520661155,-0.05643078512396693,0.033193440082644556
block6,TSI,delta_A,no_attn,clean,accuracy,-0.022727272727272707,-0.09090909090909094,0.045454545454545414
block6,TSI,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,0.011363636363636354,-0.03409090909090906,0.05681818181818188
block6,TSI,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,-0.0064566115702480165,-0.04700413223140487,0.03254132231404949
block6,TSI,delta_A_minus_M,no_attn,no_mlp,accuracy,-0.011363636363636354,-0.07386363636363635,0.051136363636363646
block6,TSI,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,-0.022727272727272707,-0.06818181818181823,0.022727272727272707
block6,TSI,delta_M_secondary,no_mlp,clean,pooled_roc_auc,-0.005552685950413139,-0.03564049586776852,0.02337293388429751
block6,TSI,delta_M_secondary,no_mlp,clean,accuracy,-0.011363636363636354,-0.0625,0.03977272727272729
block6,WSI,delta_A,no_attn,clean,mean_within_fold_auc,0.011363636363636465,-0.05681818181818188,0.09090909090909094
block6,WSI,delta_A,no_attn,clean,pooled_roc_auc,0.06159607438016523,0.015363507231404916,0.1106663223140496
block6,WSI,delta_A,no_attn,clean,accuracy,0.09659090909090906,0.03409090909090906,0.15909090909090906
block6,WSI,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,-0.022727272727272707,-0.09090909090909094,0.03409090909090917
block6,WSI,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,0.008135330578512345,-0.02892561983471065,0.0455836776859504
block6,WSI,delta_A_minus_M,no_attn,no_mlp,accuracy,0.017045454545454586,-0.03409090909090917,0.07386363636363635
block6,WSI,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,0.03409090909090917,-0.011363636363636354,0.09090909090909094
block6,WSI,delta_M_secondary,no_mlp,clean,pooled_roc_auc,0.05346074380165289,0.01949896694214881,0.08935950413223137
block6,WSI,delta_M_secondary,no_mlp,clean,accuracy,0.07954545454545447,0.022727272727272707,0.13636363636363635
block6,combined,delta_A,no_attn,clean,mean_within_fold_auc,0.028925619834710647,0.010330578512396604,0.04855371900826456
block6,combined,delta_A,no_attn,clean,pooled_roc_auc,0.03039303155522166,0.01819801307117002,0.04294962028720707
block6,combined,delta_A,no_attn,clean,accuracy,0.04028925619834711,0.024276859504132164,0.05681818181818177
block6,combined,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,0.023760330578512345,0.009297520661156966,0.03822314049586795
block6,combined,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,0.019512840652960883,0.00823975693258657,0.031045336085308343
block6,combined,delta_A_minus_M,no_attn,no_mlp,accuracy,0.032024793388429784,0.015495867768595017,0.04907024793388426
block6,combined,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,0.005165289256198302,-0.010330578512396715,0.021694214876032847
block6,combined,delta_M_secondary,no_mlp,clean,pooled_roc_auc,0.010880190902260778,0.0022354816952393918,0.019519270584318075
block6,combined,delta_M_secondary,no_mlp,clean,accuracy,0.008264462809917328,-0.008264462809917439,0.024793388429752095
final_answer,DFA,delta_A,no_attn,clean,mean_within_fold_auc,0.03409090909090906,-0.03409090909090906,0.10227272727272729
final_answer,DFA,delta_A,no_attn,clean,pooled_roc_auc,0.023114669421487655,-0.008135330578512345,0.05952995867768596
final_answer,DFA,delta_A,no_attn,clean,accuracy,0.0,-0.051136363636363646,0.051136363636363646
final_answer,DFA,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,-0.03409090909090917,-0.10227272727272729,0.03409090909090906
final_answer,DFA,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,-0.00012913223140498253,-0.030865831611570284,0.031120867768595017
final_answer,DFA,delta_A_minus_M,no_attn,no_mlp,accuracy,-0.017045454545454586,-0.0625,0.022727272727272818
final_answer,DFA,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,0.06818181818181823,0.0,0.13636363636363635
final_answer,DFA,delta_M_secondary,no_mlp,clean,pooled_roc_auc,0.023243801652892637,-0.010072314049586861,0.06017561983471076
final_answer,DFA,delta_M_secondary,no_mlp,clean,accuracy,0.017045454545454586,-0.02840909090909094,0.0625
final_answer,IOM,delta_A,no_attn,clean,mean_within_fold_auc,0.0,-0.05681818181818177,0.05681818181818177
final_answer,IOM,delta_A,no_attn,clean,pooled_roc_auc,-0.019240702479338845,-0.05707644628099173,0.015366735537190035
final_answer,IOM,delta_A,no_attn,clean,accuracy,-0.02840909090909094,-0.09090909090909094,0.03409090909090906
final_answer,IOM,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,0.0,-0.05681818181818188,0.05681818181818188
final_answer,IOM,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,-0.009426652892561949,-0.050490702479338845,0.03008780991735538
final_answer,IOM,delta_A_minus_M,no_attn,no_mlp,accuracy,0.0,-0.0625,0.06818181818181812
final_answer,IOM,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,0.0,-0.05681818181818177,0.05681818181818177
final_answer,IOM,delta_M_secondary,no_mlp,clean,pooled_roc_auc,-0.009814049586776896,-0.041064049586776785,0.01949896694214881
