endpoint,statement,condition,metric,mean,ci_low,ci_high
block6,DFA,clean,mean_within_fold_auc,0.9545454545454546,0.9090909090909091,0.9886363636363636
block6,DFA,clean,pooled_roc_auc,0.9568698347107438,0.9297520661157025,0.9792097107438017
block6,DFA,clean,accuracy,0.8863636363636364,0.8409090909090909,0.9318181818181818
block6,DFA,no_attn,mean_within_fold_auc,0.9886363636363636,0.9659090909090909,1.0
block6,DFA,no_attn,pooled_roc_auc,0.971849173553719,0.9524793388429752,0.9877324380165289
block6,DFA,no_attn,accuracy,0.9090909090909091,0.8693181818181818,0.9488636363636364
block6,DFA,no_mlp,mean_within_fold_auc,0.9659090909090909,0.9204545454545454,1.0
block6,DFA,no_mlp,pooled_roc_auc,0.9620351239669421,0.9358212809917356,0.9830836776859504
block6,DFA,no_mlp,accuracy,0.9034090909090909,0.8579545454545454,0.9431818181818182
block6,IOM,clean,mean_within_fold_auc,0.9431818181818182,0.8863636363636364,0.9886363636363636
block6,IOM,clean,pooled_roc_auc,0.9387913223140496,0.9010847107438017,0.971720041322314
block6,IOM,clean,accuracy,0.9204545454545454,0.8806818181818182,0.954687499999998
block6,IOM,no_attn,mean_within_fold_auc,0.9659090909090909,0.9204545454545454,1.0
block6,IOM,no_attn,pooled_roc_auc,0.9745609504132231,0.95338326446281,0.9900568181818182
block6,IOM,no_attn,accuracy,0.8977272727272727,0.8465909090909091,0.9431818181818182
block6,IOM,no_mlp,mean_within_fold_auc,0.9318181818181818,0.875,0.9772727272727273
block6,IOM,no_mlp,pooled_roc_auc,0.9365960743801653,0.9008232179752066,0.9670712809917356
block6,IOM,no_mlp,accuracy,0.8522727272727273,0.8011363636363636,0.9034090909090909
block6,ITH,clean,mean_within_fold_auc,0.9545454545454546,0.9090909090909091,0.9886363636363636
block6,ITH,clean,pooled_roc_auc,0.9426652892561983,0.9119285898760331,0.96900826446281
block6,ITH,clean,accuracy,0.8636363636363636,0.8125,0.9090909090909091
block6,ITH,no_attn,mean_within_fold_auc,0.9772727272727273,0.9431818181818182,1.0
block6,ITH,no_attn,pooled_roc_auc,0.9541580578512396,0.9282024793388429,0.9759814049586777
block6,ITH,no_attn,accuracy,0.875,0.8295454545454546,0.9204545454545454
block6,ITH,no_mlp,mean_within_fold_auc,0.9772727272727273,0.9431818181818182,1.0
block6,ITH,no_mlp,pooled_roc_auc,0.9269111570247934,0.8928202479338843,0.9576446280991735
block6,ITH,no_mlp,accuracy,0.8465909090909091,0.7954545454545454,0.8920454545454546
block6,ITS,clean,mean_within_fold_auc,0.9318181818181818,0.875,0.9772727272727273
block6,ITS,clean,pooled_roc_auc,0.9111570247933884,0.8708645402892562,0.9460259555785123
block6,ITS,clean,accuracy,0.8181818181818182,0.7670454545454546,0.8693181818181818
block6,ITS,no_attn,mean_within_fold_auc,1.0,1.0,1.0
block6,ITS,no_attn,pooled_roc_auc,0.9559659090909091,0.9305268595041323,0.9790805785123967
block6,ITS,no_attn,accuracy,0.8977272727272727,0.8522727272727273,0.9375
block6,ITS,no_mlp,mean_within_fold_auc,0.9545454545454546,0.9090909090909091,0.9886363636363636
block6,ITS,no_mlp,pooled_roc_auc,0.9393078512396694,0.9071506973140495,0.9660382231404959
block6,ITS,no_mlp,accuracy,0.8465909090909091,0.7954545454545454,0.8920454545454546
block6,IWL,clean,mean_within_fold_auc,0.9318181818181818,0.875,0.9772727272727273
block6,IWL,clean,pooled_roc_auc,0.9261363636363636,0.887396694214876,0.9591942148760331
block6,IWL,clean,accuracy,0.8522727272727273,0.8011363636363636,0.9034090909090909
block6,IWL,no_attn,mean_within_fold_auc,0.9659090909090909,0.9204545454545454,1.0
block6,IWL,no_attn,pooled_roc_auc,0.9518336776859504,0.9226497933884298,0.9763688016528925
block6,IWL,no_attn,accuracy,0.8693181818181818,0.8238636363636364,0.9147727272727273
block6,IWL,no_mlp,mean_within_fold_auc,0.9318181818181818,0.875,0.9772727272727273
block6,IWL,no_mlp,pooled_roc_auc,0.9314307851239669,0.8946248708677685,0.9616477272727273
block6,IWL,no_mlp,accuracy,0.8409090909090909,0.7784090909090909,0.8977272727272727
block6,IWW,clean,mean_within_fold_auc,0.8295454545454546,0.75,0.8977272727272727
block6,IWW,clean,pooled_roc_auc,0.8051394628099173,0.740311854338843,0.8647985537190083
