layer,metric,mean,ci_low,ci_high
18,cos_emotion_directions,-0.2636582501118508,-0.3433440136927367,0.19004986759911544
18,norm_offset,10.766000881863835,10.481842854249237,11.020889887390474
18,norm_d01,0.8080855312162633,0.594053870356562,1.315603617059467
18,norm_d02,0.5944430577727382,0.5176447417145915,1.302528933309376
18,norm_dshared,0.4338958921226315,0.43632002866647773,0.7926291801735355
18,offset_dot_d01,0.16771149223221343,-1.980018834483513,2.5459813790414745
18,offset_projection_d01,0.20754175858066412,-2.7385779051569408,2.2885469972773858
18,offset_to_gap_d01,0.25683142509467966,-4.093044458339646,2.300409336420726
18,offset_cos_d01,0.019277516401683036,-0.2561886345231955,0.2129999323933144
18,offset_dot_d02,2.6200033313292224,-0.8597231248007047,6.248612380353758
18,offset_projection_d02,4.407492521059733,-1.222149381894984,5.559383565357639
18,offset_to_gap_d02,7.414490695835097,-1.8019813289765652,7.097618958388938
18,offset_cos_d02,0.409389946129811,-0.11242816407208478,0.5156712529196771
18,offset_dot_dshared,1.3938574117807176,-0.8152890914499034,3.6345652432449502
18,offset_projection_dshared,3.212423618398243,-1.4674397259441692,5.594634197489877
18,offset_to_gap_dshared,7.403673730772079,-2.6445456942107888,9.543870312738333
18,offset_cos_dshared,0.2983859702082897,-0.13610425426714545,0.5186280347428802
19,cos_emotion_directions,0.4881421675945878,-0.039739332604263704,0.6094164066438007
19,norm_offset,3.592535852766592,3.425688103865287,3.7736036261014587
19,norm_d01,0.47357575461198825,0.3508965278709904,0.8234810414761374
19,norm_d02,0.35469485756211555,0.2978814889434521,0.640306899634141
19,norm_dshared,0.3584946603853051,0.28816223021698695,0.5557394846120407
19,offset_dot_d01,0.8345965102193997,-0.12318088311135371,1.7001998860621492
19,offset_projection_d01,1.7623294733557555,-0.30165851420880047,2.3064766472414
19,offset_to_gap_d01,3.7213253765486227,-0.6714765176892628,4.333347829726007
19,offset_cos_d01,0.49055306490500167,-0.0858921610658925,0.6259927945206571
19,offset_dot_d02,0.2082274977069896,-0.4268261994324063,0.8461257530009183
19,offset_projection_d02,0.587060943420991,-0.9838828041914781,1.639049323430653
19,offset_to_gap_d02,1.6551154630658345,-2.4101068433083075,3.751543124503873
19,offset_cos_d02,0.16341129705606103,-0.2699272960413927,0.45965244039848774
19,offset_dot_dshared,0.5214120039631945,0.04750542921450854,1.0229117356791724
19,offset_projection_dshared,1.4544484523222414,0.13683966549333731,2.0745523719407246
19,offset_to_gap_dshared,4.057099346358522,0.37173485393958433,5.170083303929346
19,offset_cos_dshared,0.40485287048761914,0.03899917413231778,0.5668100751304733
20,cos_emotion_directions,-0.1569322672250493,-0.26715356854965877,0.1877516373591711
20,norm_offset,15.317676492963319,15.104467159031048,15.518591011774983
20,norm_d01,0.5276177109888492,0.49033999939041767,0.8932721736258773
20,norm_d02,0.49688494502045755,0.3656571735941514,1.0999248139281748
20,norm_dshared,0.33278773585646027,0.31818807513268516,0.658933621487814
20,offset_dot_d01,-0.8964101717687365,-5.207679870530183,3.534426307155524
20,offset_projection_d01,-1.6989766512740914,-7.694719408537266,4.539822544254692
20,offset_to_gap_d01,-3.2200902583234132,-12.337324213231534,6.010006892130845
