layer,regime,condition,metric,mean,ci_low,ci_high
22,statement,raw,mean_within_fold_auc,0.5349392361111112,,
22,statement,source_center_noop,accuracy,0.5052083333333334,0.4635416666666667,0.5520833333333334
22,statement,source_center_noop,roc_auc,0.5349392361111112,0.4582248263888889,0.6119791666666666
22,statement,source_center_noop,mean_within_fold_auc,0.5349392361111112,,
22,statement,transductive_center,accuracy,0.5104166666666666,0.4375,0.5729166666666666
22,statement,transductive_center,roc_auc,0.5335286458333334,0.4580078125,0.6121988932291667
22,statement,transductive_center,mean_within_fold_auc,0.5349392361111112,,
22,joint,raw,accuracy,0.5052083333333334,0.4479166666666667,0.5677083333333334
22,joint,raw,roc_auc,0.5125868055555556,0.4493245442708333,0.5743272569444444
22,joint,raw,mean_within_fold_auc,0.59375,,
22,joint,source_center_noop,accuracy,0.5052083333333334,0.4479166666666667,0.5677083333333334
22,joint,source_center_noop,roc_auc,0.5125868055555556,0.4493245442708333,0.5743272569444444
22,joint,source_center_noop,mean_within_fold_auc,0.59375,,
22,joint,independent_center,accuracy,0.515625,0.4479166666666667,0.578125
22,joint,independent_center,roc_auc,0.5217013888888888,0.4517116970486111,0.5954861111111112
22,joint,independent_center,mean_within_fold_auc,0.59375,,
22,joint,independent_rank1,accuracy,0.5052083333333334,0.453125,0.5572916666666666
22,joint,independent_rank1,roc_auc,0.5302734375,0.45789659288194445,0.6079671223958333
22,joint,independent_rank1,mean_within_fold_auc,0.5885416666666666,,
23,statement,raw,accuracy,0.4947916666666667,0.484375,0.5
23,statement,raw,roc_auc,0.5729166666666666,0.5118272569444444,0.6335720486111112
23,statement,raw,mean_within_fold_auc,0.6525607638888888,,
23,statement,source_center_noop,accuracy,0.4947916666666667,0.484375,0.5
23,statement,source_center_noop,roc_auc,0.5729166666666666,0.5118272569444444,0.6335720486111112
23,statement,source_center_noop,mean_within_fold_auc,0.6525607638888888,,
23,statement,transductive_center,accuracy,0.6510416666666666,0.5833333333333334,0.7239583333333334
23,statement,transductive_center,roc_auc,0.6565755208333334,0.5584852430555556,0.7564046223958333
23,statement,transductive_center,mean_within_fold_auc,0.6525607638888888,,
23,joint,raw,accuracy,0.5052083333333334,0.484375,0.5260416666666666
23,joint,raw,roc_auc,0.5574001736111112,0.5154079861111112,0.603515625
23,joint,raw,mean_within_fold_auc,0.625,,
23,joint,source_center_noop,accuracy,0.5052083333333334,0.484375,0.5260416666666666
23,joint,source_center_noop,roc_auc,0.5574001736111112,0.5154079861111112,0.603515625
23,joint,source_center_noop,mean_within_fold_auc,0.625,,
23,joint,independent_center,accuracy,0.6041666666666666,0.53125,0.6822916666666666
23,joint,independent_center,roc_auc,0.6357421875,0.5438368055555556,0.7305826822916666
23,joint,independent_center,mean_within_fold_auc,0.625,,
23,joint,independent_rank1,accuracy,0.6041666666666666,0.53125,0.6822916666666666
23,joint,independent_rank1,roc_auc,0.6610243055555556,0.5785590277777778,0.7424045138888888
23,joint,independent_rank1,mean_within_fold_auc,0.6666666666666666,,
