layer,regime,fold,condition,n_train,n_test,n_cal_source,n_cal_target,accuracy,roc_auc,offset_norm,offset_probe_projection,score_shift_mean,raw_intercept
18,joint,actor_08_statement_02,independent_center,92,4,92,92,0.75,1.0,10.872178251076333,-44.961040137238605,44.961040137238605,-27.614767699145762
18,joint,actor_08_statement_02,independent_rank1,92,4,92,92,0.75,1.0,10.872178251076333,-44.961040137238605,33.29877166449465,-27.614767699145762
18,joint,actor_09_statement_01,raw,92,4,92,92,0.5,0.0,10.719545255108455,-6.201649465626643,0.0,-25.681808728157893
18,joint,actor_09_statement_01,source_center_noop,92,4,92,92,0.5,0.0,10.719545255108455,-6.201649465626643,0.0,-25.681808728157893
18,joint,actor_09_statement_01,independent_center,92,4,92,92,0.25,0.0,10.719545255108455,-6.201649465626643,6.201649465626643,-25.681808728157893
18,joint,actor_09_statement_01,independent_rank1,92,4,92,92,0.5,0.0,10.719545255108455,-6.201649465626643,7.289491049922293,-25.681808728157893
18,joint,actor_09_statement_02,raw,92,4,92,92,0.5,0.25,10.719545255108455,-44.82406942817151,0.0,-33.18058542256279
18,joint,actor_09_statement_02,source_center_noop,92,4,92,92,0.5,0.25,10.719545255108455,-44.82406942817151,0.0,-33.18058542256279
18,joint,actor_09_statement_02,independent_center,92,4,92,92,0.5,0.25,10.719545255108455,-44.82406942817151,44.82406942817151,-33.18058542256279
18,joint,actor_09_statement_02,independent_rank1,92,4,92,92,0.75,0.75,10.719545255108455,-44.82406942817151,48.76055646851528,-33.18058542256279
18,joint,actor_10_statement_01,raw,92,4,92,92,0.5,0.5,10.796046350372663,-16.579494235608006,0.0,-27.241456184756213
18,joint,actor_10_statement_01,source_center_noop,92,4,92,92,0.5,0.5,10.796046350372663,-16.579494235608006,0.0,-27.241456184756213
18,joint,actor_10_statement_01,independent_center,92,4,92,92,0.5,0.5,10.796046350372663,-16.579494235608006,16.579494235608006,-27.241456184756213
18,joint,actor_10_statement_01,independent_rank1,92,4,92,92,0.5,0.75,10.796046350372663,-16.579494235608006,16.871379164460745,-27.241456184756213
18,joint,actor_10_statement_02,raw,92,4,92,92,0.5,0.25,10.796046350372663,-31.86944178164261,0.0,-27.877194353461974
18,joint,actor_10_statement_02,source_center_noop,92,4,92,92,0.5,0.25,10.796046350372663,-31.86944178164261,0.0,-27.877194353461974
18,joint,actor_10_statement_02,independent_center,92,4,92,92,0.5,0.25,10.796046350372663,-31.86944178164261,31.86944178164261,-27.877194353461974
18,joint,actor_10_statement_02,independent_rank1,92,4,92,92,0.5,0.25,10.796046350372663,-31.86944178164261,28.513389965395735,-27.877194353461974
18,joint,actor_11_statement_01,raw,92,4,92,92,0.5,0.25,10.754024025314568,-8.966445673822186,0.0,-27.4972243246763
18,joint,actor_11_statement_01,source_center_noop,92,4,92,92,0.5,0.25,10.754024025314568,-8.966445673822186,0.0,-27.4972243246763
18,joint,actor_11_statement_01,independent_center,92,4,92,92,0.25,0.25,10.754024025314568,-8.966445673822186,8.966445673822186,-27.4972243246763
18,joint,actor_11_statement_01,independent_rank1,92,4,92,92,0.25,0.25,10.754024025314568,-8.966445673822186,9.188442633695521,-27.4972243246763
18,joint,actor_11_statement_02,raw,92,4,92,92,0.5,0.5,10.754024025314568,-43.88844762000774,0.0,-31.750804526991473
18,joint,actor_11_statement_02,source_center_noop,92,4,92,92,0.5,0.5,10.754024025314568,-43.88844762000774,0.0,-31.750804526991473
18,joint,actor_11_statement_02,independent_center,92,4,92,92,0.25,0.5,10.754024025314568,-43.88844762000774,43.88844762000774,-31.750804526991473
18,joint,actor_11_statement_02,independent_rank1,92,4,92,92,0.5,0.75,10.754024025314568,-43.88844762000774,44.357076684082465,-31.750804526991473
18,joint,actor_12_statement_01,raw,92,4,92,92,0.5,1.0,10.776980477128935,-7.467938466878456,0.0,-21.946082255443205
18,joint,actor_12_statement_01,source_center_noop,92,4,92,92,0.5,1.0,10.776980477128935,-7.467938466878456,0.0,-21.946082255443205
18,joint,actor_12_statement_01,independent_center,92,4,92,92,0.5,1.0,10.776980477128935,-7.467938466878456,7.467938466878456,-21.946082255443205
18,joint,actor_12_statement_01,independent_rank1,92,4,92,92,0.75,0.75,10.776980477128935,-7.467938466878456,7.272218966006783,-21.946082255443205
18,joint,actor_12_statement_02,raw,92,4,92,92,0.5,0.25,10.776980477128935,-44.25512456092703,0.0,-35.27887071584434
18,joint,actor_12_statement_02,source_center_noop,92,4,92,92,0.5,0.25,10.776980477128935,-44.25512456092703,0.0,-35.27887071584434
18,joint,actor_12_statement_02,independent_center,92,4,92,92,0.5,0.25,10.776980477128935,-44.25512456092703,44.25512456092703,-35.27887071584434
18,joint,actor_12_statement_02,independent_rank1,92,4,92,92,0.5,1.0,10.776980477128935,-44.25512456092703,44.16650488789427,-35.27887071584434
18,joint,actor_13_statement_01,raw,92,4,92,92,0.5,0.5,10.742583568667701,-9.496999695145638,0.0,-25.842586161869455
18,joint,actor_13_statement_01,source_center_noop,92,4,92,92,0.5,0.5,10.742583568667701,-9.496999695145638,0.0,-25.842586161869455
