layer_index,head_index,n_pairs,n_actor_clusters,mean_counterfactual_effect,sd_counterfactual_effect,ci95_low_normal,ci95_high_normal,ci95_low_actor_bootstrap,ci95_high_actor_bootstrap,median_counterfactual_effect,positive_ce_fraction,happy_direction_fraction,sad_direction_fraction
18,1,96,24,-0.0041761646668116255,0.04812432370476902,-0.013803034379090365,0.0054507050454671154,-0.014950618147850037,0.005458066860834758,0.001756429672241211,0.5208333333333334,0.5104166666666666,0.5104166666666666
18,4,96,24,0.0024249007304509482,0.0396502276404979,-0.005506796718409828,0.010356598179311725,-0.007197067141532898,0.011374955375989279,0.003740072250366211,0.5416666666666666,0.5416666666666666,0.5208333333333334
20,12,96,24,-0.0007108052571614584,0.028407616966082558,-0.006393512177813621,0.004971901663490705,-0.006907761096954346,0.005185832579930623,0.0034608840942382812,0.5520833333333334,0.5416666666666666,0.5520833333333334
21,5,96,24,0.008651162187258402,0.059656316282931894,-0.0032825864903020443,0.020584910864818846,-0.0042167554299036665,0.02113672097524007,0.006006002426147461,0.5208333333333334,0.5520833333333334,0.5104166666666666
22,0,96,24,0.001460745930671692,0.024592200670362666,-0.003458718771714023,0.006380210633057407,-0.0027677913506825766,0.0054597606261571245,0.0022606849670410156,0.5625,0.5625,0.5520833333333334
22,3,96,24,0.0034316380818684897,0.05215404400781992,-0.007001343578546596,0.013864619742283577,-0.008252014716466268,0.016067172090212505,0.0006995201110839844,0.5208333333333334,0.5208333333333334,0.5208333333333334
22,10,96,24,0.0008118698994318644,0.005589184977820201,-0.00030619995458602237,0.0019299397534497512,-6.092588106791178e-05,0.001929481824239095,0.0004444122314453125,0.5625,0.5729166666666666,0.5625
22,11,96,24,0.0002983957529067993,0.01616986913062816,-0.0029362517475988365,0.003533043253412435,-0.003071308135986328,0.0035157899061838784,0.00032258033752441406,0.5208333333333334,0.53125,0.5104166666666666
22,13,96,24,0.0003833274046579997,0.059701825717143026,-0.011559525055773616,0.012326179865089614,-0.016165534655253094,0.014235839247703552,0.00765228271484375,0.5416666666666666,0.5416666666666666,0.5416666666666666
23,9,96,24,0.008874555428822836,0.07456427651129645,-0.006041406394728825,0.023790517252374497,-0.005969117085138957,0.02291308343410492,0.0028896331787109375,0.6041666666666666,0.6041666666666666,0.6041666666666666
