position,layer,regime,metric,mean,ci_low,ci_high
audio,4,speaker,mean_within_fold_auc,0.9791666666666666,,
audio,4,statement,accuracy,0.859375,0.8072916666666666,0.90625
audio,4,statement,roc_auc,0.9603949652777778,0.9365234375,0.9801432291666666
audio,4,statement,mean_within_fold_auc,0.9678819444444444,,
audio,4,joint,accuracy,0.828125,0.765625,0.890625
audio,4,joint,roc_auc,0.9294704861111112,0.892578125,0.9633246527777778
audio,4,joint,mean_within_fold_auc,0.9635416666666666,,
audio,5,speaker,accuracy,0.8802083333333334,0.8333333333333334,0.9270833333333334
audio,5,speaker,roc_auc,0.9448784722222222,0.9067925347222222,0.9772135416666666
audio,5,speaker,mean_within_fold_auc,0.9713541666666666,,
audio,5,statement,accuracy,0.859375,0.8020833333333334,0.9114583333333334
audio,5,statement,roc_auc,0.9672309027777778,0.9466145833333334,0.9841579861111112
audio,5,statement,mean_within_fold_auc,0.9672309027777778,,
audio,5,joint,accuracy,0.84375,0.78125,0.9010416666666666
audio,5,joint,roc_auc,0.9366319444444444,0.8999565972222222,0.9690755208333334
audio,5,joint,mean_within_fold_auc,0.9635416666666666,,
audio,6,speaker,accuracy,0.875,0.8229166666666666,0.921875
audio,6,speaker,roc_auc,0.9444444444444444,0.9038601345486111,0.9794921875
audio,6,speaker,mean_within_fold_auc,0.9765625,,
audio,6,statement,accuracy,0.859375,0.8125,0.90625
audio,6,statement,roc_auc,0.9673394097222222,0.9465060763888888,0.9849175347222222
audio,6,statement,mean_within_fold_auc,0.96875,,
audio,6,joint,accuracy,0.84375,0.7916666666666666,0.8958333333333334
audio,6,joint,roc_auc,0.9321831597222222,0.8939887152777778,0.9676649305555556
audio,6,joint,mean_within_fold_auc,0.9739583333333334,,
audio,7,speaker,accuracy,0.8854166666666666,0.8385416666666666,0.9270833333333334
audio,7,speaker,roc_auc,0.9425998263888888,0.9027777777777778,0.9777560763888888
audio,7,speaker,mean_within_fold_auc,0.9817708333333334,,
audio,7,statement,accuracy,0.8125,0.7552083333333334,0.8645833333333334
audio,7,statement,roc_auc,0.9350043402777778,0.9027750651041667,0.9637586805555556
audio,7,statement,mean_within_fold_auc,0.96484375,,
audio,7,joint,accuracy,0.7916666666666666,0.7395833333333334,0.84375
audio,7,joint,roc_auc,0.9046223958333334,0.8676215277777778,0.9439019097222222
audio,7,joint,mean_within_fold_auc,0.9739583333333334,,
audio,8,speaker,accuracy,0.875,0.8229166666666666,0.9220052083333314
audio,8,speaker,roc_auc,0.9384765625,0.8971354166666666,0.9752604166666666
audio,8,speaker,mean_within_fold_auc,0.96875,,
audio,8,statement,accuracy,0.7135416666666666,0.671875,0.7552083333333334
audio,8,statement,roc_auc,0.9051649305555556,0.8696831597222222,0.9384765625
audio,8,statement,mean_within_fold_auc,0.958984375,,
audio,8,joint,accuracy,0.7239583333333334,0.6770833333333334,0.7708333333333334
