metric,mean,ci_low,ci_high
C_happy,-0.5805989851554235,-0.6150206629807751,-0.5501689778640866
C_sad,-0.6298288529117902,-0.6757915205632647,-0.5883846630031865
delta_C,0.04922986775636673,0.00793891747792562,0.09497301187366246
positive_delta_C_fraction,0.6145833333333334,0.5104166666666666,0.71875
negative_delta_C_fraction,0.3854166666666667,0.28125,0.4895833333333333
