position,layer,statement,metric,condition,mean,ci_low,ci_high
answer,0,01,mean_within_fold_auc,within,0.96875,0.9166666666666666,1.0
answer,0,01,mean_within_fold_auc,cross,0.9375,0.875,0.9895833333333334
answer,0,01,mean_within_fold_auc,gap,0.03125,-0.02083333333333337,0.09401041666666288
answer,0,01,pooled_roc_auc,within,0.9500868055555556,0.9045138888888888,0.9848090277777778
answer,0,01,pooled_roc_auc,cross,0.9075520833333334,0.8389756944444444,0.9657118055555556
answer,0,01,pooled_roc_auc,gap,0.04253472222222221,-0.009993489583333383,0.11067708333333337
answer,0,01,accuracy,within,0.875,0.8125,0.9375
answer,0,01,accuracy,cross,0.84375,0.7708333333333334,0.90625
answer,0,01,accuracy,gap,0.03125,-0.05208333333333326,0.10416666666666674
answer,0,02,mean_within_fold_auc,within,0.90625,0.8333333333333334,0.96875
answer,0,02,mean_within_fold_auc,cross,0.9166666666666666,0.8125,0.9895833333333334
answer,0,02,mean_within_fold_auc,gap,-0.01041666666666663,-0.10416666666666674,0.10416666666666663
answer,0,02,pooled_roc_auc,within,0.8489583333333334,0.7634548611111112,0.9340277777777778
answer,0,02,pooled_roc_auc,cross,0.9214409722222222,0.8441840277777778,0.9813368055555556
answer,0,02,pooled_roc_auc,gap,-0.07248263888888884,-0.1410590277777778,-0.01041666666666663
answer,0,02,accuracy,within,0.7395833333333334,0.6354166666666666,0.8333333333333334
answer,0,02,accuracy,cross,0.875,0.7916666666666666,0.9479166666666666
answer,0,02,accuracy,gap,-0.13541666666666663,-0.22916666666666663,-0.05208333333333337
answer,0,combined,mean_within_fold_auc,within,0.9375,0.9010416666666666,0.96875
answer,0,combined,mean_within_fold_auc,cross,0.9270833333333334,0.8645833333333334,0.9791666666666666
answer,0,combined,mean_within_fold_auc,gap,0.01041666666666663,-0.03125,0.0625
answer,0,combined,pooled_roc_auc,within,0.8993055555555556,0.8400607638888888,0.9533420138888888
answer,0,combined,pooled_roc_auc,cross,0.9153645833333334,0.865234375,0.9597439236111112
answer,0,combined,pooled_roc_auc,gap,-0.01605902777777779,-0.04742024739583343,0.010850694444444423
answer,0,combined,accuracy,within,0.8072916666666666,0.7395833333333334,0.875
answer,0,combined,accuracy,cross,0.859375,0.8125,0.9114583333333334
answer,0,combined,accuracy,gap,-0.05208333333333337,-0.09895833333333337,-0.01041666666666663
answer,1,01,mean_within_fold_auc,within,0.8125,0.7083333333333334,0.90625
answer,1,01,mean_within_fold_auc,cross,0.8958333333333334,0.8229166666666666,0.9583333333333334
answer,1,01,mean_within_fold_auc,gap,-0.08333333333333337,-0.16666666666666663,-0.01041666666666663
