sample_id,pair_id,actor,statement,repetition,intensity,emotion,donor_sample_id,donor_sign,condition,component,restore_layers,clean_margin,patched_margin,restored_margin,patch_effect,remaining_effect,mediated_effect,reference_source_margin
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,-1,edge_end_marker_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.534588098526001,-3.6721723079681396,-3.672182559967041,0.13758420944213867,0.13759446144104004,-1.0251998901367188e-05,-3.410766839981079
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,-1,edge_non_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.534588098526001,-3.6721723079681396,-3.6986379623413086,0.13758420944213867,0.16404986381530762,-0.026465654373168945,-3.410766839981079
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,-1,edge_all_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.534588098526001,-3.6721723079681396,-3.4107656478881836,0.13758420944213867,-0.12382245063781738,0.26140666007995605,-3.410766839981079
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,1,edge_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.9419286251068115,-3.8145644664764404,-3.8731298446655273,0.1273641586303711,0.06879878044128418,0.058565378189086914,-3.878784418106079
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,1,edge_audio_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.9419286251068115,-3.8145644664764404,-3.789797306060791,0.1273641586303711,0.1521313190460205,-0.024767160415649414,-3.878784418106079
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,1,edge_end_marker_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.9419286251068115,-3.8145644664764404,-3.8145151138305664,0.1273641586303711,0.12741351127624512,-4.935264587402344e-05,-3.878784418106079
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,1,edge_non_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.9419286251068115,-3.8145644664764404,-3.7897424697875977,0.1273641586303711,0.15218615531921387,-0.024821996688842773,-3.878784418106079
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,1,edge_all_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.9419286251068115,-3.8145644664764404,-3.8787856101989746,0.1273641586303711,0.06314301490783691,0.06422114372253418,-3.878784418106079
pair_0003_happy,pair_0003,01,02,02,01,happy,pair_0003_sad,-1,edge_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.50520396232605,-3.617319107055664,-3.592270851135254,0.11211514472961426,0.0870668888092041,0.025048255920410156,-3.5777664184570312
pair_0003_happy,pair_0003,01,02,02,01,happy,pair_0003_sad,-1,edge_audio_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.50520396232605,-3.617319107055664,-3.641432285308838,0.11211514472961426,0.13622832298278809,-0.024113178253173828,-3.5777664184570312
pair_0003_happy,pair_0003,01,02,02,01,happy,pair_0003_sad,-1,edge_end_marker_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.50520396232605,-3.617319107055664,-3.617417812347412,0.11211514472961426,0.1122138500213623,-9.870529174804688e-05,-3.5777664184570312
pair_0003_happy,pair_0003,01,02,02,01,happy,pair_0003_sad,-1,edge_non_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.50520396232605,-3.617319107055664,-3.6414928436279297,0.11211514472961426,0.13628888130187988,-0.024173736572265625,-3.5777664184570312
pair_0003_happy,pair_0003,01,02,02,01,happy,pair_0003_sad,-1,edge_all_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.50520396232605,-3.617319107055664,-3.5777666568756104,0.11211514472961426,0.07256269454956055,0.03955245018005371,-3.5777664184570312
pair_0003_sad,pair_0003,01,02,02,01,sad,pair_0003_happy,1,edge_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.6038966178894043,-3.4725728034973145,-3.0309903621673584,0.13132381439208984,0.5729062557220459,-0.44158244132995605,-3.0318169593811035
pair_0003_sad,pair_0003,01,02,02,01,sad,pair_0003_happy,1,edge_audio_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.6038966178894043,-3.4725728034973145,-3.4934895038604736,0.13132381439208984,0.11040711402893066,0.02091670036315918,-3.0318169593811035
pair_0003_sad,pair_0003,01,02,02,01,sad,pair_0003_happy,1,edge_end_marker_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.6038966178894043,-3.4725728034973145,-3.472724437713623,0.13132381439208984,0.13117218017578125,0.00015163421630859375,-3.0318169593811035
pair_0003_sad,pair_0003,01,02,02,01,sad,pair_0003_happy,1,edge_non_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.6038966178894043,-3.4725728034973145,-3.493593215942383,0.13132381439208984,0.11030340194702148,0.02102041244506836,-3.0318169593811035
pair_0003_sad,pair_0003,01,02,02,01,sad,pair_0003_happy,1,edge_all_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.6038966178894043,-3.4725728034973145,-3.0318169593811035,0.13132381439208984,0.5720796585083008,-0.44075584411621094,-3.0318169593811035
pair_0004_happy,pair_0004,02,01,01,01,happy,pair_0004_sad,-1,edge_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.263078689575195,-4.417550086975098,-4.273280143737793,0.15447139739990234,0.010201454162597656,0.1442699432373047,-4.262032985687256
pair_0004_happy,pair_0004,02,01,01,01,happy,pair_0004_sad,-1,edge_audio_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.263078689575195,-4.417550086975098,-4.416323661804199,0.15447139739990234,0.1532449722290039,0.0012264251708984375,-4.262032985687256
pair_0004_happy,pair_0004,02,01,01,01,happy,pair_0004_sad,-1,edge_end_marker_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.263078689575195,-4.417550086975098,-4.417384147644043,0.15447139739990234,0.15430545806884766,0.0001659393310546875,-4.262032985687256
pair_0004_happy,pair_0004,02,01,01,01,happy,pair_0004_sad,-1,edge_non_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.263078689575195,-4.417550086975098,-4.416172981262207,0.15447139739990234,0.15309429168701172,0.001377105712890625,-4.262032985687256
pair_0004_happy,pair_0004,02,01,01,01,happy,pair_0004_sad,-1,edge_all_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.263078689575195,-4.417550086975098,-4.2620320320129395,0.15447139739990234,-0.0010466575622558594,0.1555180549621582,-4.262032985687256
pair_0004_sad,pair_0004,02,01,01,01,sad,pair_0004_happy,1,edge_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.868228912353516,-4.716916084289551,-4.694353103637695,0.15131282806396484,0.1738758087158203,-0.02256298065185547,-4.711647987365723
pair_0004_sad,pair_0004,02,01,01,01,sad,pair_0004_happy,1,edge_audio_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.868228912353516,-4.716916084289551,-4.732144355773926,0.15131282806396484,0.13608455657958984,0.015228271484375,-4.711647987365723
pair_0004_sad,pair_0004,02,01,01,01,sad,pair_0004_happy,1,edge_end_marker_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.868228912353516,-4.716916084289551,-4.717062950134277,0.15131282806396484,0.15116596221923828,0.0001468658447265625,-4.711647987365723
pair_0004_sad,pair_0004,02,01,01,01,sad,pair_0004_happy,1,edge_non_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.868228912353516,-4.716916084289551,-4.7322797775268555,0.15131282806396484,0.13594913482666016,0.015363693237304688,-4.711647987365723
pair_0004_sad,pair_0004,02,01,01,01,sad,pair_0004_happy,1,edge_all_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.868228912353516,-4.716916084289551,-4.711646556854248,0.15131282806396484,0.15658235549926758,-0.005269527435302734,-4.711647987365723
pair_0005_happy,pair_0005,02,01,02,01,happy,pair_0005_sad,-1,edge_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.474981307983398,-4.691005706787109,-4.526449203491211,0.21602439880371094,0.0514678955078125,0.16455650329589844,-4.523149013519287
pair_0005_happy,pair_0005,02,01,02,01,happy,pair_0005_sad,-1,edge_audio_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.474981307983398,-4.691005706787109,-4.688315391540527,0.21602439880371094,0.2133340835571289,0.0026903152465820312,-4.523149013519287
pair_0005_happy,pair_0005,02,01,02,01,happy,pair_0005_sad,-1,edge_end_marker_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.474981307983398,-4.691005706787109,-4.690984725952148,0.21602439880371094,0.21600341796875,2.09808349609375e-05,-4.523149013519287
pair_0005_happy,pair_0005,02,01,02,01,happy,pair_0005_sad,-1,edge_non_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.474981307983398,-4.691005706787109,-4.688296794891357,0.21602439880371094,0.21331548690795898,0.002708911895751953,-4.523149013519287
pair_0005_happy,pair_0005,02,01,02,01,happy,pair_0005_sad,-1,edge_all_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.474981307983398,-4.691005706787109,-4.523150444030762,0.21602439880371094,0.04816913604736328,0.16785526275634766,-4.523149013519287
pair_0005_sad,pair_0005,02,01,02,01,sad,pair_0005_happy,1,edge_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.6972336769104,-4.476657867431641,-4.668259620666504,0.22057580947875977,0.028974056243896484,0.19160175323486328,-4.668688774108887
pair_0005_sad,pair_0005,02,01,02,01,sad,pair_0005_happy,1,edge_audio_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.6972336769104,-4.476657867431641,-4.488161563873291,0.22057580947875977,0.20907211303710938,0.01150369644165039,-4.668688774108887
pair_0005_sad,pair_0005,02,01,02,01,sad,pair_0005_happy,1,edge_end_marker_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.6972336769104,-4.476657867431641,-4.47668981552124,0.22057580947875977,0.22054386138916016,3.1948089599609375e-05,-4.668688774108887
pair_0005_sad,pair_0005,02,01,02,01,sad,pair_0005_happy,1,edge_non_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.6972336769104,-4.476657867431641,-4.488183498382568,0.22057580947875977,0.20905017852783203,0.011525630950927734,-4.668688774108887
pair_0005_sad,pair_0005,02,01,02,01,sad,pair_0005_happy,1,edge_all_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.6972336769104,-4.476657867431641,-4.668691158294678,0.22057580947875977,0.028542518615722656,0.1920332908630371,-4.668688774108887
pair_0006_happy,pair_0006,02,02,01,01,happy,pair_0006_sad,-1,edge_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.5094082355499268,-3.4232687950134277,-3.3865549564361572,-0.08613944053649902,-0.12285327911376953,0.03671383857727051,-3.4079532623291016
pair_0006_happy,pair_0006,02,02,01,01,happy,pair_0006_sad,-1,edge_audio_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.5094082355499268,-3.4232687950134277,-3.451965093612671,-0.08613944053649902,-0.05744314193725586,-0.028696298599243164,-3.4079532623291016
pair_0006_happy,pair_0006,02,02,01,01,happy,pair_0006_sad,-1,edge_end_marker_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.5094082355499268,-3.4232687950134277,-3.4231152534484863,-0.08613944053649902,-0.08629298210144043,0.00015354156494140625,-3.4079532623291016
pair_0006_happy,pair_0006,02,02,01,01,happy,pair_0006_sad,-1,edge_non_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.5094082355499268,-3.4232687950134277,-3.4518046379089355,-0.08613944053649902,-0.05760359764099121,-0.028535842895507812,-3.4079532623291016
pair_0006_happy,pair_0006,02,02,01,01,happy,pair_0006_sad,-1,edge_all_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.5094082355499268,-3.4232687950134277,-3.4079535007476807,-0.08613944053649902,-0.1014547348022461,0.01531529426574707,-3.4079532623291016
pair_0006_sad,pair_0006,02,02,01,01,sad,pair_0006_happy,1,edge_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.7750349044799805,-3.8628392219543457,-3.4180004596710205,-0.08780431747436523,0.35703444480895996,-0.4448387622833252,-3.4219164848327637
pair_0006_sad,pair_0006,02,02,01,01,sad,pair_0006_happy,1,edge_audio_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.7750349044799805,-3.8628392219543457,-3.8608033657073975,-0.08780431747436523,-0.08576846122741699,-0.002035856246948242,-3.4219164848327637
pair_0006_sad,pair_0006,02,02,01,01,sad,pair_0006_happy,1,edge_end_marker_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.7750349044799805,-3.8628392219543457,-3.8627266883850098,-0.08780431747436523,-0.0876917839050293,-0.0001125335693359375,-3.4219164848327637
pair_0006_sad,pair_0006,02,02,01,01,sad,pair_0006_happy,1,edge_non_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.7750349044799805,-3.8628392219543457,-3.860665798187256,-0.08780431747436523,-0.08563089370727539,-0.0021734237670898438,-3.4219164848327637
pair_0006_sad,pair_0006,02,02,01,01,sad,pair_0006_happy,1,edge_all_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.7750349044799805,-3.8628392219543457,-3.42191743850708,-0.08780431747436523,0.3531174659729004,-0.4409217834472656,-3.4219164848327637
pair_0007_happy,pair_0007,02,02,02,01,happy,pair_0007_sad,-1,edge_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.4080164432525635,-3.225398063659668,-3.3263020515441895,-0.1826183795928955,-0.08171439170837402,-0.10090398788452148,-3.3562941551208496
pair_0007_happy,pair_0007,02,02,02,01,happy,pair_0007_sad,-1,edge_audio_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.4080164432525635,-3.225398063659668,-3.256866455078125,-0.1826183795928955,-0.15114998817443848,-0.03146839141845703,-3.3562941551208496
pair_0007_happy,pair_0007,02,02,02,01,happy,pair_0007_sad,-1,edge_end_marker_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.4080164432525635,-3.225398063659668,-3.225280284881592,-0.1826183795928955,-0.18273615837097168,0.00011777877807617188,-3.3562941551208496
pair_0007_happy,pair_0007,02,02,02,01,happy,pair_0007_sad,-1,edge_non_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.4080164432525635,-3.225398063659668,-3.256716012954712,-0.1826183795928955,-0.15130043029785156,-0.031317949295043945,-3.3562941551208496
pair_0007_happy,pair_0007,02,02,02,01,happy,pair_0007_sad,-1,edge_all_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.4080164432525635,-3.225398063659668,-3.3562958240509033,-0.1826183795928955,-0.051720619201660156,-0.13089776039123535,-3.3562941551208496
pair_0007_sad,pair_0007,02,02,02,01,sad,pair_0007_happy,1,edge_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.4811511039733887,-3.659059762954712,-3.343435764312744,-0.17790865898132324,0.13771533966064453,-0.3156239986419678,-3.3371798992156982
pair_0007_sad,pair_0007,02,02,02,01,sad,pair_0007_happy,1,edge_audio_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.4811511039733887,-3.659059762954712,-3.645758628845215,-0.17790865898132324,-0.16460752487182617,-0.01330113410949707,-3.3371798992156982
pair_0007_sad,pair_0007,02,02,02,01,sad,pair_0007_happy,1,edge_end_marker_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.4811511039733887,-3.659059762954712,-3.6590423583984375,-0.17790865898132324,-0.17789125442504883,-1.7404556274414062e-05,-3.3371798992156982
pair_0007_sad,pair_0007,02,02,02,01,sad,pair_0007_happy,1,edge_non_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.4811511039733887,-3.659059762954712,-3.645737409591675,-0.17790865898132324,-0.16458630561828613,-0.01332235336303711,-3.3371798992156982
pair_0007_sad,pair_0007,02,02,02,01,sad,pair_0007_happy,1,edge_all_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-3.4811511039733887,-3.659059762954712,-3.337181568145752,-0.17790865898132324,0.14396953582763672,-0.32187819480895996,-3.3371798992156982
pair_0008_happy,pair_0008,03,01,01,01,happy,pair_0008_sad,-1,edge_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.699073791503906,-4.65715217590332,-4.7165069580078125,-0.04192161560058594,0.01743316650390625,-0.05935478210449219,-4.714152812957764
pair_0008_happy,pair_0008,03,01,01,01,happy,pair_0008_sad,-1,edge_audio_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.699073791503906,-4.65715217590332,-4.658535480499268,-0.04192161560058594,-0.04053831100463867,-0.0013833045959472656,-4.714152812957764
pair_0008_happy,pair_0008,03,01,01,01,happy,pair_0008_sad,-1,edge_end_marker_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.699073791503906,-4.65715217590332,-4.65699577331543,-0.04192161560058594,-0.04207801818847656,0.000156402587890625,-4.714152812957764
pair_0008_happy,pair_0008,03,01,01,01,happy,pair_0008_sad,-1,edge_non_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.699073791503906,-4.65715217590332,-4.658372402191162,-0.04192161560058594,-0.04070138931274414,-0.0012202262878417969,-4.714152812957764
pair_0008_happy,pair_0008,03,01,01,01,happy,pair_0008_sad,-1,edge_all_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.699073791503906,-4.65715217590332,-4.714154243469238,-0.04192161560058594,0.015080451965332031,-0.05700206756591797,-4.714152812957764
pair_0008_sad,pair_0008,03,01,01,01,sad,pair_0008_happy,1,edge_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.5847086906433105,-4.626273155212402,-4.738361358642578,-0.0415644645690918,-0.15365266799926758,0.11208820343017578,-4.731434345245361
pair_0008_sad,pair_0008,03,01,01,01,sad,pair_0008_happy,1,edge_audio_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.5847086906433105,-4.626273155212402,-4.64693546295166,-0.0415644645690918,-0.06222677230834961,0.020662307739257812,-4.731434345245361
pair_0008_sad,pair_0008,03,01,01,01,sad,pair_0008_happy,1,edge_end_marker_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.5847086906433105,-4.626273155212402,-4.626124858856201,-0.0415644645690918,-0.041416168212890625,-0.00014829635620117188,-4.731434345245361
pair_0008_sad,pair_0008,03,01,01,01,sad,pair_0008_happy,1,edge_non_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.5847086906433105,-4.626273155212402,-4.6467790603637695,-0.0415644645690918,-0.062070369720458984,0.020505905151367188,-4.731434345245361
pair_0008_sad,pair_0008,03,01,01,01,sad,pair_0008_happy,1,edge_all_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.5847086906433105,-4.626273155212402,-4.731432914733887,-0.0415644645690918,-0.14672422409057617,0.10515975952148438,-4.731434345245361
pair_0009_happy,pair_0009,03,01,02,01,happy,pair_0009_sad,-1,edge_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.718820571899414,-4.693161964416504,-4.787245273590088,-0.025658607482910156,0.06842470169067383,-0.09408330917358398,-4.784643650054932
pair_0009_happy,pair_0009,03,01,02,01,happy,pair_0009_sad,-1,edge_audio_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.718820571899414,-4.693161964416504,-4.692861080169678,-0.025658607482910156,-0.025959491729736328,0.0003008842468261719,-4.784643650054932
pair_0009_happy,pair_0009,03,01,02,01,happy,pair_0009_sad,-1,edge_end_marker_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.718820571899414,-4.693161964416504,-4.6930975914001465,-0.025658607482910156,-0.025722980499267578,6.437301635742188e-05,-4.784643650054932
pair_0009_happy,pair_0009,03,01,02,01,happy,pair_0009_sad,-1,edge_non_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.718820571899414,-4.693161964416504,-4.6927947998046875,-0.025658607482910156,-0.026025772094726562,0.00036716461181640625,-4.784643650054932
pair_0009_happy,pair_0009,03,01,02,01,happy,pair_0009_sad,-1,edge_all_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.718820571899414,-4.693161964416504,-4.784644603729248,-0.025658607482910156,0.06582403182983398,-0.09148263931274414,-4.784643650054932
