condition,actor,pair_id,statement,repetition,happy_margin,sad_margin,happy_shift,sad_shift,pair_separation,delta_pair_separation,common_shift
clean,17,pair_0067,02,02,-3.8223073482513428,-3.4964675903320312,0.0,0.0,-0.3258397579193115,0.0,0.0
clean,18,pair_0068,01,01,-4.009371280670166,-4.21242618560791,0.0,0.0,0.20305490493774414,0.0,0.0
clean,18,pair_0069,01,02,-3.73952054977417,-4.420629501342773,0.0,0.0,0.6811089515686035,0.0,0.0
clean,18,pair_0070,02,01,-3.849033832550049,-4.095071792602539,0.0,0.0,0.24603796005249023,0.0,0.0
clean,18,pair_0071,02,02,-4.281855583190918,-3.8288536071777344,0.0,0.0,-0.4530019760131836,0.0,0.0
clean,19,pair_0072,01,01,-4.446919918060303,-4.709850788116455,0.0,0.0,0.26293087005615234,0.0,0.0
clean,19,pair_0073,01,02,-4.707800388336182,-4.421672344207764,0.0,0.0,-0.28612804412841797,0.0,0.0
clean,19,pair_0074,02,01,-4.120583534240723,-5.197248458862305,0.0,0.0,1.076664924621582,0.0,0.0
clean,19,pair_0075,02,02,-3.303211212158203,-3.246274471282959,0.0,0.0,-0.05693674087524414,0.0,0.0
clean,20,pair_0076,01,01,-4.545580863952637,-4.708176612854004,0.0,0.0,0.1625957489013672,0.0,0.0
clean,20,pair_0077,01,02,-4.142257213592529,-4.00131893157959,0.0,0.0,-0.14093828201293945,0.0,0.0
clean,20,pair_0078,02,01,-3.5017380714416504,-3.4527485370635986,0.0,0.0,-0.04898953437805176,0.0,0.0
clean,20,pair_0079,02,02,-3.864936590194702,-3.65761661529541,0.0,0.0,-0.207319974899292,0.0,0.0
clean,21,pair_0080,01,01,-4.269933223724365,-4.09474515914917,0.0,0.0,-0.1751880645751953,0.0,0.0
clean,21,pair_0081,01,02,-4.222221374511719,-4.20202112197876,0.0,0.0,-0.020200252532958984,0.0,0.0
clean,21,pair_0082,02,01,-3.776475191116333,-3.3417794704437256,0.0,0.0,-0.4346957206726074,0.0,0.0
clean,21,pair_0083,02,02,-3.3170056343078613,-3.4587490558624268,0.0,0.0,0.14174342155456543,0.0,0.0
clean,22,pair_0084,01,01,-4.489823341369629,-4.763824462890625,0.0,0.0,0.2740011215209961,0.0,0.0
clean,22,pair_0085,01,02,-4.036124229431152,-4.4401750564575195,0.0,0.0,0.4040508270263672,0.0,0.0
clean,22,pair_0086,02,01,-3.6062417030334473,-3.6647796630859375,0.0,0.0,0.058537960052490234,0.0,0.0
clean,22,pair_0087,02,02,-3.63923716545105,-3.512509346008301,0.0,0.0,-0.12672781944274902,0.0,0.0
