experiment_type,schedule_id,patch_kind,schedule_order,restore_layer,clamp_end_layer,n_pairs,mean_counterfactual_effect,sd_counterfactual_effect,ci95_low_counterfactual_effect,ci95_high_counterfactual_effect,median_counterfactual_effect,positive_ce_fraction,mean_happy_effect_toward_sad,mean_sad_effect_toward_happy,happy_direction_fraction,sad_direction_fraction,both_directions_fraction
audio_restore,audio_restore_at_18,audio_tokens,18.0,18,,96,0.02816660205523173,0.09169498781554151,0.00982378426552994,0.04650941984493352,0.03579282760620117,0.6354166666666666,0.028370221455891926,0.027962982654571533,0.625,0.6458333333333334,0.59375
audio_restore,audio_restore_at_19,audio_tokens,19.0,19,,96,0.03563356399536133,0.11095404608329444,0.01343813217492005,0.05782899581580261,0.04718780517578125,0.6041666666666666,0.036305864651997886,0.03496126333872477,0.6145833333333334,0.6145833333333334,0.5833333333333334
audio_restore,audio_restore_at_20,audio_tokens,20.0,20,,96,0.019383490085601807,0.13605400335134746,-0.007832978911084816,0.04659995908228843,0.01549530029296875,0.5833333333333334,0.0207441250483195,0.018022855122884113,0.59375,0.5416666666666666,0.5208333333333334
audio_restore,audio_restore_at_21,audio_tokens,21.0,21,,96,0.02810029188791911,0.1849951416230146,-0.008906443764821702,0.06510702754065992,0.03759479522705078,0.6145833333333334,0.03837962945302328,0.01782095432281494,0.6145833333333334,0.5729166666666666,0.5625
audio_restore,audio_restore_at_22,audio_tokens,22.0,22,,96,0.06117246548334757,0.2024455083266766,0.02067492946698537,0.10167000149970978,0.05645465850830078,0.65625,0.07114136219024658,0.05120356877644857,0.6770833333333334,0.625,0.6145833333333334
audio_restore,audio_restore_at_23,audio_tokens,23.0,23,,96,0.06081944704055786,0.20617522484912643,0.019575812331035225,0.1020630817500805,0.06524085998535156,0.6458333333333334,0.07201119263966878,0.04962770144144694,0.6354166666666666,0.6145833333333334,0.59375
audio_restore,audio_no_restore,audio_tokens,24.0,,,96,0.06081944704055786,0.20617522484912643,0.019575812331035225,0.1020630817500805,0.06524085998535156,0.6458333333333334,0.07201119263966878,0.04962770144144694,0.6354166666666666,0.6145833333333334,0.59375
decision_clamp,decision_clamp_to_17,decision_token,17.0,,17,96,-0.05902861555417379,0.4844296791990007,-0.1559347338618191,0.037877502753471536,-0.04898262023925781,0.40625,-0.059174040953318276,-0.0588831901550293,0.40625,0.40625,0.3958333333333333
decision_clamp,decision_clamp_to_18,decision_token,18.0,,18,96,-0.03382804989814758,0.48720568785720536,-0.1312894855924151,0.06363338579611995,-0.054456233978271484,0.4479166666666667,-0.03377050161361694,-0.03388559818267822,0.4479166666666667,0.4375,0.4375
decision_clamp,decision_clamp_to_19,decision_token,19.0,,19,96,-0.02944577733675639,0.49205685260809634,-0.1278776480920157,0.06898609341850294,-0.07896709442138672,0.4375,-0.02923482656478882,-0.029656728108723957,0.4270833333333333,0.4270833333333333,0.4166666666666667
decision_clamp,decision_clamp_to_20,decision_token,20.0,,20,96,-0.04346736272176107,0.4786073879447461,-0.13920878020835165,0.0522740547648295,-0.09371662139892578,0.4375,-0.04144632816314697,-0.04548839728037516,0.4375,0.4375,0.4270833333333333
decision_clamp,decision_clamp_to_21,decision_token,21.0,,21,96,-0.03366309404373169,0.4825796530565089,-0.130199130046484,0.06287294195902063,-0.06042194366455078,0.40625,-0.031595706939697266,-0.03573048114776611,0.4270833333333333,0.40625,0.40625
decision_clamp,decision_clamp_to_22,decision_token,22.0,,22,96,0.0042273302872975664,0.505620744888041,-0.09691788402727024,0.10537254460186536,-0.017887115478515625,0.4791666666666667,0.00419531265894572,0.004259347915649414,0.4791666666666667,0.4791666666666667,0.4791666666666667
decision_clamp,decision_clamp_to_23,decision_token,23.0,,23,96,-0.003039062023162842,0.5143779052214603,-0.10593607324809448,0.0998579492017688,-0.008612632751464844,0.4895833333333333,-0.002666473388671875,-0.0034116506576538086,0.4791666666666667,0.4895833333333333,0.4791666666666667
