layer_index,layer,audio_mean_counterfactual_effect,decision_mean_counterfactual_effect,audio_positive_ce_fraction,decision_positive_ce_fraction,audio_both_directions_fraction,decision_both_directions_fraction,audio_effective_by_mean_sign,decision_effective_by_mean_sign,audio_effective_by_ci95,decision_effective_by_ci95,interpretation
7,layer_7,-0.0324321985244751,0.021387428045272827,0.4270833333333333,0.59375,0.4270833333333333,0.5416666666666666,False,True,False,False,两类 patch 的 CE 都未达到 CI95 下界 > 0；不能据此区分 downstream readout、标签映射或 patch state 偏离分布
14,layer_14,-0.0009482701619466146,-0.021946370601654053,0.5416666666666666,0.4583333333333333,0.5208333333333334,0.4583333333333333,False,False,False,False,两类 patch 的 CE 都未达到 CI95 下界 > 0；不能据此区分 downstream readout、标签映射或 patch state 偏离分布
15,layer_15,-0.004495898882548015,-0.012476662794748941,0.5416666666666666,0.46875,0.5208333333333334,0.4583333333333333,False,False,False,False,两类 patch 的 CE 都未达到 CI95 下界 > 0；不能据此区分 downstream readout、标签映射或 patch state 偏离分布
17,layer_17,0.06081944704055786,-0.05902861555417379,0.6458333333333334,0.40625,0.59375,0.3958333333333333,True,False,True,False,audio patch 的 CE CI95 下界 > 0 而 decision patch 未达到；提示作用可能依赖分布式 token computation，或 decision patch 产生 off-manifold state
22,layer_22,-0.0006501475969950358,0.00015626351038614908,0.40625,0.46875,0.3854166666666667,0.46875,False,True,False,False,两类 patch 的 CE 都未达到 CI95 下界 > 0；不能据此区分 downstream readout、标签映射或 patch state 偏离分布
23,layer_23,0.0,-0.0036969780921936035,0.0,0.4791666666666667,0.0,0.4791666666666667,False,False,False,False,两类 patch 的 CE 都未达到 CI95 下界 > 0；不能据此区分 downstream readout、标签映射或 patch state 偏离分布
