family,layer_index,layer,speaker_held_out_actors,speaker_held_out_accuracy,statement_01_to_02_accuracy,statement_02_to_01_accuracy,statement_held_out_mean
llm_decision,7,layer_6,"19,20,21,22,23,24",0.6666666666666666,0.5833333333333334,0.6145833333333334,0.5989583333333334
llm_decision,8,layer_7,"19,20,21,22,23,24",0.8333333333333334,0.53125,0.6770833333333334,0.6041666666666667
llm_decision,9,layer_8,"19,20,21,22,23,24",0.75,0.5520833333333334,0.6666666666666666,0.609375
llm_decision,10,layer_9,"19,20,21,22,23,24",0.75,0.6041666666666666,0.65625,0.6302083333333333
llm_decision,11,layer_10,"19,20,21,22,23,24",0.8125,0.5833333333333334,0.625,0.6041666666666667
llm_decision,12,layer_11,"19,20,21,22,23,24",0.8333333333333334,0.5,0.6875,0.59375
llm_decision,13,layer_12,"19,20,21,22,23,24",0.8333333333333334,0.5729166666666666,0.5520833333333334,0.5625
llm_decision,14,layer_13,"19,20,21,22,23,24",0.7708333333333334,0.5208333333333334,0.6354166666666666,0.578125
llm_decision,15,layer_14,"19,20,21,22,23,24",0.6458333333333334,0.53125,0.5729166666666666,0.5520833333333333
llm_decision,16,layer_15,"19,20,21,22,23,24",0.6041666666666666,0.5416666666666666,0.5833333333333334,0.5625
llm_decision,17,layer_16,"19,20,21,22,23,24",0.7708333333333334,0.5,0.625,0.5625
llm_decision,18,layer_17,"19,20,21,22,23,24",0.8333333333333334,0.5104166666666666,0.5208333333333334,0.515625
llm_decision,19,layer_18,"19,20,21,22,23,24",0.75,0.5729166666666666,0.6041666666666666,0.5885416666666666
llm_decision,20,layer_19,"19,20,21,22,23,24",0.7708333333333334,0.625,0.53125,0.578125
llm_decision,21,layer_20,"19,20,21,22,23,24",0.7916666666666666,0.5520833333333334,0.5520833333333334,0.5520833333333334
llm_decision,22,layer_21,"19,20,21,22,23,24",0.7708333333333334,0.65625,0.5,0.578125
llm_decision,23,layer_22,"19,20,21,22,23,24",0.7291666666666666,0.53125,0.5,0.515625
llm_decision,24,layer_23,"19,20,21,22,23,24",0.7708333333333334,0.53125,0.5,0.515625
llm_prompt_last,0,embedding,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,1,layer_0,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,2,layer_1,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,3,layer_2,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,4,layer_3,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,5,layer_4,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,6,layer_5,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,7,layer_6,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,8,layer_7,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,9,layer_8,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,10,layer_9,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,11,layer_10,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,12,layer_11,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,13,layer_12,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,14,layer_13,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,15,layer_14,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,16,layer_15,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,17,layer_16,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,18,layer_17,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,19,layer_18,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,20,layer_19,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,21,layer_20,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,22,layer_21,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,23,layer_22,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
llm_prompt_last,24,layer_23,"19,20,21,22,23,24",0.5,0.5,0.5,0.5
