sample_id,pair_id,actor,statement,repetition,intensity,emotion,donor_sample_id,donor_sign,condition,component,restore_layers,clean_margin,patched_margin,restored_margin,patch_effect,remaining_effect,mediated_effect
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,v_audio_joint,v,"[18, 19, 20, 21, 22, 23]",-4.591665744781494,-4.7230024337768555,-4.625507354736328,0.13133668899536133,0.033841609954833984,0.09749507904052734
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,v_prompt_joint,v,"[18, 19, 20, 21, 22, 23]",-4.591665744781494,-4.7230024337768555,-4.7230024337768555,0.13133668899536133,0.13133668899536133,-0.0
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,v_other_joint,v,"[18, 19, 20, 21, 22, 23]",-4.591665744781494,-4.7230024337768555,-4.733625411987305,0.13133668899536133,0.14195966720581055,-0.010622978210449219
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,v_non_audio_joint,v,"[18, 19, 20, 21, 22, 23]",-4.591665744781494,-4.7230024337768555,-4.733625411987305,0.13133668899536133,0.14195966720581055,-0.010622978210449219
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,v_decision_joint,v,"[18, 19, 20, 21, 22, 23]",-4.591665744781494,-4.7230024337768555,-4.733588695526123,0.13133668899536133,0.1419229507446289,-0.010586261749267578
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,v_post_audio_marker_joint,v,"[18, 19, 20, 21, 22, 23]",-4.591665744781494,-4.7230024337768555,-4.7230377197265625,0.13133668899536133,0.13137197494506836,-3.528594970703125e-05
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,v_all_joint,v,"[18, 19, 20, 21, 22, 23]",-4.591665744781494,-4.7230024337768555,-4.621838569641113,0.13133668899536133,0.03017282485961914,0.10116386413574219
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,v_audio_joint,v,"[18, 19, 20, 21, 22, 23]",-4.472484111785889,-4.368217468261719,-4.382829666137695,0.10426664352416992,0.08965444564819336,0.014612197875976562
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,v_prompt_joint,v,"[18, 19, 20, 21, 22, 23]",-4.472484111785889,-4.368217468261719,-4.368217468261719,0.10426664352416992,0.10426664352416992,0.0
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,v_other_joint,v,"[18, 19, 20, 21, 22, 23]",-4.472484111785889,-4.368217468261719,-4.356226444244385,0.10426664352416992,0.1162576675415039,-0.011991024017333984
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,v_non_audio_joint,v,"[18, 19, 20, 21, 22, 23]",-4.472484111785889,-4.368217468261719,-4.356226444244385,0.10426664352416992,0.1162576675415039,-0.011991024017333984
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,v_decision_joint,v,"[18, 19, 20, 21, 22, 23]",-4.472484111785889,-4.368217468261719,-4.356276512145996,0.10426664352416992,0.11620759963989258,-0.011940956115722656
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,v_post_audio_marker_joint,v,"[18, 19, 20, 21, 22, 23]",-4.472484111785889,-4.368217468261719,-4.36816930770874,0.10426664352416992,0.10431480407714844,-4.8160552978515625e-05
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,v_all_joint,v,"[18, 19, 20, 21, 22, 23]",-4.472484111785889,-4.368217468261719,-4.376524925231934,0.10426664352416992,0.09595918655395508,0.008307456970214844
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,v_audio_joint,v,"[18, 19, 20, 21, 22, 23]",-4.798401832580566,-4.856759071350098,-4.846764087677002,0.05835723876953125,0.04836225509643555,0.009994983673095703
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,v_prompt_joint,v,"[18, 19, 20, 21, 22, 23]",-4.798401832580566,-4.856759071350098,-4.856759071350098,0.05835723876953125,0.05835723876953125,-0.0
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,v_other_joint,v,"[18, 19, 20, 21, 22, 23]",-4.798401832580566,-4.856759071350098,-4.857651710510254,0.05835723876953125,0.0592498779296875,-0.00089263916015625
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,v_non_audio_joint,v,"[18, 19, 20, 21, 22, 23]",-4.798401832580566,-4.856759071350098,-4.857651710510254,0.05835723876953125,0.0592498779296875,-0.00089263916015625
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,v_decision_joint,v,"[18, 19, 20, 21, 22, 23]",-4.798401832580566,-4.856759071350098,-4.857658386230469,0.05835723876953125,0.059256553649902344,-0.0008993148803710938
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,v_post_audio_marker_joint,v,"[18, 19, 20, 21, 22, 23]",-4.798401832580566,-4.856759071350098,-4.856745719909668,0.05835723876953125,0.05834388732910156,1.33514404296875e-05
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,v_all_joint,v,"[18, 19, 20, 21, 22, 23]",-4.798401832580566,-4.856759071350098,-4.841734886169434,0.05835723876953125,0.04333305358886719,0.015024185180664062
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,1,v_audio_joint,v,"[18, 19, 20, 21, 22, 23]",-4.81397819519043,-4.774052143096924,-4.919282913208008,0.03992605209350586,-0.10530471801757812,0.14523077011108398
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,1,v_prompt_joint,v,"[18, 19, 20, 21, 22, 23]",-4.81397819519043,-4.774052143096924,-4.774052143096924,0.03992605209350586,0.03992605209350586,0.0
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,1,v_other_joint,v,"[18, 19, 20, 21, 22, 23]",-4.81397819519043,-4.774052143096924,-4.772141933441162,0.03992605209350586,0.04183626174926758,-0.0019102096557617188
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,1,v_non_audio_joint,v,"[18, 19, 20, 21, 22, 23]",-4.81397819519043,-4.774052143096924,-4.772141933441162,0.03992605209350586,0.04183626174926758,-0.0019102096557617188
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,1,v_decision_joint,v,"[18, 19, 20, 21, 22, 23]",-4.81397819519043,-4.774052143096924,-4.772137641906738,0.03992605209350586,0.041840553283691406,-0.0019145011901855469
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,1,v_post_audio_marker_joint,v,"[18, 19, 20, 21, 22, 23]",-4.81397819519043,-4.774052143096924,-4.774060249328613,0.03992605209350586,0.039917945861816406,8.106231689453125e-06
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,1,v_all_joint,v,"[18, 19, 20, 21, 22, 23]",-4.81397819519043,-4.774052143096924,-4.9160661697387695,0.03992605209350586,-0.10208797454833984,0.1420140266418457
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,-1,v_audio_joint,v,"[18, 19, 20, 21, 22, 23]",-3.534588098526001,-3.6721723079681396,-3.410766839981079,0.13758420944213867,-0.12382125854492188,0.26140546798706055
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,-1,v_prompt_joint,v,"[18, 19, 20, 21, 22, 23]",-3.534588098526001,-3.6721723079681396,-3.6721723079681396,0.13758420944213867,0.13758420944213867,-0.0
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,-1,v_other_joint,v,"[18, 19, 20, 21, 22, 23]",-3.534588098526001,-3.6721723079681396,-3.6705496311187744,0.13758420944213867,0.13596153259277344,0.0016226768493652344
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,-1,v_non_audio_joint,v,"[18, 19, 20, 21, 22, 23]",-3.534588098526001,-3.6721723079681396,-3.6705496311187744,0.13758420944213867,0.13596153259277344,0.0016226768493652344
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,-1,v_decision_joint,v,"[18, 19, 20, 21, 22, 23]",-3.534588098526001,-3.6721723079681396,-3.6705832481384277,0.13758420944213867,0.13599514961242676,0.001589059829711914
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,-1,v_post_audio_marker_joint,v,"[18, 19, 20, 21, 22, 23]",-3.534588098526001,-3.6721723079681396,-3.672147512435913,0.13758420944213867,0.1375594139099121,2.47955322265625e-05
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,-1,v_all_joint,v,"[18, 19, 20, 21, 22, 23]",-3.534588098526001,-3.6721723079681396,-3.395200490951538,0.13758420944213867,-0.1393876075744629,0.27697181701660156
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,1,v_audio_joint,v,"[18, 19, 20, 21, 22, 23]",-3.9419286251068115,-3.8145644664764404,-3.878784418106079,0.1273641586303711,0.06314420700073242,0.06421995162963867
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,1,v_prompt_joint,v,"[18, 19, 20, 21, 22, 23]",-3.9419286251068115,-3.8145644664764404,-3.8145644664764404,0.1273641586303711,0.1273641586303711,0.0
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,1,v_other_joint,v,"[18, 19, 20, 21, 22, 23]",-3.9419286251068115,-3.8145644664764404,-3.8150434494018555,0.1273641586303711,0.12688517570495605,0.00047898292541503906
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,1,v_non_audio_joint,v,"[18, 19, 20, 21, 22, 23]",-3.9419286251068115,-3.8145644664764404,-3.8150434494018555,0.1273641586303711,0.12688517570495605,0.00047898292541503906
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,1,v_decision_joint,v,"[18, 19, 20, 21, 22, 23]",-3.9419286251068115,-3.8145644664764404,-3.8150153160095215,0.1273641586303711,0.12691330909729004,0.0004508495330810547
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,1,v_post_audio_marker_joint,v,"[18, 19, 20, 21, 22, 23]",-3.9419286251068115,-3.8145644664764404,-3.8145856857299805,0.1273641586303711,0.12734293937683105,2.1219253540039062e-05
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,1,v_all_joint,v,"[18, 19, 20, 21, 22, 23]",-3.9419286251068115,-3.8145644664764404,-3.885540723800659,0.1273641586303711,0.056387901306152344,0.07097625732421875
pair_0003_happy,pair_0003,01,02,02,01,happy,pair_0003_sad,-1,v_audio_joint,v,"[18, 19, 20, 21, 22, 23]",-3.50520396232605,-3.617319107055664,-3.5777664184570312,0.11211514472961426,0.07256245613098145,0.03955268859863281
pair_0003_happy,pair_0003,01,02,02,01,happy,pair_0003_sad,-1,v_prompt_joint,v,"[18, 19, 20, 21, 22, 23]",-3.50520396232605,-3.617319107055664,-3.617319107055664,0.11211514472961426,0.11211514472961426,-0.0
pair_0003_happy,pair_0003,01,02,02,01,happy,pair_0003_sad,-1,v_other_joint,v,"[18, 19, 20, 21, 22, 23]",-3.50520396232605,-3.617319107055664,-3.61600399017334,0.11211514472961426,0.11080002784729004,0.0013151168823242188
pair_0003_happy,pair_0003,01,02,02,01,happy,pair_0003_sad,-1,v_non_audio_joint,v,"[18, 19, 20, 21, 22, 23]",-3.50520396232605,-3.617319107055664,-3.61600399017334,0.11211514472961426,0.11080002784729004,0.0013151168823242188
pair_0003_happy,pair_0003,01,02,02,01,happy,pair_0003_sad,-1,v_decision_joint,v,"[18, 19, 20, 21, 22, 23]",-3.50520396232605,-3.617319107055664,-3.6160309314727783,0.11211514472961426,0.11082696914672852,0.0012881755828857422
