layer_index,head_index,n_samples,n_pairs,mean_attention_mass,sd_attention_mass,mean_audio_value_contribution_norm,sd_audio_value_contribution_norm,mean_sad_minus_happy_attention_mass,mean_abs_sad_minus_happy_attention_mass,mean_sad_minus_happy_value_norm,mean_abs_sad_minus_happy_value_norm,attention_value_product,corr_pair_attention_delta_with_layer17_ce,corr_pair_value_delta_with_layer17_ce
0,0,192,96,0.8299021124839783,0.00034652615431696177,0.0031211639288812876,3.533319977577776e-05,-6.50839283480309e-05,0.0002695675939321518,-2.06069671548903e-05,4.1240145947085693e-05,0.0025902604684233665,0.01800153530342327,0.16726652139351608
0,1,192,96,0.8421511054039001,0.00039681410999037325,0.005939881782978773,8.267326484201476e-05,-0.00014162249863147736,0.00035546161234378815,3.3467873436165974e-05,7.131011079763994e-05,0.0050022779032588005,-0.011345897504229785,0.11236537307087993
0,2,192,96,0.8425012230873108,0.00030748595600016415,0.004724970553070307,6.838022818556055e-05,-6.356524681905285e-05,0.0002334720193175599,2.3373126168735325e-05,5.956735913059674e-05,0.00398079352453351,-0.06384389178079139,0.0655107108742317
0,3,192,96,0.8553939461708069,0.0004561560053844005,0.008322886191308498,0.00012295678607188165,-0.0001005716621875763,0.0003794717194978148,7.058011397020891e-05,0.00011907995940418914,0.007119346410036087,-0.07551379877713722,0.06724765687768462
0,4,192,96,0.6795013546943665,0.0013924172380939126,0.009471649304032326,0.00016634324856568128,-0.0007909939740784466,0.0012345978757366538,1.339830760116456e-05,0.00013703663717024028,0.0064359987154603004,0.01500017568239109,0.08773661043963048
0,5,192,96,0.9993876814842224,3.360084974701749e-06,0.008472699671983719,0.00012655674072448164,1.3131648302078247e-06,3.0888866149325622e-06,2.090911402774509e-05,0.00012978784798178822,0.008467511273920536,0.10572322841383337,-0.008252339695640206
0,6,192,96,0.8218973278999329,0.0004477735492400825,0.007611544337123632,0.00020537135424092412,0.0001708666532067582,0.0004909646813757718,8.423058170592412e-05,0.00019754173990804702,0.006255907937884331,0.04335712595793222,-0.036823155429324114
0,7,192,96,0.8419308662414551,0.0010386485373601317,0.038922157138586044,0.00010749325156211853,-0.000486152246594429,0.0010965460678562522,-4.526825432549231e-05,0.00011217454448342323,0.032769765704870224,-0.002799477536823946,0.08242380661401251
0,8,192,96,0.9479239583015442,0.00019174824410583824,0.043021202087402344,7.660913252038881e-05,-9.291432797908783e-05,0.00016628143202979118,-2.3587335817865096e-05,6.873902020743117e-05,0.04078082740306854,0.008986153792103886,-0.002311834009101967
0,9,192,96,0.9198005795478821,0.00031926934025250375,0.042145729064941406,7.566630665678531e-05,-4.593406993080862e-05,0.0002913984062615782,-4.388310480862856e-05,7.67829260439612e-05,0.038765665143728256,-0.013028002810116327,0.027083907657717503
0,10,192,96,0.9092519283294678,0.00021461144206114113,0.03999311849474907,7.116471533663571e-05,-0.0001504278479842469,0.00020029830920975655,-4.016479942947626e-05,7.020507473498583e-05,0.03636382147669792,0.06321607695638123,0.03484162180917536
0,11,192,96,0.9168874621391296,0.00027858183602802455,0.04058421403169632,7.060167263261974e-05,-2.6409203201183118e-05,0.00021756626665592194,-3.4477987355785444e-05,6.738425145158544e-05,0.037211157381534576,0.04383006103175324,0.013391927283264486
0,12,192,96,1.0,7.0604244228889e-08,0.042379479855298996,0.0001614902139408514,1.7384687467369986e-08,7.078051567077637e-08,-2.6780569442053093e-06,0.00012433082156348974,0.042379479855298996,0.03287964497723958,0.07527817461374524
0,13,192,96,0.9428872466087341,0.0006221013609319925,0.04319480061531067,0.00011002778774127364,-0.0004517883062362671,0.0006889936630614102,-6.019215288688429e-05,0.00010607609146973118,0.040727827697992325,0.07861549638628877,0.00788925692232571
1,0,192,96,0.8642411231994629,0.0008420069934800267,2.4052734375,0.0026569082401692867,4.532374441623688e-05,0.0007848397945053875,-0.0006099914317019284,0.002673514187335968,2.0787363052368164,0.020559830343106048,-0.05578707005923825
1,1,192,96,0.2155223935842514,0.01202473510056734,0.5653376579284668,0.030781278386712074,-0.001335606793873012,0.01175339799374342,-0.00729394843801856,0.030649429187178612,0.12184292823076248,0.0019956894661201075,-0.03789875411088584
1,2,192,96,0.6222462058067322,0.003850810695439577,1.784079909324646,0.018552429974079132,-0.0015945428749546409,0.002759582595899701,-0.006234198808670044,0.012419387698173523,1.1101369857788086,0.1558640767851345,0.0898750832748044
1,3,192,96,0.5865042805671692,0.02948426641523838,1.6396808624267578,0.13596951961517334,-0.00724013103172183,0.02904129959642887,-0.010183244943618774,0.11592280864715576,0.9616798162460327,-0.316699069772212,-0.4481226359515021
1,4,192,96,0.49065375328063965,0.024015583097934723,1.6106009483337402,0.11304977536201477,-0.0028774940874427557,0.027727194130420685,-0.014560289680957794,0.12739218771457672,0.79024738073349,0.008161258486495827,0.046415901625045414
1,5,192,96,0.13907670974731445,0.0013268496841192245,0.43563079833984375,0.00478303711861372,-0.0006903810426592827,0.001263940124772489,-0.0023142918944358826,0.0043703545816242695,0.060586098581552505,-0.13998585937615857,-0.1824857975825174
1,6,192,96,0.2430075854063034,0.009065313264727592,0.671100914478302,0.026759695261716843,0.0037013457622379065,0.009805883280932903,0.008577976375818253,0.02838367410004139,0.16308261454105377,0.055520604341281476,0.05155326849199065
1,7,192,96,0.26374974846839905,0.002758285729214549,0.2865375876426697,0.0030301001388579607,-0.0013012951239943504,0.0027265308890491724,0.00024390996259171516,0.002876255428418517,0.07557421922683716,-0.03475866869546896,-0.06603748268373989
1,8,192,96,0.31980833411216736,0.006564673501998186,0.2617987394332886,0.006993595045059919,-0.001658349297940731,0.006506800651550293,0.001289408770389855,0.006387818604707718,0.08372541517019272,-0.005566186331089522,0.019590281101220946
1,9,192,96,0.22815825045108795,0.0018506551859900355,0.2615719735622406,0.0022427821531891823,0.0006815358065068722,0.002105016028508544,0.0006897176499478519,0.00214332970790565,0.059679802507162094,-0.02651012312295803,-0.06819330599651612
1,10,192,96,0.7624031901359558,0.0031035158317536116,0.936903178691864,0.01381521113216877,0.0002200075687142089,0.0033579524606466293,-0.0008384858374483883,0.013067998923361301,0.7142979502677917,0.05652326129120931,-0.0043730218524885974
1,11,192,96,0.10596415400505066,0.001094176433980465,0.11384119838476181,0.001004032208584249,-0.00012876512482762337,0.00114508590195328,-5.909777246415615e-05,0.0009697684436105192,0.012063086032867432,-0.19738399108875784,-0.02643092846842316
1,12,192,96,0.31162378191947937,0.006602700334042311,0.25580549240112305,0.006858931854367256,-0.005130288656800985,0.007169587071985006,-0.00035115424543619156,0.005686117801815271,0.0797150731086731,0.031948669354748715,0.04831030317065894
