endpoint,statement,condition,metric,mean,ci_low,ci_high
block6,01,clean,mean_within_fold_auc,0.9583333333333334,0.9166666666666666,0.9895833333333334
block6,01,clean,pooled_roc_auc,0.9270833333333334,0.8797634548611112,0.96875
block6,01,clean,accuracy,0.8333333333333334,0.75,0.90625
block6,01,no_attn,mean_within_fold_auc,0.96875,0.9166666666666666,1.0
block6,01,no_attn,pooled_roc_auc,0.91015625,0.8511176215277778,0.9657118055555556
block6,01,no_attn,accuracy,0.8333333333333334,0.7395833333333334,0.9166666666666666
block6,01,no_mlp,mean_within_fold_auc,0.8854166666666666,0.7916666666666666,0.96875
block6,01,no_mlp,pooled_roc_auc,0.8650173611111112,0.7864583333333334,0.9361979166666666
block6,01,no_mlp,accuracy,0.8125,0.71875,0.90625
block6,02,clean,mean_within_fold_auc,0.9375,0.875,0.9895833333333334
block6,02,clean,pooled_roc_auc,0.8927951388888888,0.82333984375,0.9557291666666666
block6,02,clean,accuracy,0.7916666666666666,0.7083333333333334,0.875
block6,02,no_attn,mean_within_fold_auc,0.8645833333333334,0.7395833333333334,0.96875
block6,02,no_attn,pooled_roc_auc,0.8402777777777778,0.7287326388888888,0.9361979166666666
block6,02,no_attn,accuracy,0.8229166666666666,0.7395833333333334,0.8958333333333334
block6,02,no_mlp,mean_within_fold_auc,0.9583333333333334,0.8854166666666666,1.0
block6,02,no_mlp,pooled_roc_auc,0.9014756944444444,0.8394097222222222,0.9565972222222222
block6,02,no_mlp,accuracy,0.8020833333333334,0.7083333333333334,0.8854166666666666
block6,combined,clean,mean_within_fold_auc,0.9479166666666666,0.9114583333333334,0.9791666666666666
block6,combined,clean,pooled_roc_auc,0.9093967013888888,0.875,0.9445529513888888
block6,combined,clean,accuracy,0.8125,0.765625,0.859375
block6,combined,no_attn,mean_within_fold_auc,0.9166666666666666,0.8541666666666666,0.96875
block6,combined,no_attn,pooled_roc_auc,0.8766276041666666,0.8107611762152778,0.9373942057291667
block6,combined,no_attn,accuracy,0.828125,0.765625,0.8854166666666666
block6,combined,no_mlp,mean_within_fold_auc,0.921875,0.8697916666666666,0.96875
block6,combined,no_mlp,pooled_roc_auc,0.8822699652777778,0.8314887152777778,0.9325113932291667
block6,combined,no_mlp,accuracy,0.8072916666666666,0.7395833333333334,0.875
final_answer,01,clean,mean_within_fold_auc,0.8333333333333334,0.75,0.9166666666666666
final_answer,01,clean,pooled_roc_auc,0.8168402777777778,0.7313368055555556,0.8967013888888888
final_answer,01,clean,accuracy,0.7604166666666666,0.6666666666666666,0.84375
final_answer,01,no_attn,mean_within_fold_auc,0.9479166666666666,0.8958333333333334,0.9895833333333334
final_answer,01,no_attn,pooled_roc_auc,0.9032118055555556,0.8515625,0.9518229166666666
final_answer,01,no_attn,accuracy,0.8020833333333334,0.7395833333333334,0.8645833333333334
final_answer,01,no_mlp,mean_within_fold_auc,0.8854166666666666,0.78125,0.96875
final_answer,01,no_mlp,pooled_roc_auc,0.8489583333333334,0.7517361111111112,0.93359375
final_answer,01,no_mlp,accuracy,0.7916666666666666,0.7083333333333334,0.875
final_answer,02,clean,mean_within_fold_auc,0.875,0.8020833333333334,0.9375
final_answer,02,clean,pooled_roc_auc,0.8246527777777778,0.7530381944444444,0.8958333333333334
final_answer,02,clean,accuracy,0.75,0.6770833333333334,0.8229166666666666
final_answer,02,no_attn,mean_within_fold_auc,0.9166666666666666,0.8333333333333334,0.9895833333333334
final_answer,02,no_attn,pooled_roc_auc,0.8372395833333334,0.7573676215277778,0.9184027777777778
final_answer,02,no_attn,accuracy,0.8125,0.7291666666666666,0.8958333333333334
final_answer,02,no_mlp,mean_within_fold_auc,0.8541666666666666,0.7708333333333334,0.9270833333333334
final_answer,02,no_mlp,pooled_roc_auc,0.8454861111111112,0.7760416666666666,0.9088541666666666
final_answer,02,no_mlp,accuracy,0.71875,0.6458333333333334,0.8020833333333334
final_answer,combined,clean,mean_within_fold_auc,0.8541666666666666,0.796875,0.90625
final_answer,combined,clean,pooled_roc_auc,0.8219401041666666,0.7738715277777778,0.8675130208333334
final_answer,combined,clean,accuracy,0.7552083333333334,0.703125,0.8072916666666666
final_answer,combined,no_attn,mean_within_fold_auc,0.9322916666666666,0.8802083333333334,0.9739583333333334
final_answer,combined,no_attn,pooled_roc_auc,0.8702256944444444,0.8200954861111112,0.9217664930555556
final_answer,combined,no_attn,accuracy,0.8072916666666666,0.75,0.8645833333333334
final_answer,combined,no_mlp,mean_within_fold_auc,0.8697916666666666,0.796875,0.9322916666666666
final_answer,combined,no_mlp,pooled_roc_auc,0.8478732638888888,0.7950303819444444,0.8985460069444444
final_answer,combined,no_mlp,accuracy,0.7552083333333334,0.6979166666666666,0.8125
