sample_id,pair_id,actor,statement,repetition,intensity,emotion,donor_sample_id,donor_sign,condition,component,restore_layers,clean_margin,patched_margin,restored_margin,patch_effect,remaining_effect,mediated_effect
pair_0013_sad,pair_0013,04,01,02,01,sad,pair_0013_happy,1,attention_19,attention,[19],-4.604321002960205,-4.562905788421631,-4.62753963470459,0.04141521453857422,-0.023218631744384766,0.06463384628295898
pair_0013_sad,pair_0013,04,01,02,01,sad,pair_0013_happy,1,mlp_19,mlp,[19],-4.604321002960205,-4.562905788421631,-4.586884498596191,0.04141521453857422,0.017436504364013672,0.023978710174560547
pair_0013_sad,pair_0013,04,01,02,01,sad,pair_0013_happy,1,attention_20,attention,[20],-4.604321002960205,-4.562905788421631,-4.549464225769043,0.04141521453857422,0.05485677719116211,-0.01344156265258789
pair_0013_sad,pair_0013,04,01,02,01,sad,pair_0013_happy,1,mlp_20,mlp,[20],-4.604321002960205,-4.562905788421631,-4.5392255783081055,0.04141521453857422,0.06509542465209961,-0.02368021011352539
pair_0013_sad,pair_0013,04,01,02,01,sad,pair_0013_happy,1,attention_21,attention,[21],-4.604321002960205,-4.562905788421631,-4.544718265533447,0.04141521453857422,0.05960273742675781,-0.018187522888183594
pair_0013_sad,pair_0013,04,01,02,01,sad,pair_0013_happy,1,mlp_21,mlp,[21],-4.604321002960205,-4.562905788421631,-4.583029270172119,0.04141521453857422,0.021291732788085938,0.02012348175048828
pair_0013_sad,pair_0013,04,01,02,01,sad,pair_0013_happy,1,attention_22,attention,[22],-4.604321002960205,-4.562905788421631,-4.560473918914795,0.04141521453857422,0.043847084045410156,-0.0024318695068359375
pair_0013_sad,pair_0013,04,01,02,01,sad,pair_0013_happy,1,mlp_22,mlp,[22],-4.604321002960205,-4.562905788421631,-4.600525856018066,0.04141521453857422,0.003795146942138672,0.03762006759643555
pair_0013_sad,pair_0013,04,01,02,01,sad,pair_0013_happy,1,attention_23,attention,[23],-4.604321002960205,-4.562905788421631,-4.587447166442871,0.04141521453857422,0.016873836517333984,0.024541378021240234
pair_0013_sad,pair_0013,04,01,02,01,sad,pair_0013_happy,1,mlp_23,mlp,[23],-4.604321002960205,-4.562905788421631,-4.55843448638916,0.04141521453857422,0.04588651657104492,-0.004471302032470703
