sample_id,pair_id,actor,statement,repetition,intensity,emotion,donor_sample_id,donor_sign,layer_index,clean_raw,patched_raw,delta_raw,clean_lens,patched_lens,delta_lens
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,0,-0.23837246000766754,-0.23837246000766754,-0.0,3.2369284629821777,3.2369284629821777,-0.0
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,1,-0.5082271099090576,-0.5082271099090576,-0.0,2.8108561038970947,2.8108561038970947,-0.0
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,2,-0.8075524568557739,-0.8075524568557739,-0.0,1.7480971813201904,1.7480971813201904,-0.0
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,3,-0.7421479821205139,-0.7421479821205139,-0.0,2.202326774597168,2.202326774597168,-0.0
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,4,-0.7861490249633789,-0.7861490249633789,-0.0,1.881363034248352,1.881363034248352,-0.0
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,5,-0.9011924266815186,-0.9011924266815186,-0.0,1.3761539459228516,1.3761539459228516,-0.0
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,6,-1.046755313873291,-1.046755313873291,-0.0,0.6302857995033264,0.6302857995033264,-0.0
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,7,-1.2095087766647339,-1.2095087766647339,-0.0,0.08434039354324341,0.08434039354324341,-0.0
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,8,-1.5272630453109741,-1.5272630453109741,-0.0,-1.2014381885528564,-1.2014381885528564,-0.0
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,9,-1.704103946685791,-1.704103946685791,-0.0,-1.6468684673309326,-1.6468684673309326,-0.0
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,10,-2.0352048873901367,-2.0352048873901367,-0.0,-3.0353682041168213,-3.0353682041168213,-0.0
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,11,-1.9292218685150146,-1.9292218685150146,-0.0,-2.4168612957000732,-2.4168612957000732,-0.0
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,12,-1.715048909187317,-1.715048909187317,-0.0,-1.5244224071502686,-1.5244224071502686,-0.0
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,13,-2.1448230743408203,-2.1448230743408203,-0.0,-2.499985694885254,-2.499985694885254,-0.0
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,14,-2.371309757232666,-2.371309757232666,-0.0,-2.5512938499450684,-2.5512938499450684,-0.0
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,15,-2.827270030975342,-2.827270030975342,-0.0,-3.4614317417144775,-3.4614317417144775,-0.0
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,16,-2.939213275909424,-2.939213275909424,-0.0,-3.1756625175476074,-3.1756625175476074,-0.0
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,17,-3.4761829376220703,-3.4761829376220703,-0.0,-3.203017473220825,-3.203017473220825,-0.0
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,18,-4.1165547370910645,-4.176296234130859,0.05974149703979492,-3.1928577423095703,-3.2617273330688477,0.06886959075927734
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,19,-4.405713081359863,-4.587743759155273,0.18203067779541016,-2.1975748538970947,-2.4637298583984375,0.2661550045013428
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,20,-6.864339828491211,-7.0206499099731445,0.1563100814819336,-3.5846896171569824,-3.7916204929351807,0.20693087577819824
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,21,-8.343146324157715,-8.547937393188477,0.20479106903076172,-4.135995864868164,-4.369499206542969,0.2335033416748047
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,22,-11.818537712097168,-12.128450393676758,0.30991268157958984,-4.204164028167725,-4.405742645263672,0.20157861709594727
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,23,-16.623620986938477,-16.97893524169922,0.3553142547607422,-4.5916643142700195,-4.723003387451172,0.13133907318115234
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,0,-0.23781295120716095,-0.23781295120716095,0.0,3.2417280673980713,3.2417280673980713,0.0
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,1,-0.5284465551376343,-0.5284465551376343,0.0,2.705080986022949,2.705080986022949,0.0
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,2,-0.8064794540405273,-0.8064794540405273,0.0,1.7543587684631348,1.7543587684631348,0.0
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,3,-0.7509840726852417,-0.7509840726852417,0.0,2.1679091453552246,2.1679091453552246,0.0
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,4,-0.8067828416824341,-0.8067828416824341,0.0,1.790636658668518,1.790636658668518,0.0
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,5,-0.9142391681671143,-0.9142391681671143,0.0,1.3221545219421387,1.3221545219421387,0.0
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,6,-1.0525867938995361,-1.0525867938995361,0.0,0.6103032231330872,0.6103032231330872,0.0
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,7,-1.189037799835205,-1.189037799835205,0.0,0.17009341716766357,0.17009341716766357,0.0
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,8,-1.4900243282318115,-1.4900243282318115,0.0,-1.059291124343872,-1.059291124343872,0.0
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,9,-1.666710376739502,-1.666710376739502,0.0,-1.5210660696029663,-1.5210660696029663,0.0
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,10,-2.038889169692993,-2.038889169692993,0.0,-3.075047254562378,-3.075047254562378,0.0
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,11,-1.9242935180664062,-1.9242935180664062,0.0,-2.4292361736297607,-2.4292361736297607,0.0
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,12,-1.6912004947662354,-1.6912004947662354,0.0,-1.4608020782470703,-1.4608020782470703,0.0
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,13,-2.0406908988952637,-2.0406908988952637,0.0,-2.182140827178955,-2.182140827178955,0.0
