sample_id,pair_id,actor,statement,repetition,intensity,emotion,donor_sample_id,donor_sign,condition,component,restore_layers,clean_margin,patched_margin,restored_margin,patch_effect,remaining_effect,mediated_effect
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,mlp_23,mlp,[23],-4.591665744781494,-4.7230024337768555,-4.732125759124756,0.13133668899536133,0.14046001434326172,-0.00912332534790039
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,attention_joint,attention,"[18, 19, 20, 21, 22, 23]",-4.591665744781494,-4.7230024337768555,-4.591665744781494,0.13133668899536133,-0.0,0.13133668899536133
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,mlp_joint,mlp,"[18, 19, 20, 21, 22, 23]",-4.591665744781494,-4.7230024337768555,-4.725184440612793,0.13133668899536133,0.13351869583129883,-0.0021820068359375
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,qk_18,qk,[18],-4.591665744781494,-4.7230024337768555,-4.6892547607421875,0.13133668899536133,0.09758901596069336,0.03374767303466797
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,v_18,v,[18],-4.591665744781494,-4.7230024337768555,-4.691921710968018,0.13133668899536133,0.10025596618652344,0.03108072280883789
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,qk_19,qk,[19],-4.591665744781494,-4.7230024337768555,-4.824790954589844,0.13133668899536133,0.2331252098083496,-0.10178852081298828
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,v_19,v,[19],-4.591665744781494,-4.7230024337768555,-4.739448547363281,0.13133668899536133,0.1477828025817871,-0.01644611358642578
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,qk_20,qk,[20],-4.591665744781494,-4.7230024337768555,-4.766988754272461,0.13133668899536133,0.1753230094909668,-0.04398632049560547
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,v_20,v,[20],-4.591665744781494,-4.7230024337768555,-4.7844953536987305,0.13133668899536133,0.19282960891723633,-0.061492919921875
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,qk_21,qk,[21],-4.591665744781494,-4.7230024337768555,-4.76155948638916,0.13133668899536133,0.16989374160766602,-0.03855705261230469
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,v_21,v,[21],-4.591665744781494,-4.7230024337768555,-4.654160976409912,0.13133668899536133,0.06249523162841797,0.06884145736694336
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,qk_22,qk,[22],-4.591665744781494,-4.7230024337768555,-4.577237129211426,0.13133668899536133,-0.01442861557006836,0.1457653045654297
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,v_22,v,[22],-4.591665744781494,-4.7230024337768555,-4.6511688232421875,0.13133668899536133,0.05950307846069336,0.07183361053466797
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,qk_23,qk,[23],-4.591665744781494,-4.7230024337768555,-4.690316200256348,0.13133668899536133,0.09865045547485352,0.03268623352050781
