sample_id,pair_id,actor,statement,repetition,intensity,emotion,donor_sample_id,layer,clean_margin,patched_margin,donor_sign,patch_effect
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,16,-4.472484111785889,-4.232372283935547,1,0.2401118278503418
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,17,-4.472484111785889,-4.368217468261719,1,0.10426664352416992
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,18,-4.472484111785889,-4.377993583679199,1,0.09449052810668945
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,19,-4.472484111785889,-4.426765441894531,1,0.04571866989135742
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,20,-4.472484111785889,-4.403713226318359,1,0.0687708854675293
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,21,-4.472484111785889,-4.404670715332031,1,0.06781339645385742
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,22,-4.472484111785889,-4.453951835632324,1,0.018532276153564453
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,23,-4.472484111785889,-4.472484111785889,1,0.0
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,0,-4.798401832580566,-4.814067840576172,-1,0.01566600799560547
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,1,-4.798401832580566,-4.819057464599609,-1,0.02065563201904297
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,2,-4.798401832580566,-4.824169158935547,-1,0.02576732635498047
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,3,-4.798401832580566,-4.824100494384766,-1,0.02569866180419922
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,4,-4.798401832580566,-4.827657222747803,-1,0.029255390167236328
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,5,-4.798401832580566,-4.827882289886475,-1,0.029480457305908203
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,6,-4.798401832580566,-4.830783843994141,-1,0.03238201141357422
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,7,-4.798401832580566,-4.832162380218506,-1,0.03376054763793945
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,8,-4.798401832580566,-4.839664459228516,-1,0.04126262664794922
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,9,-4.798401832580566,-4.842280387878418,-1,0.04387855529785156
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,10,-4.798401832580566,-4.802430629730225,-1,0.004028797149658203
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,11,-4.798401832580566,-4.826289176940918,-1,0.027887344360351562
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,12,-4.798401832580566,-4.798406600952148,-1,4.76837158203125e-06
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,13,-4.798401832580566,-4.826988220214844,-1,0.028586387634277344
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,14,-4.798401832580566,-4.784624099731445,-1,-0.013777732849121094
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,15,-4.798401832580566,-4.742186069488525,-1,-0.056215763092041016
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,16,-4.798401832580566,-4.762220859527588,-1,-0.036180973052978516
