contrast,mean,ci_low,ci_high,n_pairs,n_actors
audio_minus_all,0.0030175348122914634,1.5893547485272245e-05,0.005938830940673748,96,24
audio_minus_other,0.06573980425794919,0.02171492191652457,0.10684676021337508,96,24
audio_minus_non_audio,0.06573980425794919,0.02171492191652457,0.10684676021337508,96,24
other_minus_decision,9.98377799987793e-07,-2.7427108337481815e-05,2.970354010661442e-05,96,24
other_minus_post_audio_marker,0.0007865714530150095,-0.0015972729461888472,0.0028729081153869617,96,24
all_minus_partition_sum,-0.0038055876890818277,-0.0064897297881543635,-0.0011074206170936438,96,24
