control,n_pairs,n_actor_clusters,mean_counterfactual_effect,sd_counterfactual_effect,ci95_low_normal,ci95_high_normal,ci95_low_actor_bootstrap,ci95_high_actor_bootstrap,median_counterfactual_effect,positive_ce_fraction,mean_happy_donor_aligned_effect,mean_sad_donor_aligned_effect,happy_direction_fraction,sad_direction_fraction,happy_donor_same_emotion_fraction,sad_donor_same_emotion_fraction,happy_donor_same_content_fraction,sad_donor_same_content_fraction,happy_donor_is_matched_counterpart_fraction,sad_donor_is_matched_counterpart_fraction
matched_swap,96,24,0.04555171728134155,0.17233456221651117,0.011077624979104375,0.08002580958357873,0.008185048898061117,0.08617083231608073,0.033850669860839844,0.625,0.04939050475756327,0.041712929805119835,0.625,0.6354166666666666,0.0,0.0,1.0,1.0,1.0,1.0
random_donor,96,24,0.03123752276102702,0.17800604639378767,-0.0043711026638954854,0.06684614818594953,-0.00022552907466888428,0.06481784582138062,0.02688288688659668,0.5625,0.04017957051595052,0.022295475006103516,0.5729166666666666,0.5520833333333334,0.40625,0.4479166666666667,0.2604166666666667,0.25,0.0,0.0
same_emotion,96,24,0.014178181687990824,0.12221470020027601,-0.010269850100904128,0.03862621347688577,-0.012049670020739237,0.03909865518411001,0.022092580795288086,0.5729166666666666,0.01315152645111084,0.01520483692487081,0.53125,0.5520833333333334,1.0,1.0,1.0,1.0,0.0,0.0
