added_block,mean,ci_low,ci_high,n_pairs,n_actors
19,0.02967930460969607,0.008282591092089812,0.051885508807996895,96,24
20,0.0017073191702365875,-0.0053157529172798,0.009200106592228006,96,24
21,0.007618121802806854,-0.0025564086933930713,0.017462867964059114,96,24
22,0.0020971372723579407,-0.035664380807429556,0.0319227852237721,96,24
23,0.010609852770964304,-0.00280417421211799,0.024061369212965165,96,24
