endpoint,statement,condition,metric,mean,ci_low,ci_high
block6,DFA,clean,mean_within_fold_auc,0.9886363636363636,0.9659090909090909,1.0
block6,DFA,clean,pooled_roc_auc,0.953254132231405,0.9212293388429752,0.9806301652892562
block6,DFA,clean,accuracy,0.8920454545454546,0.8465909090909091,0.9318181818181818
block6,DFA,no_attn,mean_within_fold_auc,0.9772727272727273,0.9431818181818182,1.0
block6,DFA,no_attn,pooled_roc_auc,0.9697830578512396,0.9480856146694214,0.9872159090909091
block6,DFA,no_attn,accuracy,0.9090909090909091,0.8636363636363636,0.9488636363636364
block6,DFA,no_mlp,mean_within_fold_auc,0.9886363636363636,0.9659090909090909,1.0
block6,DFA,no_mlp,pooled_roc_auc,0.9549328512396694,0.9248418130165289,0.9801136363636364
block6,DFA,no_mlp,accuracy,0.8806818181818182,0.8295454545454546,0.9261363636363636
block6,IOM,clean,mean_within_fold_auc,0.9545454545454546,0.9090909090909091,0.9886363636363636
block6,IOM,clean,pooled_roc_auc,0.9486053719008265,0.9155475206611571,0.9758522727272727
block6,IOM,clean,accuracy,0.8693181818181818,0.8181818181818182,0.9147727272727273
block6,IOM,no_attn,mean_within_fold_auc,0.9545454545454546,0.9090909090909091,0.9886363636363636
block6,IOM,no_attn,pooled_roc_auc,0.9536415289256198,0.9209710743801653,0.9802427685950413
block6,IOM,no_attn,accuracy,0.8863636363636364,0.8409090909090909,0.9261363636363636
block6,IOM,no_mlp,mean_within_fold_auc,0.9431818181818182,0.8863636363636364,0.9886363636363636
block6,IOM,no_mlp,pooled_roc_auc,0.9368543388429752,0.8974690082644629,0.9709452479338843
block6,IOM,no_mlp,accuracy,0.8806818181818182,0.8295454545454546,0.9261363636363636
block6,ITH,clean,mean_within_fold_auc,0.9090909090909091,0.8409090909090909,0.9659090909090909
block6,ITH,clean,pooled_roc_auc,0.8955320247933884,0.8509781766528925,0.9351756198347108
block6,ITH,clean,accuracy,0.8068181818181818,0.7443181818181818,0.8636363636363636
block6,ITH,no_attn,mean_within_fold_auc,0.9772727272727273,0.9431818181818182,1.0
block6,ITH,no_attn,pooled_roc_auc,0.956353305785124,0.9289772727272727,0.9784349173553719
block6,ITH,no_attn,accuracy,0.875,0.8295454545454546,0.9204545454545454
block6,ITH,no_mlp,mean_within_fold_auc,0.9659090909090909,0.9204545454545454,1.0
block6,ITH,no_mlp,pooled_roc_auc,0.9151601239669421,0.8757747933884298,0.949896694214876
block6,ITH,no_mlp,accuracy,0.8295454545454546,0.7784090909090909,0.8806818181818182
block6,ITS,clean,mean_within_fold_auc,0.9318181818181818,0.875,0.9772727272727273
block6,ITS,clean,pooled_roc_auc,0.934271694214876,0.8994059917355371,0.9634555785123967
block6,ITS,clean,accuracy,0.8352272727272727,0.7840909090909091,0.8863636363636364
block6,ITS,no_attn,mean_within_fold_auc,1.0,1.0,1.0
block6,ITS,no_attn,pooled_roc_auc,0.9730113636363636,0.9542871900826446,0.9890237603305785
block6,ITS,no_attn,accuracy,0.9147727272727273,0.875,0.9545454545454546
block6,ITS,no_mlp,mean_within_fold_auc,0.9318181818181818,0.875,0.9772727272727273
block6,ITS,no_mlp,pooled_roc_auc,0.921875,0.8842975206611571,0.9546778150826445
block6,ITS,no_mlp,accuracy,0.8465909090909091,0.7954545454545454,0.8977272727272727
block6,IWL,clean,mean_within_fold_auc,0.8181818181818182,0.7386363636363636,0.8977272727272727
block6,IWL,clean,pooled_roc_auc,0.8245092975206612,0.7652376033057852,0.8793904958677686
block6,IWL,clean,accuracy,0.7272727272727273,0.6647727272727273,0.7897727272727273
block6,IWL,no_attn,mean_within_fold_auc,0.9431818181818182,0.8863636363636364,0.9886363636363636
block6,IWL,no_attn,pooled_roc_auc,0.9329803719008265,0.8925619834710744,0.9662997159090908
block6,IWL,no_attn,accuracy,0.8806818181818182,0.8352272727272727,0.9261363636363636
block6,IWL,no_mlp,mean_within_fold_auc,0.8636363636363636,0.7840909090909091,0.9318181818181818
block6,IWL,no_mlp,pooled_roc_auc,0.853176652892562,0.7982922262396694,0.9037964876033058
block6,IWL,no_mlp,accuracy,0.7443181818181818,0.6761363636363636,0.8068181818181818
block6,IWW,clean,mean_within_fold_auc,0.9545454545454546,0.9090909090909091,0.9886363636363636
block6,IWW,clean,pooled_roc_auc,0.9138688016528925,0.8746126033057852,0.9492510330578512
block6,IWW,clean,accuracy,0.8295454545454546,0.7784090909090909,0.8806818181818182
block6,IWW,no_attn,mean_within_fold_auc,1.0,1.0,1.0
block6,IWW,no_attn,pooled_roc_auc,0.9621642561983471,0.9384039256198347,0.9826962809917356
block6,IWW,no_attn,accuracy,0.8863636363636364,0.8409090909090909,0.9261363636363636
block6,IWW,no_mlp,mean_within_fold_auc,0.9659090909090909,0.9204545454545454,1.0
block6,IWW,no_mlp,pooled_roc_auc,0.9296229338842975,0.8944957386363637,0.9608729338842975
block6,IWW,no_mlp,accuracy,0.8579545454545454,0.8068181818181818,0.9034090909090909
block6,MTI,clean,mean_within_fold_auc,0.9318181818181818,0.875,0.9772727272727273
block6,MTI,clean,pooled_roc_auc,0.9012138429752066,0.8589876033057852,0.9394369834710744
block6,MTI,clean,accuracy,0.8181818181818182,0.7613636363636364,0.8693181818181818
block6,MTI,no_attn,mean_within_fold_auc,0.9545454545454546,0.9090909090909091,0.9886363636363636
block6,MTI,no_attn,pooled_roc_auc,0.925103305785124,0.8899793388429752,0.9575154958677686
block6,MTI,no_attn,accuracy,0.8352272727272727,0.7840909090909091,0.8863636363636364
block6,MTI,no_mlp,mean_within_fold_auc,0.9431818181818182,0.8863636363636364,0.9886363636363636
block6,MTI,no_mlp,pooled_roc_auc,0.9152892561983471,0.8761621900826446,0.949896694214876
block6,MTI,no_mlp,accuracy,0.8409090909090909,0.7897727272727273,0.8920454545454546
block6,TAI,clean,mean_within_fold_auc,0.8977272727272727,0.8295454545454546,0.9545454545454546
block6,TAI,clean,pooled_roc_auc,0.8879132231404959,0.8394886363636364,0.9328512396694215
block6,TAI,clean,accuracy,0.8295454545454546,0.7727272727272727,0.8806818181818182
block6,TAI,no_attn,mean_within_fold_auc,0.9659090909090909,0.9204545454545454,1.0
block6,TAI,no_attn,pooled_roc_auc,0.9470557851239669,0.9189017303719008,0.9714617768595041
block6,TAI,no_attn,accuracy,0.8522727272727273,0.8011363636363636,0.8977272727272727
block6,TAI,no_mlp,mean_within_fold_auc,0.8636363636363636,0.7840909090909091,0.9318181818181818
block6,TAI,no_mlp,pooled_roc_auc,0.8826188016528925,0.8299328512396694,0.9301394628099173
block6,TAI,no_mlp,accuracy,0.8181818181818182,0.7613636363636364,0.8693181818181818
block6,TIE,clean,mean_within_fold_auc,0.875,0.8068181818181818,0.9431818181818182
block6,TIE,clean,pooled_roc_auc,0.8637654958677686,0.8130133006198347,0.9110278925619835
block6,TIE,clean,accuracy,0.7556818181818182,0.6931818181818182,0.8125
block6,TIE,no_attn,mean_within_fold_auc,0.875,0.8068181818181818,0.9431818181818182
block6,TIE,no_attn,pooled_roc_auc,0.8771952479338843,0.8234730113636364,0.9254939307851239
block6,TIE,no_attn,accuracy,0.8125,0.75,0.875
block6,TIE,no_mlp,mean_within_fold_auc,0.8977272727272727,0.8295454545454546,0.9545454545454546
block6,TIE,no_mlp,pooled_roc_auc,0.875129132231405,0.8243801652892562,0.9214908316115702
block6,TIE,no_mlp,accuracy,0.8011363636363636,0.7443181818181818,0.8579545454545454
block6,TSI,clean,mean_within_fold_auc,0.9886363636363636,0.9659090909090909,1.0
block6,TSI,clean,pooled_roc_auc,0.9274276859504132,0.8956579287190083,0.9567407024793388
block6,TSI,clean,accuracy,0.8238636363636364,0.7727272727272727,0.875
block6,TSI,no_attn,mean_within_fold_auc,0.9772727272727273,0.9431818181818182,1.0
block6,TSI,no_attn,pooled_roc_auc,0.9232954545454546,0.8880423553719008,0.9559659090909091
block6,TSI,no_attn,accuracy,0.8238636363636364,0.7727272727272727,0.875
block6,TSI,no_mlp,mean_within_fold_auc,0.9772727272727273,0.9431818181818182,1.0
block6,TSI,no_mlp,pooled_roc_auc,0.9296229338842975,0.8978564049586777,0.9589359504132231
block6,TSI,no_mlp,accuracy,0.8295454545454546,0.7784090909090909,0.8806818181818182
block6,WSI,clean,mean_within_fold_auc,0.9090909090909091,0.8409090909090909,0.9659090909090909
block6,WSI,clean,pooled_roc_auc,0.8721590909090909,0.8192148760330579,0.9198088842975206
block6,WSI,clean,accuracy,0.7897727272727273,0.7329545454545454,0.8409090909090909
block6,WSI,no_attn,mean_within_fold_auc,0.9545454545454546,0.9090909090909091,0.9886363636363636
block6,WSI,no_attn,pooled_roc_auc,0.9622933884297521,0.9369834710743802,0.9824380165289256
block6,WSI,no_attn,accuracy,0.8977272727272727,0.8522727272727273,0.9375
block6,WSI,no_mlp,mean_within_fold_auc,0.9204545454545454,0.8636363636363636,0.9772727272727273
block6,WSI,no_mlp,pooled_roc_auc,0.8990185950413223,0.8468459452479339,0.9426652892561983
block6,WSI,no_mlp,accuracy,0.8125,0.7556818181818182,0.8693181818181818
block6,combined,clean,mean_within_fold_auc,0.9235537190082646,0.9049586776859503,0.9411157024793387
block6,combined,clean,pooled_roc_auc,0.9033194453930743,0.8861192189314254,0.9200309437111537
block6,combined,clean,accuracy,0.8161157024793388,0.7944214876033058,0.8372933884297521
block6,combined,no_attn,mean_within_fold_auc,0.9617768595041322,0.9483471074380165,0.9741735537190082
block6,combined,no_attn,pooled_roc_auc,0.9438210760876989,0.9299661748258315,0.9569968325251007
block6,combined,no_attn,accuracy,0.8703512396694215,0.8486570247933884,0.890495867768595
block6,combined,no_mlp,mean_within_fold_auc,0.9328512396694214,0.9163223140495866,0.9493801652892561
block6,combined,no_mlp,pooled_roc_auc,0.9110663120688478,0.8942149827539103,0.9273557827761082
block6,combined,no_mlp,accuracy,0.831095041322314,0.809400826446281,0.8522727272727273
final_answer,DFA,clean,mean_within_fold_auc,0.8977272727272727,0.8295454545454546,0.9545454545454546
final_answer,DFA,clean,pooled_roc_auc,0.8540805785123967,0.8008780991735537,0.9044421487603306
final_answer,DFA,clean,accuracy,0.7727272727272727,0.7159090909090909,0.8295454545454546
final_answer,DFA,no_attn,mean_within_fold_auc,0.8636363636363636,0.7840909090909091,0.9318181818181818
final_answer,DFA,no_attn,pooled_roc_auc,0.8265754132231405,0.7714359504132231,0.8796487603305785
