endpoint,statement,contrast,left,right,metric,mean,ci_low,ci_high
block6,DFA,delta_A,no_attn,clean,mean_within_fold_auc,-0.011363636363636354,-0.05681818181818177,0.022727272727272707
block6,DFA,delta_A,no_attn,clean,pooled_roc_auc,0.016528925619834656,-0.012399922520661221,0.047778925619834656
block6,DFA,delta_A,no_attn,clean,accuracy,0.017045454545454475,-0.03977272727272729,0.07386363636363635
block6,DFA,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,-0.011363636363636354,-0.045454545454545525,0.022727272727272707
block6,DFA,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,0.014850206611570216,-0.013558884297520616,0.04571280991735538
block6,DFA,delta_A_minus_M,no_attn,no_mlp,accuracy,0.02840909090909083,-0.02840909090909094,0.09090909090909083
block6,DFA,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,0.0,-0.03409090909090906,0.03409090909090906
block6,DFA,delta_M_secondary,no_mlp,clean,pooled_roc_auc,0.0016787190082644399,-0.011108600206611618,0.016012396694214837
block6,DFA,delta_M_secondary,no_mlp,clean,accuracy,-0.011363636363636354,-0.03977272727272729,0.017045454545454475
block6,IOM,delta_A,no_attn,clean,mean_within_fold_auc,0.0,-0.045454545454545525,0.045454545454545525
block6,IOM,delta_A,no_attn,clean,pooled_roc_auc,0.00503615702479332,-0.029832773760330535,0.04080578512396693
block6,IOM,delta_A,no_attn,clean,accuracy,0.017045454545454586,-0.045454545454545525,0.07954545454545459
block6,IOM,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,0.011363636363636354,-0.03409090909090917,0.05681818181818188
block6,IOM,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,0.01678719008264462,-0.019240702479338845,0.05488119834710736
block6,IOM,delta_A_minus_M,no_attn,no_mlp,accuracy,0.005681818181818121,-0.05681818181818188,0.06818181818181823
block6,IOM,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,-0.011363636363636354,-0.05681818181818188,0.022727272727272818
block6,IOM,delta_M_secondary,no_mlp,clean,pooled_roc_auc,-0.011751033057851301,-0.036544421487603285,0.011880165289256173
block6,IOM,delta_M_secondary,no_mlp,clean,accuracy,0.011363636363636465,-0.03409090909090906,0.05681818181818188
block6,ITH,delta_A,no_attn,clean,mean_within_fold_auc,0.06818181818181823,0.022727272727272707,0.125
block6,ITH,delta_A,no_attn,clean,pooled_roc_auc,0.06082128099173556,0.02285640495867769,0.1039546745867768
block6,ITH,delta_A,no_attn,clean,accuracy,0.06818181818181823,0.0,0.13636363636363635
block6,ITH,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,0.011363636363636354,0.0,0.03409090909090917
block6,ITH,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,0.04119318181818188,0.008648631198347046,0.07722107438016523
block6,ITH,delta_A_minus_M,no_attn,no_mlp,accuracy,0.045454545454545414,-0.011363636363636465,0.10227272727272729
block6,ITH,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,0.05681818181818188,0.011363636363636354,0.11363636363636365
block6,ITH,delta_M_secondary,no_mlp,clean,pooled_roc_auc,0.01962809917355368,-0.0030991735537190257,0.044941244834710674
block6,ITH,delta_M_secondary,no_mlp,clean,accuracy,0.022727272727272818,-0.017045454545454586,0.0625
block6,ITS,delta_A,no_attn,clean,mean_within_fold_auc,0.06818181818181823,0.022727272727272707,0.125
block6,ITS,delta_A,no_attn,clean,pooled_roc_auc,0.038739669421487655,0.00839359504132231,0.07425426136363626
block6,ITS,delta_A,no_attn,clean,accuracy,0.07954545454545459,0.017045454545454586,0.14204545454545459
block6,ITS,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,0.06818181818181823,0.022727272727272707,0.125
block6,ITS,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,0.051136363636363646,0.018724173553719026,0.08948863636363635
block6,ITS,delta_A_minus_M,no_attn,no_mlp,accuracy,0.06818181818181823,0.011363636363636354,0.125
block6,ITS,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,0.0,-0.045454545454545525,0.045454545454545525
block6,ITS,delta_M_secondary,no_mlp,clean,pooled_roc_auc,-0.012396694214875992,-0.03189888946280992,0.005810950413223106
block6,ITS,delta_M_secondary,no_mlp,clean,accuracy,0.011363636363636354,-0.02840909090909094,0.051136363636363646
block6,IWL,delta_A,no_attn,clean,mean_within_fold_auc,0.125,0.03409090909090917,0.21590909090909094
block6,IWL,delta_A,no_attn,clean,pooled_roc_auc,0.10847107438016534,0.05255681818181823,0.1680010330578512
block6,IWL,delta_A,no_attn,clean,accuracy,0.15340909090909094,0.09090909090909083,0.22159090909090906
block6,IWL,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,0.07954545454545459,0.0,0.15909090909090917
block6,IWL,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,0.07980371900826455,0.026601239669421406,0.13455578512396693
block6,IWL,delta_A_minus_M,no_attn,no_mlp,accuracy,0.13636363636363646,0.06818181818181823,0.20454545454545459
block6,IWL,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,0.045454545454545414,0.0,0.10227272727272729
block6,IWL,delta_M_secondary,no_mlp,clean,pooled_roc_auc,0.028667355371900793,0.006973140495867836,0.05294421487603307
block6,IWL,delta_M_secondary,no_mlp,clean,accuracy,0.017045454545454475,-0.03409090909090906,0.06818181818181823
block6,IWW,delta_A,no_attn,clean,mean_within_fold_auc,0.045454545454545414,0.011363636363636354,0.09090909090909094
block6,IWW,delta_A,no_attn,clean,pooled_roc_auc,0.048295454545454586,0.009943181818181768,0.08948863636363635
block6,IWW,delta_A,no_attn,clean,accuracy,0.05681818181818177,-0.011363636363636354,0.125
block6,IWW,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,0.03409090909090906,0.0,0.07954545454545459
block6,IWW,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,0.0325413223140496,-0.004393724173553748,0.07141012396694213
block6,IWW,delta_A_minus_M,no_attn,no_mlp,accuracy,0.02840909090909094,-0.03409090909090917,0.09659090909090906
block6,IWW,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,0.011363636363636354,0.0,0.03409090909090917
block6,IWW,delta_M_secondary,no_mlp,clean,pooled_roc_auc,0.015754132231404983,-0.0037448347107438273,0.037577479338843034
block6,IWW,delta_M_secondary,no_mlp,clean,accuracy,0.02840909090909083,-0.005681818181818121,0.0625
block6,MTI,delta_A,no_attn,clean,mean_within_fold_auc,0.022727272727272818,-0.03409090909090917,0.09090909090909094
block6,MTI,delta_A,no_attn,clean,pooled_roc_auc,0.02388946280991744,-0.02169421487603307,0.07154248450413218
block6,MTI,delta_A,no_attn,clean,accuracy,0.017045454545454475,-0.05681818181818188,0.09090909090909094
block6,MTI,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,0.011363636363636354,-0.05681818181818188,0.07954545454545459
block6,MTI,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,0.009814049586776896,-0.03292871900826444,0.054364669421487655
block6,MTI,delta_A_minus_M,no_attn,no_mlp,accuracy,-0.005681818181818232,-0.07386363636363635,0.06818181818181823
block6,MTI,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,0.011363636363636465,-0.03409090909090917,0.05681818181818188
block6,MTI,delta_M_secondary,no_mlp,clean,pooled_roc_auc,0.014075413223140543,-0.00839359504132231,0.03757747933884292
block6,MTI,delta_M_secondary,no_mlp,clean,accuracy,0.022727272727272707,-0.017045454545454586,0.06818181818181812
block6,TAI,delta_A,no_attn,clean,mean_within_fold_auc,0.06818181818181823,0.011363636363636354,0.13636363636363635
block6,TAI,delta_A,no_attn,clean,pooled_roc_auc,0.05914256198347101,0.018333548553718958,0.10420971074380159
block6,TAI,delta_A,no_attn,clean,accuracy,0.022727272727272707,-0.045454545454545414,0.09090909090909094
