sample_id,pair_id,actor,statement,repetition,intensity,emotion,alpha,clean_margin,margin,shift_from_clean,edge_contribution
pair_0000_happy,pair_0000,01,01,01,01,happy,0.0,-4.591665744781494,-4.110310077667236,0.4813556671142578,-0.4813556671142578
pair_0000_happy,pair_0000,01,01,01,01,happy,0.5,-4.591665744781494,-4.434147357940674,0.1575183868408203,-0.1575183868408203
pair_0000_happy,pair_0000,01,01,01,01,happy,1.0,-4.591665744781494,-4.591665744781494,0.0,0.0
pair_0000_happy,pair_0000,01,01,01,01,happy,1.5,-4.591665744781494,-4.621680736541748,-0.030014991760253906,0.030014991760253906
pair_0000_happy,pair_0000,01,01,01,01,happy,2.0,-4.591665744781494,-4.55472469329834,0.0369410514831543,-0.0369410514831543
pair_0000_sad,pair_0000,01,01,01,01,sad,0.0,-4.472484111785889,-3.9678080081939697,0.504676103591919,-0.504676103591919
pair_0000_sad,pair_0000,01,01,01,01,sad,0.5,-4.472484111785889,-4.302165508270264,0.170318603515625,-0.170318603515625
pair_0000_sad,pair_0000,01,01,01,01,sad,1.0,-4.472484111785889,-4.472484111785889,0.0,0.0
pair_0000_sad,pair_0000,01,01,01,01,sad,1.5,-4.472484111785889,-4.513096809387207,-0.04061269760131836,0.04061269760131836
pair_0000_sad,pair_0000,01,01,01,01,sad,2.0,-4.472484111785889,-4.460498332977295,0.01198577880859375,-0.01198577880859375
pair_0001_happy,pair_0001,01,01,02,01,happy,0.0,-4.798401832580566,-4.231508731842041,0.5668931007385254,-0.5668931007385254
pair_0001_happy,pair_0001,01,01,02,01,happy,0.5,-4.798401832580566,-4.604541778564453,0.19386005401611328,-0.19386005401611328
pair_0001_happy,pair_0001,01,01,02,01,happy,1.0,-4.798401832580566,-4.798401832580566,0.0,0.0
pair_0001_happy,pair_0001,01,01,02,01,happy,1.5,-4.798401832580566,-4.851613998413086,-0.05321216583251953,0.05321216583251953
pair_0001_happy,pair_0001,01,01,02,01,happy,2.0,-4.798401832580566,-4.801015377044678,-0.002613544464111328,0.002613544464111328
pair_0001_sad,pair_0001,01,01,02,01,sad,0.0,-4.81397819519043,-4.219877243041992,0.5941009521484375,-0.5941009521484375
pair_0001_sad,pair_0001,01,01,02,01,sad,0.5,-4.81397819519043,-4.617652893066406,0.19632530212402344,-0.19632530212402344
pair_0001_sad,pair_0001,01,01,02,01,sad,1.0,-4.81397819519043,-4.81397819519043,0.0,0.0
pair_0001_sad,pair_0001,01,01,02,01,sad,1.5,-4.81397819519043,-4.858450889587402,-0.044472694396972656,0.044472694396972656
pair_0001_sad,pair_0001,01,01,02,01,sad,2.0,-4.81397819519043,-4.795516014099121,0.018462181091308594,-0.018462181091308594
pair_0002_happy,pair_0002,01,02,01,01,happy,0.0,-3.534588098526001,-2.970790147781372,0.5637979507446289,-0.5637979507446289
pair_0002_happy,pair_0002,01,02,01,01,happy,0.5,-3.534588098526001,-3.347578763961792,0.18700933456420898,-0.18700933456420898
pair_0002_happy,pair_0002,01,02,01,01,happy,1.0,-3.534588098526001,-3.534588098526001,0.0,0.0
pair_0002_happy,pair_0002,01,02,01,01,happy,1.5,-3.534588098526001,-3.578274726867676,-0.043686628341674805,0.043686628341674805
pair_0002_happy,pair_0002,01,02,01,01,happy,2.0,-3.534588098526001,-3.507624626159668,0.026963472366333008,-0.026963472366333008
pair_0002_sad,pair_0002,01,02,01,01,sad,0.0,-3.9419286251068115,-3.216672420501709,0.7252562046051025,-0.7252562046051025
pair_0002_sad,pair_0002,01,02,01,01,sad,0.5,-3.9419286251068115,-3.6757659912109375,0.266162633895874,-0.266162633895874
pair_0002_sad,pair_0002,01,02,01,01,sad,1.0,-3.9419286251068115,-3.9419286251068115,0.0,0.0
pair_0002_sad,pair_0002,01,02,01,01,sad,1.5,-3.9419286251068115,-4.054816246032715,-0.11288762092590332,0.11288762092590332
pair_0002_sad,pair_0002,01,02,01,01,sad,2.0,-3.9419286251068115,-4.040514945983887,-0.0985863208770752,0.0985863208770752
pair_0003_happy,pair_0003,01,02,02,01,happy,0.0,-3.50520396232605,-2.954611301422119,0.5505926609039307,-0.5505926609039307
pair_0003_happy,pair_0003,01,02,02,01,happy,0.5,-3.50520396232605,-3.3356614112854004,0.16954255104064941,-0.16954255104064941
pair_0003_happy,pair_0003,01,02,02,01,happy,1.0,-3.50520396232605,-3.50520396232605,0.0,0.0
pair_0003_happy,pair_0003,01,02,02,01,happy,1.5,-3.50520396232605,-3.5066473484039307,-0.0014433860778808594,0.0014433860778808594
pair_0003_happy,pair_0003,01,02,02,01,happy,2.0,-3.50520396232605,-3.3756117820739746,0.1295921802520752,-0.1295921802520752
pair_0003_sad,pair_0003,01,02,02,01,sad,0.0,-3.6038966178894043,-2.7604401111602783,0.843456506729126,-0.843456506729126
pair_0003_sad,pair_0003,01,02,02,01,sad,0.5,-3.6038966178894043,-3.2912044525146484,0.31269216537475586,-0.31269216537475586
pair_0003_sad,pair_0003,01,02,02,01,sad,1.0,-3.6038966178894043,-3.6038966178894043,0.0,0.0
pair_0003_sad,pair_0003,01,02,02,01,sad,1.5,-3.6038966178894043,-3.7361559867858887,-0.13225936889648438,0.13225936889648438
pair_0003_sad,pair_0003,01,02,02,01,sad,2.0,-3.6038966178894043,-3.7217063903808594,-0.11780977249145508,0.11780977249145508
pair_0004_happy,pair_0004,02,01,01,01,happy,0.0,-4.263078689575195,-3.8209803104400635,0.44209837913513184,-0.44209837913513184
pair_0004_happy,pair_0004,02,01,01,01,happy,0.5,-4.263078689575195,-4.120148658752441,0.1429300308227539,-0.1429300308227539
pair_0004_happy,pair_0004,02,01,01,01,happy,1.0,-4.263078689575195,-4.263078689575195,0.0,0.0
pair_0004_happy,pair_0004,02,01,01,01,happy,1.5,-4.263078689575195,-4.284067153930664,-0.02098846435546875,0.02098846435546875
pair_0004_happy,pair_0004,02,01,01,01,happy,2.0,-4.263078689575195,-4.215919017791748,0.047159671783447266,-0.047159671783447266
pair_0004_sad,pair_0004,02,01,01,01,sad,0.0,-4.868228912353516,-4.343329906463623,0.5248990058898926,-0.5248990058898926
pair_0004_sad,pair_0004,02,01,01,01,sad,0.5,-4.868228912353516,-4.707770347595215,0.16045856475830078,-0.16045856475830078
pair_0004_sad,pair_0004,02,01,01,01,sad,1.0,-4.868228912353516,-4.868228912353516,0.0,0.0
pair_0004_sad,pair_0004,02,01,01,01,sad,1.5,-4.868228912353516,-4.875558376312256,-0.007329463958740234,0.007329463958740234
pair_0004_sad,pair_0004,02,01,01,01,sad,2.0,-4.868228912353516,-4.780782699584961,0.08744621276855469,-0.08744621276855469
pair_0005_happy,pair_0005,02,01,02,01,happy,0.0,-4.474981307983398,-4.088194847106934,0.38678646087646484,-0.38678646087646484
pair_0005_happy,pair_0005,02,01,02,01,happy,0.5,-4.474981307983398,-4.356605052947998,0.11837625503540039,-0.11837625503540039
pair_0005_happy,pair_0005,02,01,02,01,happy,1.0,-4.474981307983398,-4.474981307983398,0.0,0.0
pair_0005_happy,pair_0005,02,01,02,01,happy,1.5,-4.474981307983398,-4.475954055786133,-0.000972747802734375,0.000972747802734375
pair_0005_happy,pair_0005,02,01,02,01,happy,2.0,-4.474981307983398,-4.394495964050293,0.08048534393310547,-0.08048534393310547
pair_0005_sad,pair_0005,02,01,02,01,sad,0.0,-4.6972336769104,-4.1477952003479,0.5494384765625,-0.5494384765625
pair_0005_sad,pair_0005,02,01,02,01,sad,0.5,-4.6972336769104,-4.530242919921875,0.1669907569885254,-0.1669907569885254
pair_0005_sad,pair_0005,02,01,02,01,sad,1.0,-4.6972336769104,-4.6972336769104,0.0,0.0
pair_0005_sad,pair_0005,02,01,02,01,sad,1.5,-4.6972336769104,-4.711045742034912,-0.013812065124511719,0.013812065124511719
pair_0005_sad,pair_0005,02,01,02,01,sad,2.0,-4.6972336769104,-4.622374534606934,0.0748591423034668,-0.0748591423034668
pair_0006_happy,pair_0006,02,02,01,01,happy,0.0,-3.5094082355499268,-2.6075403690338135,0.9018678665161133,-0.9018678665161133
pair_0006_happy,pair_0006,02,02,01,01,happy,0.5,-3.5094082355499268,-3.1688802242279053,0.3405280113220215,-0.3405280113220215
pair_0006_happy,pair_0006,02,02,01,01,happy,1.0,-3.5094082355499268,-3.5094082355499268,0.0,0.0
pair_0006_happy,pair_0006,02,02,01,01,happy,1.5,-3.5094082355499268,-3.6759581565856934,-0.1665499210357666,0.1665499210357666
pair_0006_happy,pair_0006,02,02,01,01,happy,2.0,-3.5094082355499268,-3.7078609466552734,-0.19845271110534668,0.19845271110534668
pair_0006_sad,pair_0006,02,02,01,01,sad,0.0,-3.7750349044799805,-2.997220039367676,0.7778148651123047,-0.7778148651123047
pair_0006_sad,pair_0006,02,02,01,01,sad,0.5,-3.7750349044799805,-3.4813714027404785,0.29366350173950195,-0.29366350173950195
pair_0006_sad,pair_0006,02,02,01,01,sad,1.0,-3.7750349044799805,-3.7750349044799805,0.0,0.0
pair_0006_sad,pair_0006,02,02,01,01,sad,1.5,-3.7750349044799805,-3.908538579940796,-0.13350367546081543,0.13350367546081543
pair_0006_sad,pair_0006,02,02,01,01,sad,2.0,-3.7750349044799805,-3.9082508087158203,-0.13321590423583984,0.13321590423583984
pair_0007_happy,pair_0007,02,02,02,01,happy,0.0,-3.4080164432525635,-2.458712100982666,0.9493043422698975,-0.9493043422698975
pair_0007_happy,pair_0007,02,02,02,01,happy,0.5,-3.4080164432525635,-3.0474863052368164,0.36053013801574707,-0.36053013801574707
pair_0007_happy,pair_0007,02,02,02,01,happy,1.0,-3.4080164432525635,-3.4080164432525635,0.0,0.0
pair_0007_happy,pair_0007,02,02,02,01,happy,1.5,-3.4080164432525635,-3.584231376647949,-0.17621493339538574,0.17621493339538574
pair_0007_happy,pair_0007,02,02,02,01,happy,2.0,-3.4080164432525635,-3.6133875846862793,-0.20537114143371582,0.20537114143371582
pair_0007_sad,pair_0007,02,02,02,01,sad,0.0,-3.4811511039733887,-2.904179096221924,0.5769720077514648,-0.5769720077514648
pair_0007_sad,pair_0007,02,02,02,01,sad,0.5,-3.4811511039733887,-3.3021228313446045,0.17902827262878418,-0.17902827262878418
pair_0007_sad,pair_0007,02,02,02,01,sad,1.0,-3.4811511039733887,-3.4811511039733887,0.0,0.0
pair_0007_sad,pair_0007,02,02,02,01,sad,1.5,-3.4811511039733887,-3.486485719680786,-0.005334615707397461,0.005334615707397461
pair_0007_sad,pair_0007,02,02,02,01,sad,2.0,-3.4811511039733887,-3.355926036834717,0.12522506713867188,-0.12522506713867188
