sample_id,pair_id,actor,statement,repetition,intensity,emotion,condition,clean_margin,margin,shift_from_clean
pair_0004_sad,pair_0004,02,01,01,01,sad,center_19,-4.868228912353516,-4.8799238204956055,-0.011694908142089844
pair_0004_sad,pair_0004,02,01,01,01,sad,center_23,-4.868228912353516,-4.6825971603393555,0.18563175201416016
pair_0005_happy,pair_0005,02,01,02,01,happy,clean,-4.474981307983398,-4.474981307983398,0.0
pair_0005_happy,pair_0005,02,01,02,01,happy,zero_noop,-4.474981307983398,-4.474981307983398,0.0
pair_0005_happy,pair_0005,02,01,02,01,happy,center_joint,-4.474981307983398,-4.693096160888672,-0.21811485290527344
pair_0005_happy,pair_0005,02,01,02,01,happy,center_19,-4.474981307983398,-4.4832258224487305,-0.008244514465332031
pair_0005_happy,pair_0005,02,01,02,01,happy,center_23,-4.474981307983398,-4.290879249572754,0.18410205841064453
pair_0005_sad,pair_0005,02,01,02,01,sad,clean,-4.6972336769104,-4.6972336769104,0.0
pair_0005_sad,pair_0005,02,01,02,01,sad,zero_noop,-4.6972336769104,-4.6972336769104,0.0
pair_0005_sad,pair_0005,02,01,02,01,sad,center_joint,-4.6972336769104,-4.976597309112549,-0.27936363220214844
pair_0005_sad,pair_0005,02,01,02,01,sad,center_19,-4.6972336769104,-4.709595680236816,-0.012362003326416016
pair_0005_sad,pair_0005,02,01,02,01,sad,center_23,-4.6972336769104,-4.514479160308838,0.1827545166015625
pair_0006_happy,pair_0006,02,02,01,01,happy,clean,-3.5094082355499268,-3.5094082355499268,0.0
pair_0006_happy,pair_0006,02,02,01,01,happy,zero_noop,-3.5094082355499268,-3.5094082355499268,0.0
pair_0006_happy,pair_0006,02,02,01,01,happy,center_joint,-3.5094082355499268,-3.5874361991882324,-0.07802796363830566
pair_0006_happy,pair_0006,02,02,01,01,happy,center_19,-3.5094082355499268,-3.497638702392578,0.011769533157348633
pair_0006_happy,pair_0006,02,02,01,01,happy,center_23,-3.5094082355499268,-3.7615303993225098,-0.252122163772583
pair_0006_sad,pair_0006,02,02,01,01,sad,clean,-3.7750349044799805,-3.7750349044799805,0.0
pair_0006_sad,pair_0006,02,02,01,01,sad,zero_noop,-3.7750349044799805,-3.7750349044799805,0.0
pair_0006_sad,pair_0006,02,02,01,01,sad,center_joint,-3.7750349044799805,-3.763622283935547,0.011412620544433594
pair_0006_sad,pair_0006,02,02,01,01,sad,center_19,-3.7750349044799805,-3.7553327083587646,0.01970219612121582
pair_0006_sad,pair_0006,02,02,01,01,sad,center_23,-3.7750349044799805,-4.020569801330566,-0.24553489685058594
pair_0007_happy,pair_0007,02,02,02,01,happy,clean,-3.4080164432525635,-3.4080164432525635,0.0
pair_0007_happy,pair_0007,02,02,02,01,happy,zero_noop,-3.4080164432525635,-3.4080164432525635,0.0
pair_0007_happy,pair_0007,02,02,02,01,happy,center_joint,-3.4080164432525635,-3.474587917327881,-0.06657147407531738
pair_0007_happy,pair_0007,02,02,02,01,happy,center_19,-3.4080164432525635,-3.3941917419433594,0.013824701309204102
pair_0007_happy,pair_0007,02,02,02,01,happy,center_23,-3.4080164432525635,-3.661677360534668,-0.2536609172821045
pair_0007_sad,pair_0007,02,02,02,01,sad,clean,-3.4811511039733887,-3.4811511039733887,0.0
pair_0007_sad,pair_0007,02,02,02,01,sad,zero_noop,-3.4811511039733887,-3.4811511039733887,0.0
pair_0007_sad,pair_0007,02,02,02,01,sad,center_joint,-3.4811511039733887,-3.536060094833374,-0.05490899085998535
pair_0007_sad,pair_0007,02,02,02,01,sad,center_19,-3.4811511039733887,-3.4728281497955322,0.008322954177856445
pair_0007_sad,pair_0007,02,02,02,01,sad,center_23,-3.4811511039733887,-3.7313790321350098,-0.2502279281616211
pair_0008_happy,pair_0008,03,01,01,01,happy,clean,-4.699073791503906,-4.699073791503906,0.0
pair_0008_happy,pair_0008,03,01,01,01,happy,zero_noop,-4.699073791503906,-4.699073791503906,0.0
pair_0008_happy,pair_0008,03,01,01,01,happy,center_joint,-4.699073791503906,-4.984193801879883,-0.28512001037597656
pair_0008_happy,pair_0008,03,01,01,01,happy,center_19,-4.699073791503906,-4.715770721435547,-0.016696929931640625
pair_0008_happy,pair_0008,03,01,01,01,happy,center_23,-4.699073791503906,-4.523072242736816,0.17600154876708984
pair_0008_sad,pair_0008,03,01,01,01,sad,clean,-4.5847086906433105,-4.5847086906433105,0.0
pair_0008_sad,pair_0008,03,01,01,01,sad,zero_noop,-4.5847086906433105,-4.5847086906433105,0.0
