actor,statement,layer,n_calibration,shift_norm,mean_norm
01,01,18,92,5.377445720231904,11.253330811002911
01,01,19,92,1.7896857412509661,5.894804537647791
01,01,20,92,7.649682713310205,17.82246967914003
01,01,21,92,11.449121568604552,21.46738271092668
01,01,22,92,9.96497897162438,12.248682854697053
01,01,23,92,8.676549573041852,5.636530081368287
01,02,18,92,5.377445720231904,12.925907774237453
01,02,19,92,1.789685741250966,5.815697945344474
01,02,20,92,7.649682713310205,12.027342842574953
01,02,21,92,11.449121568604554,11.781876307212519
01,02,22,92,9.96497897162438,17.772077398182326
01,02,23,92,8.676549573041852,17.924205151699198
02,01,18,92,5.380968966843982,11.270113100267587
02,01,19,92,1.789613059227828,5.906990036679386
02,01,20,92,7.652770314899214,17.82610751471958
02,01,21,92,11.457515200591814,21.466553395216614
02,01,22,92,9.942621909718138,12.225927127374755
02,01,23,92,8.662480675144716,5.648772380429647
02,02,18,92,5.380968966843982,12.934863717972448
02,02,19,92,1.789613059227828,5.801186703039585
02,02,20,92,7.652770314899214,12.046208472270203
02,02,21,92,11.457515200591814,11.799270232246768
02,02,22,92,9.942621909718138,17.759293906586173
02,02,23,92,8.662480675144716,17.900441438936834
03,01,18,92,5.375262527992692,11.243880596135675
03,01,19,92,1.7898413962511297,5.892959402090525
03,01,20,92,7.654237497566767,17.828332000352017
03,01,21,92,11.457075724823193,21.463975655399413
03,01,22,92,9.958568582116524,12.282249303571966
03,01,23,92,8.660336927077704,5.640021530167356
03,02,18,92,5.375262527992692,12.917766506945396
03,02,19,92,1.78984139625113,5.806161628372637
03,02,20,92,7.654237497566767,12.054988066980897
03,02,21,92,11.457075724823193,11.826931595451514
03,02,22,92,9.958568582116524,17.73830162969929
03,02,23,92,8.660336927077704,17.895139698651445
04,01,18,92,5.382469246160221,11.282879809973767
04,01,19,92,1.7922492471090732,5.899645876191588
04,01,20,92,7.65161610379483,17.828247993810557
04,01,21,92,11.431469069351248,21.433977768308214
04,01,22,92,9.94709823634824,12.242953246378676
04,01,23,92,8.667075017879508,5.647172030118473
04,02,18,92,5.3824692461602215,12.940540283209623
04,02,19,92,1.7922492471090732,5.819063179139927
04,02,20,92,7.65161610379483,12.03230948938883
04,02,21,92,11.431469069351248,11.748937437816343
04,02,22,92,9.94709823634824,17.73378294244605
04,02,23,92,8.667075017879508,17.908837108948916
05,01,18,92,5.391664956101999,11.289612992038446
05,01,19,92,1.8049294786477148,5.915221785070086
05,01,20,92,7.670501016390527,17.85937664363127
05,01,21,92,11.492197735056783,21.55398996923396
05,01,22,92,9.95238054257645,12.233230553983137
05,01,23,92,8.663281851199642,5.635703423725347
05,02,18,92,5.391664956101999,12.945164821307392
05,02,19,92,1.8049294786477148,5.812212972128009
05,02,20,92,7.670501016390527,12.047582347726436
05,02,21,92,11.492197735056783,11.81097695277611
05,02,22,92,9.95238054257645,17.774480810234863
05,02,23,92,8.66328185119964,17.900655791091623
06,01,18,92,5.386829332360765,11.27923991798868
06,01,19,92,1.7965464778109965,5.9129230792524305
06,01,20,92,7.642491520000903,17.813574233884065
06,01,21,92,11.44521241863802,21.44907459432529
06,01,22,92,9.975668707734913,12.236603980782837
06,01,23,92,8.656143380701192,5.634066215256947
06,02,18,92,5.386829332360764,12.938679841918079
06,02,19,92,1.7965464778109965,5.815437843812667
06,02,20,92,7.6424915200009025,12.027625978627896
06,02,21,92,11.44521241863802,11.81069821925369
06,02,22,92,9.975668707734913,17.823753339844437
06,02,23,92,8.656143380701192,17.883910664914847
07,01,18,92,5.3889051744544405,11.283249991589825
07,01,19,92,1.7896116016521413,5.8961958610228375
07,01,20,92,7.660584936625049,17.836902444969926
07,01,21,92,11.4824598574939,21.533945897449748
07,01,22,92,9.966180606390909,12.245972920443204
07,01,23,92,8.674670526300167,5.628995919048186
07,02,18,92,5.3889051744544405,12.961998689966755
