layer,state,statement,condition,metric,mean,ci_low,ci_high
1,in,01,within,pooled_roc_auc,0.9500868055555556,0.9045138888888888,0.9848090277777778
1,in,01,within,accuracy,0.875,0.8125,0.9375
1,in,01,cross,mean_within_fold_auc,0.9375,0.875,0.9895833333333334
1,in,01,cross,pooled_roc_auc,0.9075520833333334,0.8389756944444444,0.9657118055555556
1,in,01,cross,accuracy,0.84375,0.7708333333333334,0.90625
1,in,01,gap,mean_within_fold_auc,0.03125,-0.02083333333333337,0.09401041666666288
1,in,01,gap,pooled_roc_auc,0.04253472222222221,-0.009993489583333383,0.11067708333333337
1,in,01,gap,accuracy,0.03125,-0.05208333333333326,0.10416666666666674
1,in,02,within,mean_within_fold_auc,0.90625,0.8333333333333334,0.96875
1,in,02,within,pooled_roc_auc,0.8489583333333334,0.7634548611111112,0.9340277777777778
1,in,02,within,accuracy,0.7395833333333334,0.6354166666666666,0.8333333333333334
1,in,02,cross,mean_within_fold_auc,0.9166666666666666,0.8125,0.9895833333333334
1,in,02,cross,pooled_roc_auc,0.9214409722222222,0.8441840277777778,0.9813368055555556
1,in,02,cross,accuracy,0.875,0.7916666666666666,0.9479166666666666
1,in,02,gap,mean_within_fold_auc,-0.01041666666666663,-0.10416666666666674,0.10416666666666663
1,in,02,gap,pooled_roc_auc,-0.07248263888888884,-0.1410590277777778,-0.01041666666666663
1,in,02,gap,accuracy,-0.13541666666666663,-0.22916666666666663,-0.05208333333333337
1,in,combined,within,mean_within_fold_auc,0.9375,0.9010416666666666,0.96875
1,in,combined,within,pooled_roc_auc,0.8993055555555556,0.8400607638888888,0.9533420138888888
1,in,combined,within,accuracy,0.8072916666666666,0.7395833333333334,0.875
1,in,combined,cross,mean_within_fold_auc,0.9270833333333334,0.8645833333333334,0.9791666666666666
1,in,combined,cross,pooled_roc_auc,0.9153645833333334,0.865234375,0.9597439236111112
1,in,combined,cross,accuracy,0.859375,0.8125,0.9114583333333334
1,in,combined,gap,mean_within_fold_auc,0.01041666666666663,-0.03125,0.0625
1,in,combined,gap,pooled_roc_auc,-0.01605902777777779,-0.04742024739583343,0.010850694444444423
1,in,combined,gap,accuracy,-0.05208333333333337,-0.09895833333333337,-0.01041666666666663
1,attn,01,within,mean_within_fold_auc,0.78125,0.6666666666666666,0.8854166666666666
1,attn,01,within,pooled_roc_auc,0.7421875,0.6419270833333334,0.8346354166666666
1,attn,01,within,accuracy,0.7083333333333334,0.6145833333333334,0.7916666666666666
1,attn,01,cross,mean_within_fold_auc,0.875,0.7916666666666666,0.9479166666666666
1,attn,01,cross,pooled_roc_auc,0.8307291666666666,0.7578125,0.9032226562499999
1,attn,01,cross,accuracy,0.75,0.6770833333333334,0.8229166666666666
1,attn,01,gap,mean_within_fold_auc,-0.09375,-0.1875,0.0
1,attn,01,gap,pooled_roc_auc,-0.08854166666666663,-0.16970486111111116,-0.01302083333333326
1,attn,01,gap,accuracy,-0.04166666666666663,-0.15625,0.0625
1,attn,02,within,mean_within_fold_auc,0.84375,0.7604166666666666,0.9270833333333334
1,attn,02,within,pooled_roc_auc,0.7595486111111112,0.6731770833333334,0.8528754340277777
1,attn,02,within,accuracy,0.7083333333333334,0.625,0.7916666666666666
1,attn,02,cross,mean_within_fold_auc,0.875,0.7916666666666666,0.9479166666666666
1,attn,02,cross,pooled_roc_auc,0.8585069444444444,0.7877604166666666,0.9223198784722221
1,attn,02,cross,accuracy,0.65625,0.59375,0.7291666666666666
1,attn,02,gap,mean_within_fold_auc,-0.03125,-0.09375,0.02083333333333337
1,attn,02,gap,pooled_roc_auc,-0.09895833333333326,-0.16710069444444442,-0.0234375
1,attn,02,gap,accuracy,0.05208333333333337,-0.03125,0.14583333333333337
1,attn,combined,within,mean_within_fold_auc,0.8125,0.734375,0.8854166666666666
1,attn,combined,within,pooled_roc_auc,0.7531467013888888,0.6758897569444444,0.8297526041666666
1,attn,combined,within,accuracy,0.7083333333333334,0.640625,0.7760416666666666
1,attn,combined,cross,mean_within_fold_auc,0.875,0.8177083333333334,0.9322916666666666
1,attn,combined,cross,pooled_roc_auc,0.7940538194444444,0.7353515625,0.8518880208333334
1,attn,combined,cross,accuracy,0.703125,0.65625,0.75
1,attn,combined,gap,mean_within_fold_auc,-0.0625,-0.13020833333333326,0.0
1,attn,combined,gap,pooled_roc_auc,-0.04090711805555558,-0.10308159722222221,0.021484375
1,attn,combined,gap,accuracy,0.00520833333333337,-0.05208333333333337,0.0625
1,out,01,within,mean_within_fold_auc,0.8125,0.7083333333333334,0.90625
1,out,01,within,pooled_roc_auc,0.75390625,0.6610134548611112,0.8433159722222222
1,out,01,within,accuracy,0.7083333333333334,0.6354166666666666,0.78125
1,out,01,cross,mean_within_fold_auc,0.8958333333333334,0.8229166666666666,0.9583333333333334
1,out,01,cross,pooled_roc_auc,0.8363715277777778,0.7673611111111112,0.9053927951388887
1,out,01,cross,accuracy,0.7291666666666666,0.65625,0.8020833333333334
1,out,01,gap,mean_within_fold_auc,-0.08333333333333337,-0.16666666666666663,-0.01041666666666663
1,out,01,gap,pooled_roc_auc,-0.08246527777777779,-0.1605902777777778,-0.00954861111111116
1,out,01,gap,accuracy,-0.02083333333333326,-0.125,0.09375
1,out,02,within,mean_within_fold_auc,0.84375,0.7604166666666666,0.9270833333333334
1,out,02,within,pooled_roc_auc,0.7673611111111112,0.6814236111111112,0.8585069444444444
1,out,02,within,accuracy,0.7291666666666666,0.6458333333333334,0.8125
1,out,02,cross,mean_within_fold_auc,0.8854166666666666,0.8125,0.9479166666666666
1,out,02,cross,pooled_roc_auc,0.8671875,0.79990234375,0.9279622395833331
1,out,02,cross,accuracy,0.6666666666666666,0.6041666666666666,0.7395833333333334
1,out,02,gap,mean_within_fold_auc,-0.04166666666666663,-0.10416666666666674,0.02083333333333326
1,out,02,gap,pooled_roc_auc,-0.09982638888888884,-0.16883680555555547,-0.02604166666666674
1,out,02,gap,accuracy,0.0625,-0.01041666666666674,0.14583333333333326
1,out,combined,within,mean_within_fold_auc,0.828125,0.75,0.9010416666666666
1,out,combined,within,pooled_roc_auc,0.7616102430555556,0.6876085069444444,0.8365912543402777
1,out,combined,within,accuracy,0.71875,0.65625,0.78125
1,out,combined,cross,mean_within_fold_auc,0.890625,0.8385416666666666,0.9375
1,out,combined,cross,pooled_roc_auc,0.7885199652777778,0.7333957248263889,0.8432074652777778
1,out,combined,cross,accuracy,0.6979166666666666,0.6458333333333334,0.7447916666666666
1,out,combined,gap,mean_within_fold_auc,-0.0625,-0.125,-0.00520833333333337
1,out,combined,gap,pooled_roc_auc,-0.02690972222222221,-0.08680555555555547,0.03287760416666663
1,out,combined,gap,accuracy,0.02083333333333337,-0.03645833333333337,0.08333333333333337
2,in,01,within,mean_within_fold_auc,0.8125,0.7083333333333334,0.90625
2,in,01,within,pooled_roc_auc,0.75390625,0.6610134548611112,0.8433159722222222
2,in,01,within,accuracy,0.7083333333333334,0.6354166666666666,0.78125
2,in,01,cross,mean_within_fold_auc,0.8958333333333334,0.8229166666666666,0.9583333333333334
2,in,01,cross,pooled_roc_auc,0.8363715277777778,0.7673611111111112,0.9053927951388887
2,in,01,cross,accuracy,0.7291666666666666,0.65625,0.8020833333333334
2,in,01,gap,mean_within_fold_auc,-0.08333333333333337,-0.16666666666666663,-0.01041666666666663
2,in,01,gap,pooled_roc_auc,-0.08246527777777779,-0.1605902777777778,-0.00954861111111116
2,in,01,gap,accuracy,-0.02083333333333326,-0.125,0.09375
2,in,02,within,mean_within_fold_auc,0.84375,0.7604166666666666,0.9270833333333334
2,in,02,within,pooled_roc_auc,0.7673611111111112,0.6814236111111112,0.8585069444444444
2,in,02,within,accuracy,0.7291666666666666,0.6458333333333334,0.8125
2,in,02,cross,mean_within_fold_auc,0.8854166666666666,0.8125,0.9479166666666666
2,in,02,cross,pooled_roc_auc,0.8671875,0.79990234375,0.9279622395833331
2,in,02,cross,accuracy,0.6666666666666666,0.6041666666666666,0.7395833333333334
2,in,02,gap,mean_within_fold_auc,-0.04166666666666663,-0.10416666666666674,0.02083333333333326
2,in,02,gap,pooled_roc_auc,-0.09982638888888884,-0.16883680555555547,-0.02604166666666674
2,in,02,gap,accuracy,0.0625,-0.01041666666666674,0.14583333333333326
2,in,combined,within,mean_within_fold_auc,0.828125,0.75,0.9010416666666666
2,in,combined,within,pooled_roc_auc,0.7616102430555556,0.6876085069444444,0.8365912543402777
2,in,combined,within,accuracy,0.71875,0.65625,0.78125
2,in,combined,cross,mean_within_fold_auc,0.890625,0.8385416666666666,0.9375
2,in,combined,cross,pooled_roc_auc,0.7885199652777778,0.7333957248263889,0.8432074652777778
2,in,combined,cross,accuracy,0.6979166666666666,0.6458333333333334,0.7447916666666666
2,in,combined,gap,mean_within_fold_auc,-0.0625,-0.125,-0.00520833333333337
2,in,combined,gap,pooled_roc_auc,-0.02690972222222221,-0.08680555555555547,0.03287760416666663
2,in,combined,gap,accuracy,0.02083333333333337,-0.03645833333333337,0.08333333333333337
2,attn,01,within,mean_within_fold_auc,0.7604166666666666,0.6458333333333334,0.875
2,attn,01,within,pooled_roc_auc,0.7855902777777778,0.6822916666666666,0.8780490451388887
2,attn,01,within,accuracy,0.7291666666666666,0.625,0.8229166666666666
2,attn,01,cross,mean_within_fold_auc,0.875,0.7708333333333334,0.9583333333333334
2,attn,01,cross,pooled_roc_auc,0.7899305555555556,0.7165798611111112,0.8641493055555556
2,attn,01,cross,accuracy,0.5208333333333334,0.5,0.5520833333333334
2,attn,01,gap,mean_within_fold_auc,-0.11458333333333337,-0.2398437499999998,0.0
2,attn,01,gap,pooled_roc_auc,-0.00434027777777779,-0.11067708333333326,0.09071180555555558
2,attn,01,gap,accuracy,0.20833333333333326,0.08333333333333337,0.3127604166666629
2,attn,02,within,mean_within_fold_auc,0.7604166666666666,0.6458333333333334,0.8645833333333334
2,attn,02,within,pooled_roc_auc,0.7335069444444444,0.6310655381944444,0.8315972222222222
2,attn,02,within,accuracy,0.6875,0.5833333333333334,0.7916666666666666
2,attn,02,cross,mean_within_fold_auc,0.75,0.6145833333333334,0.8645833333333334
2,attn,02,cross,pooled_roc_auc,0.7730034722222222,0.6584092881944444,0.8728298611111112
2,attn,02,cross,accuracy,0.59375,0.53125,0.6666666666666666
2,attn,02,gap,mean_within_fold_auc,0.01041666666666663,-0.09375,0.11458333333333337
2,attn,02,gap,pooled_roc_auc,-0.03949652777777779,-0.11545138888888884,0.04253472222222221
2,attn,02,gap,accuracy,0.09375,-0.01041666666666663,0.1875
2,attn,combined,within,mean_within_fold_auc,0.7604166666666666,0.6614583333333334,0.8489583333333334
2,attn,combined,within,pooled_roc_auc,0.7578125,0.6771837022569445,0.8337700737847222
2,attn,combined,within,accuracy,0.7083333333333334,0.6197916666666666,0.7864583333333334
2,attn,combined,cross,mean_within_fold_auc,0.8125,0.7291666666666666,0.890625
2,attn,combined,cross,pooled_roc_auc,0.7523871527777778,0.6877170138888888,0.8161892361111112
2,attn,combined,cross,accuracy,0.5572916666666666,0.5260416666666666,0.59375
2,attn,combined,gap,mean_within_fold_auc,-0.05208333333333337,-0.140625,0.02604166666666663
2,attn,combined,gap,pooled_roc_auc,0.00542534722222221,-0.05990125868055548,0.06749131944444442
2,attn,combined,gap,accuracy,0.15104166666666674,0.0625,0.22916666666666674
