blocks,component,statement,condition,metric,mean,ci_low,ci_high
0:0,mlp,02,cross,pooled_roc_auc,-0.0026041666666666297,-0.02690972222222221,0.01302083333333337
1:23,mlp,02,cross,pooled_roc_auc,-0.005208333333333148,-0.16015625000000017,0.1254340277777778
0:0,attention,02,cross,accuracy,0.36458333333333337,0.29166666666666663,0.42708333333333337
1:23,attention,02,cross,accuracy,-0.3437500000000002,-0.5312500000000002,-0.14583333333333337
0:0,mlp,02,cross,accuracy,0.01041666666666663,-0.0625,0.07291666666666674
1:23,mlp,02,cross,accuracy,-0.02083333333333315,-0.22916666666666635,0.17708333333333293
0:0,attention,02,gap,mean_within_fold_auc,-0.02083333333333337,-0.08333333333333337,0.0625
1:23,attention,02,gap,mean_within_fold_auc,-0.2604166666666665,-0.5312500000000003,-2.761679773755279e-16
0:0,mlp,02,gap,mean_within_fold_auc,0.01041666666666674,-0.05208333333333326,0.07291666666666663
1:23,mlp,02,gap,mean_within_fold_auc,0.1979166666666664,0.05208333333333326,0.35416666666666674
0:0,attention,02,gap,pooled_roc_auc,-0.04166666666666663,-0.09852430555555558,0.003472222222222321
1:23,attention,02,gap,pooled_roc_auc,0.1996527777777779,-0.11328124999999989,0.45704210069444373
0:0,mlp,02,gap,pooled_roc_auc,-0.03081597222222221,-0.07595486111111116,0.00868055555555547
1:23,mlp,02,gap,pooled_roc_auc,-0.03255208333333348,-0.21614583333333315,0.18534071180555567
0:0,attention,02,gap,accuracy,-0.0625,-0.125,0.0
1:23,attention,02,gap,accuracy,0.46875,0.18749999999999978,0.7187500000000004
0:0,mlp,02,gap,accuracy,-0.07291666666666663,-0.17708333333333326,0.02083333333333337
1:23,mlp,02,gap,accuracy,-0.13541666666666663,-0.34375,0.09375000000000011
0:0,attention,combined,within,mean_within_fold_auc,0.4375,0.39583333333333337,0.47395833333333337
1:23,attention,combined,within,mean_within_fold_auc,-0.22916666666666685,-0.38020833333333326,-0.08333333333333326
0:0,mlp,combined,within,mean_within_fold_auc,0.0,-0.03125,0.03645833333333337
1:23,mlp,combined,within,mean_within_fold_auc,2.220446049250313e-16,-0.11458333333333315,0.10937500000000022
