layer,component,statement,condition,metric,mean,ci_low,ci_high
16,attention,01,within,pooled_roc_auc,0.00911458333333337,-0.04600694444444442,0.05425347222222221
17,attention,01,within,pooled_roc_auc,-0.0004340277777777901,-0.05251736111111116,0.06032986111111116
18,attention,01,within,pooled_roc_auc,0.0004340277777777901,-0.02690972222222221,0.02604166666666663
19,attention,01,within,pooled_roc_auc,-0.00737847222222221,-0.02604166666666674,0.01475694444444442
20,attention,01,within,pooled_roc_auc,0.0021701388888888395,-0.01519097222222221,0.01736111111111105
21,attention,01,within,pooled_roc_auc,0.02387152777777779,-0.01475694444444442,0.05772569444444442
22,attention,01,within,pooled_roc_auc,0.01128472222222221,-0.016927083333333263,0.03732638888888895
23,attention,01,within,pooled_roc_auc,-0.00737847222222221,-0.02213541666666663,0.0073784722222222125
0,mlp,01,within,pooled_roc_auc,-0.0008680555555555802,-0.01866319444444442,0.02170138888888895
1,mlp,01,within,pooled_roc_auc,0.01171875,0.0004340277777777901,0.02734375
2,mlp,01,within,pooled_roc_auc,-0.00911458333333337,-0.02126736111111116,0.00390625
3,mlp,01,within,pooled_roc_auc,-0.0008680555555554692,-0.02039930555555558,0.01388888888888884
4,mlp,01,within,pooled_roc_auc,0.00520833333333337,-0.0056423611111111605,0.01736111111111105
5,mlp,01,within,pooled_roc_auc,0.005642361111111049,-0.0056423611111111605,0.02213541666666674
6,mlp,01,within,pooled_roc_auc,0.00737847222222221,-0.00390625,0.02473958333333326
7,mlp,01,within,pooled_roc_auc,-0.01215277777777779,-0.03038194444444453,0.0078125
8,mlp,01,within,pooled_roc_auc,-0.015625,-0.03602430555555547,0.00390625
9,mlp,01,within,pooled_roc_auc,0.00911458333333337,-0.010861545138888963,0.03125
10,mlp,01,within,pooled_roc_auc,-0.006510416666666741,-0.02690972222222221,0.00911458333333326
11,mlp,01,within,pooled_roc_auc,0.00651041666666663,-0.02430555555555558,0.03386501736111103
12,mlp,01,within,pooled_roc_auc,-0.0026041666666666297,-0.0390625,0.02560763888888895
13,mlp,01,within,pooled_roc_auc,-0.01475694444444442,-0.03776041666666674,0.00998263888888884
14,mlp,01,within,pooled_roc_auc,-0.02170138888888895,-0.06510416666666674,0.01041666666666674
15,mlp,01,within,pooled_roc_auc,0.00390625,-0.02560763888888895,0.02994791666666663
16,mlp,01,within,pooled_roc_auc,0.00737847222222221,-0.015625,0.03428819444444442
17,mlp,01,within,pooled_roc_auc,0.00824652777777779,-0.01215277777777779,0.02864583333333337
18,mlp,01,within,pooled_roc_auc,0.01649305555555558,0.0021701388888888395,0.03125
19,mlp,01,within,pooled_roc_auc,-0.0008680555555555802,-0.01779513888888884,0.01736111111111105
20,mlp,01,within,pooled_roc_auc,0.00477430555555558,-0.00868055555555558,0.01996527777777779
21,mlp,01,within,pooled_roc_auc,0.00520833333333337,-0.01085069444444442,0.02126736111111105
22,mlp,01,within,pooled_roc_auc,-0.006076388888888951,-0.02473958333333337,0.011284722222222321
23,mlp,01,within,pooled_roc_auc,-0.00868055555555558,-0.02777777777777779,0.00737847222222221
0,attention,01,within,accuracy,0.39583333333333337,0.32291666666666663,0.45833333333333337
1,attention,01,within,accuracy,-0.16666666666666663,-0.28125,-0.07291666666666663
2,attention,01,within,accuracy,0.02083333333333326,-0.07291666666666663,0.10416666666666674
3,attention,01,within,accuracy,-0.01041666666666663,-0.04166666666666674,0.02083333333333337
4,attention,01,within,accuracy,-0.01041666666666663,-0.04166666666666674,0.02083333333333337
5,attention,01,within,accuracy,0.0,-0.03125,0.03125
6,attention,01,within,accuracy,-0.07291666666666663,-0.13541666666666674,-0.01041666666666663
7,attention,01,within,accuracy,-0.02083333333333337,-0.125,0.09375
8,attention,01,within,accuracy,0.02083333333333337,-0.04166666666666663,0.07291666666666674
9,attention,01,within,accuracy,0.0,-0.05208333333333337,0.05208333333333326
10,attention,01,within,accuracy,-0.07291666666666674,-0.15625,0.0
11,attention,01,within,accuracy,0.03125,-0.04166666666666674,0.11458333333333326
12,attention,01,within,accuracy,-0.05208333333333337,-0.09375,-0.01041666666666674
13,attention,01,within,accuracy,0.02083333333333337,-0.03125,0.07291666666666663
14,attention,01,within,accuracy,-0.02083333333333337,-0.10416666666666669,0.07291666666666663
15,attention,01,within,accuracy,-0.04166666666666663,-0.09375,0.0
16,attention,01,within,accuracy,0.04166666666666663,-0.04166666666666674,0.125
17,attention,01,within,accuracy,-0.0625,-0.13541666666666663,0.01041666666666663
18,attention,01,within,accuracy,0.03125,0.0,0.07291666666666663
19,attention,01,within,accuracy,0.0,-0.03125,0.03125
20,attention,01,within,accuracy,0.01041666666666663,-0.02083333333333337,0.04166666666666674
21,attention,01,within,accuracy,-0.02083333333333337,-0.07291666666666663,0.03125
22,attention,01,within,accuracy,0.04166666666666663,0.01041666666666663,0.08333333333333337
23,attention,01,within,accuracy,-0.02083333333333326,-0.0625,0.02083333333333326
0,mlp,01,within,accuracy,-0.02083333333333337,-0.0625,0.02083333333333326
1,mlp,01,within,accuracy,0.0,-0.03125,0.03125
2,mlp,01,within,accuracy,0.0,-0.04166666666666663,0.04166666666666663
3,mlp,01,within,accuracy,0.01041666666666663,-0.02083333333333337,0.04166666666666674
4,mlp,01,within,accuracy,0.03125,0.0,0.06276041666666288
5,mlp,01,within,accuracy,0.0,0.0,0.0
6,mlp,01,within,accuracy,0.0,-0.04166666666666674,0.05208333333333337
7,mlp,01,within,accuracy,-0.02083333333333337,-0.07291666666666663,0.03125
8,mlp,01,within,accuracy,-0.01041666666666663,-0.0625,0.03125
9,mlp,01,within,accuracy,0.03125,-0.01041666666666674,0.07291666666666674
10,mlp,01,within,accuracy,-0.02083333333333326,-0.08333333333333331,0.03125
11,mlp,01,within,accuracy,0.03125,0.0,0.0625
12,mlp,01,within,accuracy,0.01041666666666663,-0.04166666666666674,0.0625
13,mlp,01,within,accuracy,-0.03125,-0.07291666666666663,0.0
14,mlp,01,within,accuracy,0.0,-0.03125,0.03125
15,mlp,01,within,accuracy,0.0,-0.04166666666666663,0.041666666666666685
16,mlp,01,within,accuracy,0.03125,-0.01041666666666674,0.07291666666666674
17,mlp,01,within,accuracy,0.05208333333333337,0.02083333333333326,0.09375
18,mlp,01,within,accuracy,-0.01041666666666663,-0.04166666666666674,0.02083333333333337
19,mlp,01,within,accuracy,-0.03125,-0.0625,0.0
20,mlp,01,within,accuracy,0.03125,-0.01041666666666674,0.07291666666666674
21,mlp,01,within,accuracy,0.01041666666666674,-0.02083333333333337,0.04166666666666674
22,mlp,01,within,accuracy,0.01041666666666663,-0.02083333333333337,0.04166666666666674
23,mlp,01,within,accuracy,-0.01041666666666674,-0.04166666666666674,0.02083333333333337
0,attention,01,cross,mean_within_fold_auc,0.4375,0.375,0.48958333333333337
1,attention,01,cross,mean_within_fold_auc,-0.0625,-0.17708333333333337,0.05208333333333326
2,attention,01,cross,mean_within_fold_auc,-0.02083333333333337,-0.13541666666666663,0.07291666666666663
3,attention,01,cross,mean_within_fold_auc,-0.03125,-0.0625,0.0
4,attention,01,cross,mean_within_fold_auc,0.04166666666666663,-0.01041666666666674,0.09375
5,attention,01,cross,mean_within_fold_auc,0.02083333333333337,-0.02083333333333326,0.0625
6,attention,01,cross,mean_within_fold_auc,-0.08333333333333337,-0.1875,0.01041666666666663
7,attention,01,cross,mean_within_fold_auc,-0.13541666666666674,-0.28125,0.02083333333333337
